gene_id	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
78298	5250	98	156	126	235	109	190	78	130	117	79	162
101154	26000	507	389	550	598	597	743	556	335	477	621	506
96385	850	10	17	23	14	9	31	31	24	13	16	10
35482	8950	241	249	287	315	407	807	501	433	862	805	599
57127	50	4	5	4	3	4	3	3	6	6	3	11
56680	300	5	4	2	3	2	2	4	1	3	4	0
66296	4850	67	70	46	71	122	61	48	90	82	72	69
78614	900	6	20	31	23	24	24	21	16	27	23	15
38589	12000	173	196	198	205	228	334	195	302	311	263	317
17117	1055100	13097	22896	7008	17743	10746	20702	15787	8693	14044	13785	20359
97687	950	38	44	42	63	31	22	26	40	33	29	18
28913	1850	34	26	35	43	37	24	40	54	24	32	87
15618	9500	212	317	247	166	143	200	306	250	288	146	179
88352	27000	240	369	491	378	399	948	1182	1442	1532	913	675
78417	5550	81	205	106	117	151	139	112	123	73	113	63
74521	5700	137	197	88	116	159	119	110	108	139	93	58
36052	24000	452	814	609	608	514	793	950	513	888	424	863
52052	19050	404	287	463	726	439	485	483	255	481	363	338
82199	700	17	17	19	20	13	11	17	10	14	12	20
65323	6550	165	197	122	116	98	114	88	120	108	142	135
27631	5000	125	206	133	107	111	114	237	161	233	116	49
17596	750	21	21	12	10	36	25	50	33	39	55	28
90543	9250	444	140	252	261	232	361	551	506	401	503	621
19110	1400	9	37	38	30	7	39	27	12	29	27	27
33762	56950	1055	894	1597	1171	1453	908	617	1077	1075	1036	513
62551	8500	149	239	227	308	289	713	382	238	708	273	403
84961	7500	199	123	144	174	153	198	212	180	161	248	199
55064	2800	74	52	56	72	52	49	61	96	40	34	83
74092	7200	85	146	125	119	77	55	144	164	156	174	69
44946	50	1	1	3	1	3	3	1	3	3	1	2
56014	1300	10	23	24	15	15	22	22	13	17	13	22
83638	21300	192	222	516	140	259	311	392	201	207	554	282
54651	250	1	4	2	4	0	2	4	2	4	2	3
39261	30800	893	343	439	379	1350	589	674	349	933	405	887
76026	250	2	6	3	8	9	6	2	0	4	2	4
68011	14450	447	633	441	473	472	900	914	476	801	657	341
88380	800	13	38	30	28	41	30	29	32	16	35	21
22394	19400	880	1087	647	632	1014	635	418	1148	533	708	594
64246	8300	123	188	277	156	210	178	184	178	182	256	248
41214	550	3	9	4	6	7	12	4	10	10	9	7
57582	86350	2455	2558	2378	935	1036	1159	2741	1044	2064	2265	1811
97087	149950	3935	3348	4283	2975	2869	2911	4723	2908	2781	4844	2394
70342	10350	115	134	159	74	226	82	174	128	120	130	57
25515	5000	70	123	101	88	80	79	149	114	96	96	100
73068	3800	118	154	122	90	103	97	127	101	120	161	90
94677	900	18	18	17	22	19	41	14	18	26	19	27
30375	74500	901	913	1748	875	1737	1201	1483	1640	1472	1560	1148
12396	2600	79	30	77	32	45	60	69	65	27	78	109
79390	8250	128	149	102	118	189	172	150	137	165	107	132
58562	600	25	24	28	33	39	39	25	30	22	22	37
75582	1250	48	36	53	44	59	24	37	52	58	31	51
72253	1350	13	6	9	5	4	13	11	7	14	10	15
97199	70500	1129	1496	1655	1331	1240	3232	4297	3580	3770	2793	3589
22954	3800	98	83	102	97	115	130	137	153	162	92	107
39499	38100	1443	954	1179	1133	1265	780	1490	2121	1592	973	1069
90184	8300	154	79	124	193	98	109	122	118	133	283	90
55641	1700	47	43	57	77	31	22	25	76	15	43	29
34048	3450	133	116	65	95	75	41	50	123	56	103	39
84583	1950	60	45	40	46	67	58	90	39	43	43	73
90308	4600	135	139	329	101	147	278	234	545	573	270	462
50580	2000	68	52	41	38	98	89	55	88	72	50	49
72931	7250	60	49	98	86	72	93	90	139	107	88	104
77188	700	4	13	3	5	5	14	19	15	7	15	13
86907	950	22	18	22	15	30	45	26	25	31	25	14
59346	148850	3711	2771	5198	4348	3770	7800	4263	5522	2812	5138	2948
28710	2050	48	60	53	25	30	95	88	84	76	35	62
92871	550	14	43	22	21	44	39	21	15	26	30	17
63132	10650	479	390	431	490	407	337	527	458	491	174	375
60216	106050	3077	3412	2446	3231	2973	2074	3451	1549	1531	4660	3223
40576	450	17	6	6	12	6	11	6	2	12	3	9
96414	7950	156	90	128	59	112	45	154	107	98	111	116
42999	1750	44	38	28	60	34	131	42	85	94	76	70
45131	300	1	6	3	0	4	9	5	3	1	4	5
73029	29150	831	438	588	854	857	1052	852	611	943	827	976
25229	6150	128	125	230	160	152	160	96	174	153	149	198
76534	17650	87	146	137	187	232	405	341	390	315	476	442
53856	1400	26	24	11	29	34	22	29	49	24	19	28
19563	15150	310	455	378	521	590	389	318	322	344	489	381
69927	1500	36	27	32	53	48	63	54	50	86	48	43
21499	5300	82	111	127	115	54	92	60	76	226	85	149
94401	350	10	17	21	14	26	11	16	17	5	21	8
15306	600	13	15	15	10	13	38	27	24	47	19	23
32573	107150	2237	3337	2746	2655	2943	5458	2548	1990	2043	1968	1262
49020	2150	82	109	42	41	78	63	61	46	72	67	86
52645	10000	281	259	300	305	429	294	417	154	260	256	414
63750	5950	177	146	175	163	106	147	146	70	63	91	154
97405	3100	69	54	80	72	96	39	49	84	49	44	79
58904	2550	95	56	23	27	40	24	49	52	54	58	55
64037	33850	951	516	448	967	551	780	448	402	565	620	461
21567	3750	63	65	124	110	222	62	82	64	56	43	55
70810	6600	81	175	154	158	164	53	167	106	52	114	131
57753	8350	217	200	83	139	128	141	273	145	99	266	286
99297	34400	1667	1107	1607	930	1629	1281	939	1352	1025	2076	614
64592	18600	352	603	592	330	840	756	870	733	230	470	561
58506	13700	251	404	548	357	258	541	536	722	739	535	674
52581	3150	69	16	65	46	54	34	39	57	66	63	78
78732	600	10	14	14	12	8	7	9	15	4	9	6
89006	41100	954	898	1240	1264	1348	751	1069	740	1857	986	877
11982	121850	761	826	1354	674	1008	1195	909	1385	1051	404	1505
66979	6600	99	135	91	72	137	122	53	68	101	131	141
16048	21150	256	266	666	871	279	529	469	404	406	527	465
28725	48750	889	894	559	700	1049	1625	1388	1764	2138	886	1697
50089	55000	920	916	536	931	747	1283	505	670	971	942	839
71597	53250	1429	782	976	1185	702	2494	2240	1501	1950	1560	1603
51421	2200	38	66	55	55	69	45	131	165	207	163	49
32763	128100	5137	3279	1969	3505	3050	4968	3350	3444	6531	2302	2404
82615	750	5	10	13	21	17	19	14	10	16	14	6
78809	55050	338	1123	885	922	1125	596	355	512	1037	857	1391
43509	23300	493	349	453	354	456	395	436	349	441	555	538
66105	45300	1183	561	886	513	988	1356	664	792	575	647	1421
54977	397100	11075	6218	7080	6761	9460	16429	14806	7532	12601	13754	12327
49634	180000	2758	1600	1523	4613	3323	1218	4773	2920	3833	2178	2341
88592	1150	19	17	17	12	13	18	11	12	8	19	18
24840	650	4	5	3	6	4	3	3	4	2	4	3
34309	35900	1679	782	643	671	543	701	1197	735	711	597	619
47117	850	20	9	18	13	8	29	18	24	28	30	22
17409	5200	66	128	215	183	101	151	114	221	96	242	79
74121	68700	910	852	516	906	571	932	682	1228	944	736	985
99828	250	11	4	5	5	3	6	14	5	9	4	3
51618	150	6	0	2	2	1	1	5	2	2	2	1
22966	19150	257	277	277	179	236	443	192	215	322	240	450
60375	12400	182	209	242	222	235	121	339	448	371	268	262
34832	4250	138	48	107	75	102	150	181	196	260	125	107
100294	6350	159	121	132	118	181	210	133	109	158	94	149
43765	2000	22	21	29	32	41	25	43	40	61	25	61
25823	650	13	9	10	10	4	4	11	11	12	10	9
89903	2500	88	63	85	78	80	156	143	115	91	79	105
42332	1300	31	28	8	26	29	24	42	40	66	51	73
90414	500	4	11	8	5	10	9	6	3	5	6	4
14806	23850	477	421	444	478	211	321	298	653	384	538	223
27469	5700	68	161	157	224	96	89	89	163	134	73	137
57896	17250	401	405	276	142	231	395	328	354	403	279	384
32147	1400	22	22	33	12	20	10	4	16	22	10	26
48174	1700	26	69	42	31	42	44	38	51	42	52	33
35606	1750	16	26	34	36	15	20	16	20	26	21	28
80806	950	18	19	16	16	18	24	43	33	49	39	26
81105	8800	285	327	224	157	287	244	164	116	365	255	196
96078	3250	31	31	25	23	9	79	69	102	57	59	52
19165	14150	147	310	357	300	735	381	268	256	304	287	311
82859	21300	190	214	274	242	357	468	411	360	271	250	194
28902	454350	9304	9561	7597	6294	14654	16907	15969	15405	17354	15834	30959
62141	300	15	14	9	7	11	12	16	7	4	5	8
13929	54550	743	1130	1209	923	1584	2594	2656	541	1478	3403	3325
84992	7150	157	49	143	241	194	56	122	130	106	200	147
18439	8350	106	127	69	171	178	174	156	128	120	113	191
54291	200	8	5	8	9	8	16	5	10	7	15	0
75614	2200	70	75	41	69	50	89	67	77	35	62	106
15130	39000	985	481	962	628	500	852	910	336	751	368	903
56539	6700	131	152	182	80	118	220	126	254	80	130	152
41431	10300	276	163	147	236	209	135	74	184	151	181	93
15994	3650	90	96	95	32	89	78	86	39	117	66	109
76492	79050	1404	1851	1759	1315	1600	1564	926	1526	2496	1310	862
89325	10550	222	171	136	113	106	109	148	151	186	231	200
20984	350	2	1	3	4	4	0	0	1	3	1	1
76769	1550	35	29	54	30	63	58	10	51	38	31	48
32131	100	3	2	10	4	4	5	5	3	2	1	3
57723	150	0	0	1	0	2	2	3	0	0	2	3
27941	2250	109	38	44	62	35	47	46	70	46	54	64
77543	121550	783	2295	4591	3005	2929	2431	4231	3267	2889	1519	1536
89539	9000	182	166	103	126	208	199	183	215	293	121	77
47672	650	13	9	10	15	8	15	11	9	15	14	12
95410	750	15	31	31	34	23	34	21	18	21	17	18
54668	80250	2351	943	644	1753	1068	2086	716	1318	2167	1263	1404
89835	11850	120	265	147	217	191	250	286	180	319	254	391
24070	6000	145	151	130	209	241	144	170	153	242	220	116
68299	5400	106	170	182	212	173	188	75	274	107	218	70
73867	9300	194	309	137	148	176	142	203	249	164	175	86
48186	14900	644	575	832	487	718	1068	617	915	817	1182	626
98832	14900	614	421	630	626	558	597	280	331	585	467	614
29980	7950	155	174	137	312	134	687	775	442	565	480	332
40430	850	30	20	34	26	17	26	15	20	11	20	11
99734	20100	434	543	520	501	490	799	540	415	462	243	320
95458	2500	30	33	74	53	60	33	39	33	64	60	24
97998	68650	1302	2082	1400	788	1705	2055	927	731	1697	670	1281
58419	200	10	10	27	24	6	18	27	14	23	36	16
49026	4950	134	103	103	129	87	186	131	149	128	47	40
75021	5900	204	80	89	161	136	152	102	118	127	162	114
98898	200	8	10	5	14	18	13	8	8	14	8	6
22820	194400	4711	3423	4444	5520	9706	3880	3897	3113	3126	3618	2983
88573	139450	2839	2159	1684	2850	1809	5975	9300	3535	7181	4778	3841
69979	2200	33	100	72	55	38	41	44	48	47	30	52
28794	22100	315	597	526	819	620	652	723	428	813	510	398
54452	12000	356	314	294	337	458	181	508	253	397	518	223
18006	100	0	3	0	1	1	1	1	1	0	0	1
93617	9900	173	249	282	303	168	397	158	237	269	292	128
89032	8850	77	156	96	108	91	138	136	209	194	112	119
98060	5550	263	168	103	253	201	156	196	214	235	138	213
82052	900	16	23	21	15	13	10	8	17	37	32	24
24101	3400	117	146	120	112	74	50	89	84	122	80	154
81132	3950	71	186	79	153	54	108	143	149	60	116	106
40633	76350	1269	2143	1172	2489	2944	2914	1578	643	1352	1085	2249
13388	10550	368	190	232	282	256	508	444	395	231	338	221
59918	10950	48	200	201	187	173	180	288	110	191	121	226
82832	247100	3674	3441	4316	3713	4896	2724	1759	3966	3372	2220	2988
88624	2900	63	75	54	58	80	95	71	61	100	51	72
47132	3300	74	52	87	44	49	48	71	71	55	78	44
98582	300	0	5	4	7	3	7	8	4	10	8	7
67767	194250	2300	3118	2848	4028	3025	3303	3620	3047	5250	3506	3299
94812	84350	1695	1254	1076	1265	726	1381	902	782	1118	1385	1297
83432	42600	1449	896	1852	581	1135	645	811	861	512	1834	709
29976	27850	465	589	443	445	581	360	742	887	497	691	639
47698	9250	125	199	141	167	173	435	371	258	425	539	611
100417	8200	521	294	276	211	231	109	162	148	189	127	242
64207	4500	105	91	62	62	165	104	109	60	67	121	59
76181	5450	89	94	52	156	49	151	61	169	132	73	68
99419	5300	165	131	130	213	213	101	222	218	235	194	172
30218	107600	2205	3448	2840	4613	2311	2646	1579	2364	2061	3645	6338
93560	20600	267	421	365	551	942	392	1125	1279	1399	1068	1305
17939	8550	90	131	96	165	91	129	178	137	46	127	117
44319	1800	12	60	71	56	25	79	73	69	36	48	63
43212	3750	42	37	51	30	58	62	65	60	51	83	56
37410	379150	6916	3637	3003	4264	3302	7929	6885	6235	9695	5708	7398
74344	15900	413	334	469	645	420	1350	960	975	947	578	825
18082	7750	191	211	182	139	140	189	128	265	123	165	358
31768	2500	87	104	55	52	62	137	51	73	39	67	74
41093	1050	18	20	26	10	19	25	22	20	15	24	28
99029	13100	247	179	97	164	164	569	197	386	258	453	395
49212	46350	914	759	727	1042	742	622	865	845	796	922	792
62537	3000	100	79	62	54	38	80	71	79	98	79	74
82774	2900	129	50	98	132	52	152	230	111	254	133	203
52255	5800	109	78	137	88	87	105	89	36	151	131	97
32829	11950	154	125	270	165	170	216	159	175	210	168	299
26176	250	5	11	15	2	9	6	6	8	3	3	9
67049	3750	110	125	67	144	51	201	132	189	125	259	201
21336	1900	31	18	26	29	29	23	39	24	36	19	14
52513	45600	445	637	667	541	851	940	974	758	991	863	936
71740	2350	32	41	27	35	32	17	39	27	27	23	64
97802	23200	341	594	734	408	577	512	686	225	700	441	569
38350	145300	3319	4378	1625	2528	2287	2893	3907	2669	4123	2517	2628
92985	4500	78	113	97	94	134	80	96	80	50	100	91
57766	1150	47	35	61	25	25	87	77	34	79	69	72
32286	6850	136	278	317	201	265	276	197	177	219	186	223
98118	8500	158	90	245	102	130	122	65	125	115	162	125
68754	1200	24	16	20	16	21	28	16	18	17	24	16
68003	18000	386	474	370	270	617	390	453	811	487	238	311
65355	423750	9258	12109	8893	6517	6737	13585	17855	10313	9891	7705	8701
48045	6700	49	120	57	118	69	119	115	36	108	51	118
79901	4700	148	235	122	107	45	117	123	117	63	34	47
59721	850	10	28	19	29	33	19	21	17	13	23	12
35723	11300	352	325	310	193	276	280	124	361	193	139	326
95694	300	11	11	20	10	14	25	14	23	30	41	8
98191	900	12	17	17	18	13	18	16	9	16	6	10
59266	68650	2274	1428	2315	2007	2378	1892	1838	1830	1624	2284	3233
56271	1500	36	31	19	28	30	19	23	23	49	31	12
30487	66300	1062	1029	1501	707	1254	1408	898	1712	1005	1057	1176
51445	160550	6403	3255	3100	3147	2077	7571	8687	6674	7591	7526	6251
58360	13350	315	203	242	217	305	264	235	333	288	227	211
17830	18250	575	425	896	304	694	888	596	924	461	765	1157
88535	324600	8932	11729	8087	10831	8183	11259	5545	9525	14886	9233	8487
81855	7750	138	97	80	135	120	93	134	107	83	87	157
99941	2650	14	54	48	54	53	81	37	49	72	37	110
67397	950	8	9	12	9	3	13	6	6	8	16	15
30690	12300	225	131	164	88	221	215	328	144	393	137	236
29966	84950	3290	2672	2646	4674	2606	1861	4266	2515	2769	2553	4018
50657	78550	1168	688	783	1055	971	1451	1299	1326	1194	1125	1285
83151	1700	16	22	14	19	21	66	69	25	38	21	35
49253	1050	12	21	24	33	28	50	29	34	36	26	27
75358	2950	88	39	64	37	94	57	47	41	28	53	26
22279	17150	325	300	321	200	438	221	221	204	243	273	280
75708	4050	114	107	48	111	105	94	95	118	119	101	111
82552	16400	223	355	586	182	161	140	458	244	177	305	282
31579	20950	216	289	264	246	306	265	236	130	502	376	355
67588	3850	73	99	111	91	88	78	57	118	46	130	117
35712	4350	58	92	83	112	264	194	295	124	124	130	133
72951	10300	409	475	222	282	187	176	203	232	298	238	91
100102	11200	85	112	138	121	139	291	185	239	176	270	226
97855	11100	320	517	233	322	361	378	521	444	386	263	433
37313	339400	4585	5496	3541	6929	9446	15336	8475	12609	13668	13396	13597
71466	16500	593	800	519	671	498	421	494	508	579	640	323
58886	5650	123	199	99	194	192	202	258	175	117	267	231
49205	350	3	8	4	9	7	9	4	6	6	5	5
61347	16250	394	459	713	380	387	343	328	538	433	287	316
27255	250	6	4	5	4	4	11	8	5	12	7	2
34636	250	2	9	19	8	8	7	9	9	6	7	8
69242	31450	895	807	420	788	718	530	840	745	603	436	1060
59009	27550	404	1101	638	574	678	877	318	443	523	552	521
38628	3650	63	131	146	96	116	61	115	73	148	180	75
76128	400	7	11	3	2	4	4	3	1	4	3	5
92521	4000	111	78	151	78	51	67	71	87	108	94	98
20955	1750	28	33	49	33	33	46	46	34	69	54	21
76971	41650	574	778	468	507	413	369	942	556	322	444	563
46243	736400	11957	20552	12320	11762	10681	28302	21922	32527	21794	21507	39543
33760	11300	157	181	189	233	164	163	271	232	398	247	307
36795	1350	28	31	45	49	24	29	46	34	37	43	40
31509	1350	22	23	9	10	10	21	9	19	9	10	15
93313	10200	122	171	120	209	222	108	108	132	143	107	205
55803	7300	95	139	85	123	65	344	353	178	205	169	208
29481	1150	19	13	8	19	18	11	27	15	17	7	15
51094	11250	102	250	360	217	126	192	65	109	241	195	292
65010	400	19	12	15	17	12	7	22	17	20	13	22
47370	70450	936	1788	1277	1746	1278	952	2036	983	1102	1915	1720
73734	64200	1375	2439	1078	1486	629	954	795	1185	1551	1277	1758
87675	69050	1769	1290	1603	1124	1625	1022	1750	2304	1124	1724	1182
32748	3650	46	52	115	50	67	60	82	59	47	64	70
64707	25200	380	259	570	490	425	604	344	528	437	524	335
28551	5100	113	123	109	172	139	109	74	121	117	101	86
33426	2450	34	110	90	46	103	80	106	25	118	75	83
90233	5400	68	144	74	102	107	91	75	87	58	94	115
67359	1000	13	9	20	14	8	18	6	9	24	4	13
26018	250	8	8	18	7	6	5	7	6	8	8	10
92665	40750	479	432	1084	1353	1167	1424	1111	1181	2437	1751	1206
60130	5450	93	71	48	72	119	92	51	74	124	168	54
71039	11600	263	66	363	289	412	166	87	216	115	197	298
30310	46650	1289	979	2045	1007	811	1776	856	1089	1073	838	1928
37120	100	6	5	5	8	11	1	7	8	3	6	1
98458	1700	28	23	40	23	41	12	16	52	17	29	47
32037	14150	177	136	192	184	209	179	161	108	325	232	174
79684	18000	188	270	315	361	216	209	346	280	399	259	266
26301	2400	40	79	89	76	112	52	73	39	53	90	64
73194	55300	740	1030	774	949	1318	1506	960	1521	1091	771	833
89196	9050	160	376	274	123	224	273	150	339	318	125	361
16390	400	12	20	10	14	6	10	9	14	11	6	13
56167	1850	27	38	43	18	31	29	22	16	28	17	21
68985	31550	637	704	1014	812	1468	792	664	698	789	779	851
85057	22400	240	530	519	495	365	295	289	396	552	461	583
37835	0	1	6	2	6	5	4	8	8	5	10	5
63135	81450	1971	2179	1526	2589	2879	2728	1614	3355	1517	2416	3690
47648	9900	384	333	483	465	449	648	500	434	489	466	547
47263	136950	1981	1760	3036	1853	2117	3318	899	1818	1152	2012	1835
90741	3950	63	60	43	84	120	59	85	95	85	109	63
94447	5650	84	77	85	78	154	89	121	35	48	61	99
65553	800	8	18	17	14	6	50	45	32	41	25	24
68990	1903200	22895	26532	36179	24279	21313	23036	31684	16321	29298	24012	26021
20559	5600	194	126	103	147	43	97	45	114	181	107	174
41578	149500	2497	5661	3762	4685	4224	5952	5392	4705	4310	1741	3696
74929	2450	61	33	66	32	25	43	36	35	58	38	29
94074	6350	168	204	261	196	365	535	522	496	356	490	456
82415	250	3	3	13	7	5	1	8	10	3	6	8
38751	3250	86	80	77	75	94	68	62	82	84	87	44
17705	46000	1419	1349	991	1489	736	1205	467	1190	1276	912	1461
79352	600	28	2	24	16	13	12	9	11	15	13	12
27167	79250	2010	1463	762	2123	1171	1168	1282	2068	899	879	1432
57227	17850	367	245	239	393	369	215	155	409	198	176	380
38865	1300	8	14	13	16	23	29	11	12	26	14	20
20833	2500	25	64	49	73	74	65	71	40	58	74	53
82813	5000	62	74	66	60	45	141	144	164	110	147	140
87906	11100	242	144	104	154	117	240	160	203	136	160	110
80702	3550	72	39	67	41	62	84	94	55	110	74	39
60496	1000	13	29	58	36	22	40	16	38	21	19	18
62226	5200	72	84	109	137	87	50	70	128	130	97	95
56443	400	15	21	19	28	28	18	17	20	19	15	20
12930	300	8	13	11	21	14	9	20	14	10	25	22
79280	9000	123	184	230	189	139	148	161	117	152	254	122
82466	39050	734	1274	854	987	783	1454	764	1310	911	1136	1027
91246	300	4	4	9	5	14	5	12	6	3	4	1
94667	7250	151	173	212	73	223	189	160	194	70	129	195
47547	1400	28	60	44	56	27	35	21	56	28	57	55
59333	1450	19	19	33	16	16	14	21	18	16	33	8
14194	48450	1001	1015	1095	563	1016	841	619	1146	725	851	683
95514	3100	46	37	91	52	67	45	50	95	53	63	89
64472	79900	3239	4565	5527	2482	2119	3548	2163	1231	4575	4623	2284
46431	1550	28	31	29	17	12	20	64	33	50	45	52
77458	16100	291	386	288	283	244	240	219	588	353	492	219
40203	3550	75	91	126	100	72	129	55	159	109	86	61
98904	2150	20	32	60	23	30	87	70	42	99	75	54
37203	25450	314	236	412	311	357	907	583	406	562	478	538
39889	5650	115	173	190	90	134	141	144	119	148	83	107
74449	26650	224	476	167	366	720	1024	1244	904	1193	1097	1533
56227	10650	156	209	125	219	157	155	146	191	135	237	111
83042	900	28	26	25	21	11	11	11	16	23	16	9
47797	6400	121	130	180	136	127	101	170	159	100	148	138
27733	14150	284	313	161	134	122	116	248	210	114	164	183
27589	40700	1073	1234	1558	1812	1804	1501	1166	1437	1056	1008	909
87339	1700	41	27	22	24	36	18	55	42	37	48	45
84439	5650	220	146	139	146	125	201	181	131	118	168	146
94947	50	4	5	7	3	3	7	8	5	4	7	4
19575	26900	886	465	750	520	791	487	599	707	740	543	539
62990	300	15	10	27	14	12	25	18	16	20	23	18
76352	250	0	6	2	6	3	4	5	8	10	10	3
15818	4900	102	143	134	134	152	143	110	115	231	116	230
19331	88200	950	952	847	1812	816	1609	1167	1104	2139	1735	1076
53033	600	4	13	7	5	7	11	8	19	14	18	13
15112	550	28	39	30	28	15	17	14	16	22	17	29
60956	1350	19	27	23	30	42	20	30	44	43	39	45
76364	800	17	8	15	9	17	20	18	17	21	13	26
13047	20300	204	326	344	394	456	307	370	344	241	437	243
