gene_id	MCL1.DG	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
21499	106	92	60	76	226	85	149
94401	7	11	16	17	5	21	8
15306	12	38	27	24	47	19	23
32573	2143	5458	2548	1990	2043	1968	1262
49020	43	63	61	46	72	67	86
52645	200	294	417	154	260	256	414
63750	119	147	146	70	63	91	154
97405	62	39	49	84	49	44	79
58904	51	24	49	52	54	58	55
64037	677	780	448	402	565	620	461
21567	75	62	82	64	56	43	55
70810	132	53	167	106	52	114	131
57753	167	141	273	145	99	266	286
99297	688	1281	939	1352	1025	2076	614
64592	372	756	870	733	230	470	561
58506	274	541	536	722	739	535	674
52581	63	34	39	57	66	63	78
78732	12	7	9	15	4	9	6
89006	822	751	1069	740	1857	986	877
11982	2437	1195	909	1385	1051	404	1505
66979	132	122	53	68	101	131	141
16048	423	529	469	404	406	527	465
28725	975	1625	1388	1764	2138	886	1697
50089	1100	1283	505	670	971	942	839
71597	1065	2494	2240	1501	1950	1560	1603
51421	44	45	131	165	207	163	49
32763	2562	4968	3350	3444	6531	2302	2404
82615	15	19	14	10	16	14	6
78809	1101	596	355	512	1037	857	1391
43509	466	395	436	349	441	555	538
66105	906	1356	664	792	575	647	1421
54977	7942	16429	14806	7532	12601	13754	12327
49634	3600	1218	4773	2920	3833	2178	2341
88592	23	18	11	12	8	19	18
24840	13	3	3	4	2	4	3
34309	718	701	1197	735	711	597	619
47117	17	29	18	24	28	30	22
17409	104	151	114	221	96	242	79
74121	1374	932	682	1228	944	736	985
99828	5	6	14	5	9	4	3
51618	3	1	5	2	2	2	1
22966	383	443	192	215	322	240	450
60375	248	121	339	448	371	268	262
34832	85	150	181	196	260	125	107
100294	127	210	133	109	158	94	149
43765	40	25	43	40	61	25	61
25823	13	4	11	11	12	10	9
89903	50	156	143	115	91	79	105
42332	26	24	42	40	66	51	73
90414	10	9	6	3	5	6	4
14806	477	321	298	653	384	538	223
27469	114	89	89	163	134	73	137
57896	345	395	328	354	403	279	384
32147	28	10	4	16	22	10	26
48174	34	44	38	51	42	52	33
35606	35	20	16	20	26	21	28
80806	19	24	43	33	49	39	26
81105	176	244	164	116	365	255	196
96078	65	79	69	102	57	59	52
19165	283	381	268	256	304	287	311
82859	426	468	411	360	271	250	194
28902	9087	16907	15969	15405	17354	15834	30959
62141	6	12	16	7	4	5	8
13929	1091	2594	2656	541	1478	3403	3325
84992	143	56	122	130	106	200	147
18439	167	174	156	128	120	113	191
54291	4	16	5	10	7	15	0
75614	44	89	67	77	35	62	106
15130	780	852	910	336	751	368	903
56539	134	220	126	254	80	130	152
41431	206	135	74	184	151	181	93
15994	73	78	86	39	117	66	109
76492	1581	1564	926	1526	2496	1310	862
89325	211	109	148	151	186	231	200
20984	7	0	0	1	3	1	1
76769	31	58	10	51	38	31	48
32131	2	5	5	3	2	1	3
57723	3	2	3	0	0	2	3
27941	45	47	46	70	46	54	64
77543	2431	2431	4231	3267	2889	1519	1536
89539	180	199	183	215	293	121	77
47672	13	15	11	9	15	14	12
95410	15	34	21	18	21	17	18
54668	1605	2086	716	1318	2167	1263	1404
89835	237	250	286	180	319	254	391
24070	120	144	170	153	242	220	116
68299	108	188	75	274	107	218	70
73867	186	142	203	249	164	175	86
48186	298	1068	617	915	817	1182	626
98832	298	597	280	331	585	467	614
29980	159	687	775	442	565	480	332
40430	17	26	15	20	11	20	11
99734	402	799	540	415	462	243	320
95458	50	33	39	33	64	60	24
97998	1373	2055	927	731	1697	670	1281
58419	4	18	27	14	23	36	16
49026	99	186	131	149	128	47	40
75021	118	152	102	118	127	162	114
98898	4	13	8	8	14	8	6
22820	3888	3880	3897	3113	3126	3618	2983
88573	2789	5975	9300	3535	7181	4778	3841
69979	44	41	44	48	47	30	52
28794	442	652	723	428	813	510	398
54452	240	181	508	253	397	518	223
18006	2	1	1	1	0	0	1
93617	198	397	158	237	269	292	128
89032	177	138	136	209	194	112	119
98060	111	156	196	214	235	138	213
82052	18	10	8	17	37	32	24
24101	68	50	89	84	122	80	154
81132	79	108	143	149	60	116	106
40633	1527	2914	1578	643	1352	1085	2249
13388	211	508	444	395	231	338	221
59918	219	180	288	110	191	121	226
82832	4942	2724	1759	3966	3372	2220	2988
88624	58	95	71	61	100	51	72
47132	66	48	71	71	55	78	44
98582	6	7	8	4	10	8	7
67767	3885	3303	3620	3047	5250	3506	3299
94812	1687	1381	902	782	1118	1385	1297
83432	852	645	811	861	512	1834	709
29976	557	360	742	887	497	691	639
47698	185	435	371	258	425	539	611
100417	164	109	162	148	189	127	242
64207	90	104	109	60	67	121	59
76181	109	151	61	169	132	73	68
99419	106	101	222	218	235	194	172
30218	2152	2646	1579	2364	2061	3645	6338
93560	412	392	1125	1279	1399	1068	1305
17939	171	129	178	137	46	127	117
44319	36	79	73	69	36	48	63
43212	75	62	65	60	51	83	56
37410	7583	7929	6885	6235	9695	5708	7398
74344	318	1350	960	975	947	578	825
18082	155	189	128	265	123	165	358
31768	50	137	51	73	39	67	74
41093	21	25	22	20	15	24	28
99029	262	569	197	386	258	453	395
49212	927	622	865	845	796	922	792
62537	60	80	71	79	98	79	74
82774	58	152	230	111	254	133	203
52255	116	105	89	36	151	131	97
32829	239	216	159	175	210	168	299
26176	5	6	6	8	3	3	9
67049	75	201	132	189	125	259	201
21336	38	23	39	24	36	19	14
52513	912	940	974	758	991	863	936
71740	47	17	39	27	27	23	64
97802	464	512	686	225	700	441	569
38350	2906	2893	3907	2669	4123	2517	2628
92985	90	80	96	80	50	100	91
57766	23	87	77	34	79	69	72
32286	137	276	197	177	219	186	223
98118	170	122	65	125	115	162	125
68754	24	28	16	18	17	24	16
68003	360	390	453	811	487	238	311
65355	8475	13585	17855	10313	9891	7705	8701
48045	134	119	115	36	108	51	118
79901	94	117	123	117	63	34	47
59721	17	19	21	17	13	23	12
35723	226	280	124	361	193	139	326
95694	6	25	14	23	30	41	8
98191	18	18	16	9	16	6	10
59266	1373	1892	1838	1830	1624	2284	3233
56271	30	19	23	23	49	31	12
30487	1326	1408	898	1712	1005	1057	1176
51445	3211	7571	8687	6674	7591	7526	6251
58360	267	264	235	333	288	227	211
17830	365	888	596	924	461	765	1157
88535	6492	11259	5545	9525	14886	9233	8487
81855	155	93	134	107	83	87	157
99941	53	81	37	49	72	37	110
67397	19	13	6	6	8	16	15
30690	246	215	328	144	393	137	236
29966	1699	1861	4266	2515	2769	2553	4018
50657	1571	1451	1299	1326	1194	1125	1285
83151	34	66	69	25	38	21	35
49253	21	50	29	34	36	26	27
75358	59	57	47	41	28	53	26
22279	343	221	221	204	243	273	280
75708	81	94	95	118	119	101	111
82552	328	140	458	244	177	305	282
31579	419	265	236	130	502	376	355
67588	77	78	57	118	46	130	117
35712	87	194	295	124	124	130	133
72951	206	176	203	232	298	238	91
100102	224	291	185	239	176	270	226
97855	222	378	521	444	386	263	433
37313	6788	15336	8475	12609	13668	13396	13597
71466	330	421	494	508	579	640	323
58886	113	202	258	175	117	267	231
49205	7	9	4	6	6	5	5
61347	325	343	328	538	433	287	316
27255	5	11	8	5	12	7	2
34636	5	7	9	9	6	7	8
69242	629	530	840	745	603	436	1060
59009	551	877	318	443	523	552	521
38628	73	61	115	73	148	180	75
76128	8	4	3	1	4	3	5
92521	80	67	71	87	108	94	98
20955	35	46	46	34	69	54	21
76971	833	369	942	556	322	444	563
46243	14728	28302	21922	32527	21794	21507	39543
33760	226	163	271	232	398	247	307
36795	27	29	46	34	37	43	40
31509	27	21	9	19	9	10	15
93313	204	108	108	132	143	107	205
55803	146	344	353	178	205	169	208
29481	23	11	27	15	17	7	15
51094	225	192	65	109	241	195	292
65010	8	7	22	17	20	13	22
47370	1409	952	2036	983	1102	1915	1720
73734	1284	954	795	1185	1551	1277	1758
87675	1381	1022	1750	2304	1124	1724	1182
32748	73	60	82	59	47	64	70
64707	504	604	344	528	437	524	335
28551	102	109	74	121	117	101	86
33426	49	80	106	25	118	75	83
90233	108	91	75	87	58	94	115
67359	20	18	6	9	24	4	13
26018	5	5	7	6	8	8	10
92665	815	1424	1111	1181	2437	1751	1206
60130	109	92	51	74	124	168	54
71039	232	166	87	216	115	197	298
30310	933	1776	856	1089	1073	838	1928
37120	2	1	7	8	3	6	1
98458	34	12	16	52	17	29	47
32037	283	179	161	108	325	232	174
79684	360	209	346	280	399	259	266
26301	48	52	73	39	53	90	64
73194	1106	1506	960	1521	1091	771	833
89196	181	273	150	339	318	125	361
16390	8	10	9	14	11	6	13
56167	37	29	22	16	28	17	21
68985	631	792	664	698	789	779	851
85057	448	295	289	396	552	461	583
37835	0	4	8	8	5	10	5
63135	1629	2728	1614	3355	1517	2416	3690
47648	198	648	500	434	489	466	547
47263	2739	3318	899	1818	1152	2012	1835
90741	79	59	85	95	85	109	63
94447	113	89	121	35	48	61	99
65553	16	50	45	32	41	25	24
68990	38064	23036	31684	16321	29298	24012	26021
20559	112	97	45	114	181	107	174
41578	2990	5952	5392	4705	4310	1741	3696
74929	49	43	36	35	58	38	29
94074	127	535	522	496	356	490	456
82415	5	1	8	10	3	6	8
38751	65	68	62	82	84	87	44
17705	920	1205	467	1190	1276	912	1461
79352	12	12	9	11	15	13	12
27167	1585	1168	1282	2068	899	879	1432
57227	357	215	155	409	198	176	380
38865	26	29	11	12	26	14	20
20833	50	65	71	40	58	74	53
82813	100	141	144	164	110	147	140
87906	222	240	160	203	136	160	110
80702	71	84	94	55	110	74	39
60496	20	40	16	38	21	19	18
62226	104	50	70	128	130	97	95
56443	8	18	17	20	19	15	20
12930	6	9	20	14	10	25	22
79280	180	148	161	117	152	254	122
82466	781	1454	764	1310	911	1136	1027
91246	6	5	12	6	3	4	1
94667	145	189	160	194	70	129	195
47547	28	35	21	56	28	57	55
59333	29	14	21	18	16	33	8
14194	969	841	619	1146	725	851	683
95514	62	45	50	95	53	63	89
64472	1598	3548	2163	1231	4575	4623	2284
46431	31	20	64	33	50	45	52
77458	322	240	219	588	353	492	219
40203	71	129	55	159	109	86	61
98904	43	87	70	42	99	75	54
37203	509	907	583	406	562	478	538
39889	113	141	144	119	148	83	107
74449	533	1024	1244	904	1193	1097	1533
56227	213	155	146	191	135	237	111
83042	18	11	11	16	23	16	9
47797	128	101	170	159	100	148	138
27733	283	116	248	210	114	164	183
27589	814	1501	1166	1437	1056	1008	909
87339	34	18	55	42	37	48	45
84439	113	201	181	131	118	168	146
94947	1	7	8	5	4	7	4
19575	538	487	599	707	740	543	539
62990	6	25	18	16	20	23	18
76352	5	4	5	8	10	10	3
15818	98	143	110	115	231	116	230
19331	1764	1609	1167	1104	2139	1735	1076
53033	12	11	8	19	14	18	13
15112	11	17	14	16	22	17	29
60956	27	20	30	44	43	39	45
76364	16	20	18	17	21	13	26
13047	406	307	370	344	241	437	243
16063	40	62	28	18	15	13	25
30384	49	41	33	34	29	44	42
61148	757	380	448	832	160	543	595
36784	23	41	32	35	62	28	50
38155	182	296	497	584	163	499	214
36602	11	12	11	30	13	33	26
29077	22	15	12	23	11	7	18
92806	6	3	2	1	6	5	5
40979	5642	7224	9298	7527	4792	4782	9346
69206	77	145	132	110	214	152	177
63604	215	214	381	418	123	276	317
40761	129	147	191	247	113	152	165
39081	200	205	200	218	179	205	228
70732	112	170	167	183	182	223	91
95776	8485	7043	5597	10008	9724	11979	8576
27394	23	29	19	10	25	10	17
83226	6	9	5	4	9	7	5
13386	11	19	14	17	37	21	11
62620	6	8	5	8	6	8	6
15186	1399	1206	986	655	923	1024	937
76382	565	548	692	812	766	878	819
29912	19	30	23	14	17	17	16
94824	10	7	13	8	10	14	11
65545	62	33	108	71	69	93	40
88017	2928	5832	3125	5941	3469	6697	4651
95244	0	0	1	0	2	1	0
61324	315	633	466	309	412	469	371
44133	15	21	14	20	17	22	14
46376	762	1291	1994	1778	1231	1180	1291
23501	18	16	19	21	11	29	17
70413	86	90	94	27	41	100	51
54660	6	3	7	13	12	11	8
94316	26	22	17	14	29	17	20
56989	1506	2905	1793	2480	2204	3341	1679
53764	528	372	725	1125	982	813	613
87307	26	72	56	96	52	54	66
60201	15	28	19	11	34	29	31
56235	7	1	0	1	2	3	2
79275	58	68	46	51	80	125	60
38825	65	81	150	135	208	98	159
44087	57	117	159	128	81	182	147
19747	198	164	110	54	168	183	179
86749	7	11	15	19	9	15	18
84739	162	147	128	105	116	198	212
80130	240	133	110	121	220	178	190
44362	3610	3764	1898	2789	2831	1264	2218
26209	8854	6412	8765	6977	6988	10108	4749
31754	168	102	76	142	73	77	116
73230	36	39	35	61	20	18	22
73120	98	188	96	73	133	168	90
69120	39	22	63	45	17	48	36
89228	41	20	61	80	26	29	18
20364	206	77	83	108	134	103	203
51347	34	19	15	23	27	17	8
86980	766	542	259	478	727	694	699
16573	135	139	147	165	80	112	204
47534	161	260	219	183	336	206	424
89248	101	146	152	106	116	102	107
52924	18	39	38	30	37	44	47
24729	27	11	29	27	23	8	32
12831	78	90	79	95	110	78	107
46908	28	38	92	40	38	36	49
38694	257	293	418	200	291	314	347
62849	191	213	131	351	203	153	77
17224	13	7	6	8	5	11	14
48776	215	132	144	183	361	262	180
100986	5	17	8	8	20	5	9
23765	50	29	86	43	36	27	51
29550	58	80	109	98	50	63	125
69809	5	6	0	4	4	1	2
64689	96	118	302	228	158	153	80
87881	165	169	231	194	113	237	158
67537	103	106	55	39	195	116	143
52554	77	74	62	41	110	67	49
31747	59	78	94	55	115	45	44
41627	26	16	26	16	21	16	40
24050	118	100	135	79	57	77	139
33600	97	39	43	47	89	52	48
27386	316	554	247	271	292	292	254
21442	20	17	22	18	8	17	9
51646	246	349	365	301	394	215	245
87342	93	97	219	165	155	230	191
94784	125	111	225	188	101	90	127
77662	113	79	69	51	75	34	74
47612	428	267	574	521	336	599	306
91892	1	5	6	4	7	7	4
38014	302	263	151	379	357	293	270
96114	293	592	213	489	529	442	669
77874	273	370	518	319	189	212	388
31656	410	234	338	187	531	239	557
34368	93	33	23	68	14	56	27
43935	126	178	78	31	84	142	91
14572	756	282	315	614	337	744	511
13779	430	433	394	486	337	203	176
65018	266	230	217	149	125	343	354
62305	5	3	6	2	5	10	7
81909	373	329	496	289	518	320	453
47874	1065	2024	1140	1288	1617	1692	1696
41549	1229	463	881	1194	1867	1134	2089
33483	206	385	187	251	222	415	326
78307	7	6	3	8	9	1	5
87363	1316	990	1136	1410	932	1737	1427
101229	144	63	116	74	64	127	158
17353	0	4	1	0	2	1	1
49453	295	272	461	343	229	138	219
92198	5	7	6	5	8	9	3
27371	14	8	14	9	25	10	15
83584	59	72	47	34	23	41	43
35451	2205	3250	1272	1949	1627	1410	1650
56554	55	109	119	92	79	46	79
55410	348	163	157	242	217	358	296
60362	4931	5083	6473	6905	6543	4414	7100
99145	5364	2748	4804	3151	3709	3764	4952
63435	155	220	155	107	114	96	70
38282	92	100	150	101	76	73	134
28663	19	11	20	14	30	13	16
83146	49	25	34	37	28	24	44
46426	454	310	506	120	237	422	202
90473	446	383	242	470	340	346	255
92106	152	181	132	169	275	205	130
66992	1265	1089	1263	580	1459	767	1002
34128	54	27	50	22	33	37	14
41179	160	133	143	87	129	194	188
76890	408	514	500	688	1013	337	1030
95878	440	389	396	556	788	846	455
100334	1687	907	1259	1298	2346	1233	1326
64955	384	448	336	307	185	260	477
60125	47	60	105	32	76	59	103
56808	381	458	335	432	249	296	307
88955	15	25	21	17	29	30	13
45708	6	6	8	10	7	11	7
32129	653	371	460	470	440	562	727
38629	127	63	178	149	148	117	114
53364	258	466	139	579	208	145	364
27932	5	6	1	3	5	4	8
78075	33	32	62	92	78	96	48
29101	45	80	67	61	47	90	52
52615	17	19	12	41	29	21	22
46849	3	1	8	5	3	2	2
76180	58	76	47	99	95	160	98
11405	1037	923	490	829	1174	675	981
15269	348	485	312	278	383	278	336
90664	54	34	23	50	52	65	39
42970	206	163	136	271	181	124	130
26371	716	900	832	755	732	340	287
29425	1	2	0	1	2	1	1
65715	72	84	67	98	102	122	93
65297	366	1120	637	318	952	955	1322
51881	972	728	317	718	569	631	744
29039	3153	3355	3251	3136	5317	3232	5672
74414	2988	1788	1805	1042	2021	2055	1904
82627	236	306	341	276	376	331	345
88565	286	198	437	284	203	277	194
71438	1044	784	1126	726	780	550	880
40452	46	20	52	31	62	41	67
76503	148	160	86	197	109	126	136
25666	472	775	1482	1120	1002	1512	643
91361	4513	8105	2305	10110	13237	8088	14023
101153	113	158	48	142	104	192	192
54678	114	132	169	127	135	163	130
83543	141	265	167	263	152	297	288
49549	3839	2236	2845	1545	2927	2974	3210
62954	122	77	227	178	177	181	78
29233	2727	3656	3105	3511	1899	4733	2077
62750	24	27	15	21	24	18	12
57009	115	75	132	170	74	70	97
34454	131	122	85	108	87	104	64
66563	837	485	759	641	604	483	954
64522	1713	737	1120	1832	895	978	1152
70621	3	9	10	8	12	5	7
19985	22	16	22	12	15	21	34
69937	167	288	498	257	304	296	217
34804	49	20	79	35	37	59	50
35626	5	9	4	4	7	7	7
29829	1268	1980	1940	1963	2906	1245	1960
99833	420	308	316	309	548	232	332
82502	475	636	316	589	397	560	546
50383	53	17	59	32	48	64	53
45273	1720	1241	646	1569	861	638	1047
12074	90	81	137	109	154	76	75
74982	566	1044	1106	2055	880	825	1560
35638	23	57	34	62	65	82	55
61654	34	30	34	39	30	29	31
64177	417	220	200	174	189	148	112
15802	39	55	117	80	97	74	81
47671	1032	423	1032	852	855	365	516
41319	188	481	355	329	167	295	363
72530	32	24	15	20	6	26	42
49615	167	462	728	337	186	479	399
68925	95	140	120	127	274	99	104
20814	1374	1264	535	1776	1481	982	1241
91039	17	20	52	31	52	35	61
95325	28	70	73	48	91	64	87
49941	1858	1396	1651	1599	1029	1074	1305
18964	16664	10389	19546	14577	21377	12874	11719
25924	15625	9302	8917	6656	10739	9464	11901
28858	148	181	280	186	281	287	111
86396	397	277	336	212	127	275	301
22659	2932	4597	3108	4438	3481	5452	3538
62455	77	137	77	135	84	137	133
49877	12	33	62	49	45	35	63
42272	104	222	195	100	195	146	211
45651	328	284	583	459	292	616	339
98513	54	30	24	16	49	21	37
45036	8	8	10	6	5	6	5
44549	16	19	35	14	14	35	20
33835	622	488	370	930	433	959	943
21176	27	61	34	22	27	47	30
18499	60	91	111	106	142	157	177
78047	321	421	155	429	242	220	381
18265	525	714	785	886	337	629	649
49485	77	113	85	74	49	87	82
83299	436	471	354	534	503	373	331
29854	22	25	19	20	23	31	43
92167	107	94	90	56	48	43	53
25477	17	15	17	9	31	13	26
90845	825	1307	2313	1219	1070	1351	1647
66043	151	174	163	55	149	167	144
32890	20	54	25	42	30	29	45
33211	44	64	179	35	56	79	48
81726	59	99	79	104	84	99	45
58195	865	553	614	386	508	652	397
30885	2	7	3	3	5	6	9
30095	37	30	21	19	33	9	28
70322	49	101	111	31	35	40	69
56368	13384	10618	18307	30551	31130	17862	16526
40337	1419	824	1037	860	1435	1018	696
20285	102	177	141	82	163	146	168
57728	867	841	370	289	453	469	897
81190	11435	9712	12689	11679	10625	8148	10314
92002	86	160	127	101	61	102	142
13063	92	125	71	70	74	88	80
41462	2608	2593	2980	1964	1791	1879	1732
62346	204	487	621	501	573	373	351
98527	685	441	735	299	852	665	445
57129	34	88	68	91	104	78	84
28653	9471	11222	7964	4117	5721	8604	5911
84370	5584	4475	3614	4655	3138	3014	3025
51328	342	543	489	549	532	918	503
58650	417	905	613	719	345	481	739
33607	2	1	5	2	3	1	1
98211	766	584	394	923	940	412	879
50924	93	126	105	81	88	147	130
74988	417	399	263	327	421	203	237
20541	358	490	707	893	466	713	555
17918	101	108	84	67	74	75	90
17677	5	6	5	8	0	6	6
15276	305	1163	729	627	529	720	540
91203	45	32	33	45	73	35	18
93084	137	145	167	109	73	187	106
38581	38	31	43	38	19	69	74
52277	71	38	124	85	120	75	79
98439	2	1	2	1	2	2	1
30925	2179	1464	1800	2969	1290	1614	1245
77122	232	257	304	314	315	227	432
33059	2080	1196	779	1818	1854	2003	1431
27278	12780	11428	5238	10707	6367	11489	6257
50275	96	209	123	162	62	320	154
50402	3	2	6	11	2	2	1
55889	28	40	16	46	25	26	36
57812	14	31	30	29	15	24	34
30648	52	53	64	31	49	83	39
36290	180	111	151	241	222	177	196
35883	7	3	3	2	2	2	5
37027	190	389	247	242	307	246	323
85938	9	7	10	2	8	7	16
63488	264	478	329	295	167	220	289
80201	97	228	171	239	206	211	371
69829	70	140	150	104	75	161	111
34677	111	66	135	123	121	143	138
20450	48	49	31	57	55	57	49
33173	31	38	37	30	63	60	70
98656	6	8	1	3	3	2	4
30337	92	190	124	88	185	93	172
54362	7743	4037	3498	4230	3806	3726	5263
85252	4649	5857	11080	4247	7217	8956	14314
66356	2491	1674	1435	3495	1746	1455	1947
15408	656	832	387	439	363	686	544
54032	26	81	69	76	106	76	63
39194	1672	4899	8446	7254	3188	2830	3735
42030	191	140	152	168	93	153	153
77782	205	104	126	118	137	152	146
92578	92	87	179	174	118	124	119
80933	157	421	407	204	622	387	394
93306	60	57	50	59	82	48	66
47068	109	106	154	112	133	80	136
62412	19	31	26	23	14	36	26
94729	69	53	49	55	78	74	45
31990	13602	23835	10528	22645	10109	8692	14788
48750	158	108	160	150	144	179	191
48714	132	108	77	140	66	87	79
38200	460	584	604	180	640	533	467
75871	516	1274	1320	1374	973	941	1332
43677	21	19	36	25	25	28	25
21978	82	72	60	81	109	64	91
22962	957	1310	1075	1136	1130	959	711
90913	380	266	218	278	213	306	235
89164	220	73	209	114	153	132	95
62252	3333	2816	987	2469	4815	2497	3479
30947	29	24	33	51	52	48	26
