gene_id	GSM4280001
ENSG00000010201	5737
ENSG00000010202	530
ENSG00000010203	407
ENSG00000010204	1175
ENSG00000010205	64
ENSG00000010206	119
ENSG00000010207	24
ENSG00000010208	188
ENSG00000010209	112
ENSG00000010210	26685
ENSG00000010211	77
ENSG00000010212	1793
ENSG00000010213	1202
ENSG00000010214	65
ENSG00000010215	717
ENSG00000010216	2
ENSG00000010217	126
ENSG00000010218	576
ENSG00000010219	2
ENSG00000010220	7
ENSG00000010221	1553
ENSG00000010222	85
ENSG00000010223	13
ENSG00000010224	61
ENSG00000010225	48
ENSG00000010226	881
ENSG00000010227	500
ENSG00000010228	46
ENSG00000010229	73
ENSG00000010230	83
ENSG00000010231	1259
ENSG00000010232	445
ENSG00000010233	664
ENSG00000010234	80
ENSG00000010235	14
ENSG00000010236	39
ENSG00000010237	537
ENSG00000010238	135
ENSG00000010239	22
ENSG00000010240	7
ENSG00000010241	232
ENSG00000010242	52
ENSG00000010243	84
ENSG00000010244	93
ENSG00000010245	282
ENSG00000010246	171
ENSG00000010247	1321
ENSG00000010248	897
ENSG00000010249	3017
ENSG00000010250	551
ENSG00000010251	57
ENSG00000010252	103
ENSG00000010253	269
ENSG00000010254	80
ENSG00000010255	553
ENSG00000010256	1442
ENSG00000010257	59
ENSG00000010258	6
ENSG00000010259	1285
ENSG00000010260	140
ENSG00000010261	803
ENSG00000010262	10
ENSG00000010263	2225
ENSG00000010264	565
ENSG00000010265	114
ENSG00000010266	97
ENSG00000010267	241
ENSG00000010268	143
ENSG00000010269	78
ENSG00000010270	4
ENSG00000010271	1359
ENSG00000010272	185
ENSG00000010273	162
ENSG00000010274	164
ENSG00000010275	1
ENSG00000010276	485
ENSG00000010277	106
ENSG00000010278	47
ENSG00000010279	115
ENSG00000010280	18
ENSG00000010281	849
ENSG00000010282	40
ENSG00000010283	8
ENSG00000010284	23
ENSG00000010285	142
ENSG00000010286	554
ENSG00000010287	23
ENSG00000010288	3
ENSG00000010289	1087
ENSG00000010290	6
ENSG00000010291	1258
ENSG00000010292	135
ENSG00000010293	39
ENSG00000010294	34
ENSG00000010295	166
ENSG00000010296	677
ENSG00000010297	94
ENSG00000010298	938
ENSG00000010299	11173
ENSG00000010300	106
ENSG00000010301	15
ENSG00000010302	25
ENSG00000010303	15
ENSG00000010304	40
ENSG00000010305	34
ENSG00000010306	4
ENSG00000010307	494
ENSG00000010308	2
ENSG00000010309	8
ENSG00000010310	6056
ENSG00000010311	1431
ENSG00000010312	582
ENSG00000010313	287
ENSG00000010314	7222
ENSG00000010315	857
ENSG00000010316	233
ENSG00000010317	8
ENSG00000010318	138
ENSG00000010319	17
ENSG00000010320	32
ENSG00000010321	32
ENSG00000010322	185
ENSG00000010323	96
ENSG00000010324	752
ENSG00000010325	13
ENSG00000010326	125
ENSG00000010327	6755
ENSG00000010328	118
ENSG00000010329	2320
ENSG00000010330	1686
ENSG00000010331	1860
ENSG00000010332	776
ENSG00000010333	7
ENSG00000010334	64
ENSG00000010335	82
ENSG00000010336	11
ENSG00000010337	29
ENSG00000010338	7
ENSG00000010339	5
ENSG00000010340	282
ENSG00000010341	148
ENSG00000010342	87
ENSG00000010343	29
ENSG00000010344	90
ENSG00000010345	38
ENSG00000010346	23
ENSG00000010347	121
ENSG00000010348	85
ENSG00000010349	548
ENSG00000010350	526
ENSG00000010351	169
ENSG00000010352	55
ENSG00000010353	29
ENSG00000010354	365
ENSG00000010355	111
ENSG00000010356	145
ENSG00000010357	2
ENSG00000010358	1
ENSG00000010359	133
ENSG00000010360	258
ENSG00000010361	1111
ENSG00000010362	533
ENSG00000010363	178
ENSG00000010364	151
ENSG00000010365	13
ENSG00000010366	1037
ENSG00000010367	48
ENSG00000010368	359
ENSG00000010369	194
ENSG00000010370	137
ENSG00000010371	632
ENSG00000010372	51
ENSG00000010373	51
ENSG00000010374	14
ENSG00000010375	44
ENSG00000010376	3022
ENSG00000010377	103
ENSG00000010378	1215
ENSG00000010379	789
ENSG00000010380	446
ENSG00000010381	740
ENSG00000010382	23
ENSG00000010383	297
ENSG00000010384	3224
ENSG00000010385	65
ENSG00000010386	186
ENSG00000010387	27
ENSG00000010388	380
ENSG00000010389	20
ENSG00000010390	2271
ENSG00000010391	75
ENSG00000010392	8
ENSG00000010393	4251
ENSG00000010394	1048
ENSG00000010395	423
ENSG00000010396	573
ENSG00000010397	51
ENSG00000010398	116
ENSG00000010399	457
ENSG00000010400	991
ENSG00000010401	742
ENSG00000010402	209
ENSG00000010403	29
ENSG00000010404	84
ENSG00000010405	682
ENSG00000010406	1942
ENSG00000010407	75
ENSG00000010408	105
ENSG00000010409	1899
ENSG00000010410	638
ENSG00000010411	401
ENSG00000010412	6
ENSG00000010413	42
ENSG00000010414	70
ENSG00000010415	247
ENSG00000010416	6
ENSG00000010417	2390
ENSG00000010418	174
ENSG00000010419	239
ENSG00000010420	7
ENSG00000010421	98
ENSG00000010422	2396
ENSG00000010423	6
ENSG00000010424	195
ENSG00000010425	749
ENSG00000010426	43
ENSG00000010427	623
ENSG00000010428	64
ENSG00000010429	1845
ENSG00000010430	292
ENSG00000010431	268
ENSG00000010432	7319
ENSG00000010433	872
ENSG00000010434	1490
ENSG00000010435	22
ENSG00000010436	36
ENSG00000010437	1163
ENSG00000010438	857
ENSG00000010439	124
ENSG00000010440	471
ENSG00000010441	20
ENSG00000010442	407
ENSG00000010443	19
ENSG00000010444	227
ENSG00000010445	22
ENSG00000010446	32
ENSG00000010447	279
ENSG00000010448	4130
ENSG00000010449	15
ENSG00000010450	30
ENSG00000010451	948
ENSG00000010452	73
ENSG00000010453	5619
ENSG00000010454	217
ENSG00000010455	117
ENSG00000010456	193
ENSG00000010457	4751
ENSG00000010458	359
ENSG00000010459	554
ENSG00000010460	179
ENSG00000010461	3
ENSG00000010462	18
ENSG00000010463	4231
ENSG00000010464	538
ENSG00000010465	666
ENSG00000010466	528
ENSG00000010467	39
ENSG00000010468	359
ENSG00000010469	34
ENSG00000010470	259
ENSG00000010471	19
ENSG00000010472	121
ENSG00000010473	456
ENSG00000010474	75
ENSG00000010475	752
ENSG00000010476	266
ENSG00000010477	205
ENSG00000010478	2047
ENSG00000010479	12
ENSG00000010480	11
ENSG00000010481	575
ENSG00000010482	651
ENSG00000010483	5014
ENSG00000010484	514
ENSG00000010485	687
ENSG00000010486	25
ENSG00000010487	840
ENSG00000010488	541
ENSG00000010489	37
ENSG00000010490	11
ENSG00000010491	101
ENSG00000010492	273
ENSG00000010493	4
ENSG00000010494	243
ENSG00000010495	301
ENSG00000010496	84
ENSG00000010497	314
ENSG00000010498	328
ENSG00000010499	15
