	GSM4280001	GSM4280002	GSM4280003	GSM4280004	GSM4280005	GSM4280006
ENSG00000010247	1321	690	1595	1559	1379	920
ENSG00000010248	897	1344	752	857	1164	1382
ENSG00000010249	3017	2197	1939	1743	1163	3274
ENSG00000010250	551	1076	448	405	715	650
ENSG00000010251	57	90	99	129	53	123
ENSG00000010252	103	144	123	108	133	168
ENSG00000010253	269	569	406	303	602	268
ENSG00000010254	80	83	71	64	84	82
ENSG00000010255	553	479	717	665	341	342
ENSG00000010256	1442	916	1869	1387	1686	1711
ENSG00000010257	59	29	25	41	41	36
ENSG00000010258	6	4	4	4	2	3
ENSG00000010259	1285	1297	1073	568	1179	1801
ENSG00000010260	140	191	87	163	118	116
ENSG00000010261	803	552	907	527	929	1067
ENSG00000010262	10	7	15	10	16	16
ENSG00000010263	2225	6861	3189	4032	5095	2747
ENSG00000010264	565	600	655	1069	887	728
ENSG00000010265	114	75	92	64	53	103
ENSG00000010266	97	93	101	61	56	99
ENSG00000010267	241	209	128	218	266	243
ENSG00000010268	143	80	80	80	129	72
ENSG00000010269	78	118	62	46	51	75
ENSG00000010270	4	11	11	11	9	13
ENSG00000010271	1359	1792	2586	1474	1306	1251
ENSG00000010272	185	86	189	168	113	95
ENSG00000010273	162	205	96	129	209	135
ENSG00000010274	164	281	141	110	196	178
ENSG00000010275	1	1	0	1	0	0
ENSG00000010276	485	731	501	379	531	387
ENSG00000010277	106	47	117	135	175	62
ENSG00000010278	47	105	83	61	133	84
ENSG00000010279	115	157	262	117	167	128
ENSG00000010280	18	17	10	27	20	31
ENSG00000010281	849	579	752	331	1146	426
ENSG00000010282	40	7	31	57	65	36
ENSG00000010283	8	22	17	31	19	19
ENSG00000010284	23	27	33	22	30	29
ENSG00000010285	142	194	169	188	189	333
ENSG00000010286	554	645	525	390	716	627
ENSG00000010287	23	44	31	37	74	49
ENSG00000010288	3	4	10	5	3	4
ENSG00000010289	1087	985	1098	627	737	1057
ENSG00000010290	6	12	21	19	18	13
ENSG00000010291	1258	1292	1665	1255	1140	2026
ENSG00000010292	135	160	152	239	83	149
ENSG00000010293	39	29	55	27	21	19
ENSG00000010294	34	40	55	46	41	59
ENSG00000010295	166	500	404	285	420	376
ENSG00000010296	677	878	703	695	703	418
ENSG00000010297	94	123	57	109	94	91
ENSG00000010298	938	995	1204	916	677	1025
ENSG00000010299	11173	6335	11851	9925	7960	6031
ENSG00000010300	106	86	129	75	104	67
ENSG00000010301	15	7	12	8	9	20
ENSG00000010302	25	20	15	10	20	9
ENSG00000010303	15	6	10	9	11	10
ENSG00000010304	40	23	39	44	30	40
ENSG00000010305	34	16	33	33	19	29
ENSG00000010306	4	9	12	10	15	9
ENSG00000010307	494	294	423	308	310	766
ENSG00000010308	2	0	1	1	0	1
ENSG00000010309	8	12	9	16	7	11
ENSG00000010310	6056	5143	7045	6345	13983	6799
ENSG00000010311	1431	733	1064	881	616	607
ENSG00000010312	582	363	293	455	312	587
ENSG00000010313	287	469	408	515	387	317
ENSG00000010314	7222	5780	4527	4565	5798	3381
ENSG00000010315	857	483	565	805	406	412
ENSG00000010316	233	164	221	178	184	220
ENSG00000010317	8	12	7	13	10	11
ENSG00000010318	138	188	53	98	139	134
ENSG00000010319	17	39	45	30	58	42
ENSG00000010320	32	37	22	56	29	19
ENSG00000010321	32	49	83	51	17	27
ENSG00000010322	185	61	119	166	122	84
ENSG00000010323	96	132	70	28	74	109
ENSG00000010324	752	1028	1110	863	1059	843
ENSG00000010325	13	18	7	5	8	9
ENSG00000010326	125	124	161	63	122	89
ENSG00000010327	6755	5256	4117	3934	8374	5823
ENSG00000010328	118	168	94	106	191	155
ENSG00000010329	2320	1419	2195	1523	1165	1065
ENSG00000010330	1686	1392	1526	1282	1467	1091
ENSG00000010331	1860	2927	2114	1830	1911	750
ENSG00000010332	776	567	442	602	372	454
ENSG00000010333	7	12	4	10	8	8
ENSG00000010334	64	103	90	86	64	53
ENSG00000010335	82	111	79	70	36	83
ENSG00000010336	11	11	6	5	6	10
ENSG00000010337	29	57	51	70	60	46
ENSG00000010338	7	21	14	24	8	12
ENSG00000010339	5	4	7	6	2	8
ENSG00000010340	282	347	189	213	375	147
ENSG00000010341	148	107	68	141	187	138
ENSG00000010342	87	31	58	51	33	50
ENSG00000010343	29	11	35	29	29	23
ENSG00000010344	90	77	95	72	23	61
ENSG00000010345	38	91	42	69	54	102
ENSG00000010346	23	41	101	41	64	90
ENSG00000010347	121	158	155	165	112	230
ENSG00000010348	85	33	21	47	87	75
ENSG00000010349	548	518	293	267	281	384
ENSG00000010350	526	146	381	304	362	431
ENSG00000010351	169	479	252	437	331	285
ENSG00000010352	55	45	12	51	46	35
ENSG00000010353	29	34	41	22	46	40
ENSG00000010354	365	305	365	380	189	449
ENSG00000010355	111	68	76	131	87	101
ENSG00000010356	145	119	90	140	105	195
ENSG00000010357	2	0	2	2	0	1
ENSG00000010358	1	3	2	1	0	1
ENSG00000010359	133	341	367	290	246	246
ENSG00000010360	258	420	97	195	239	292
ENSG00000010361	1111	1427	3047	1163	2241	3223
ENSG00000010362	533	960	587	288	1003	386
ENSG00000010363	178	259	252	129	220	242
ENSG00000010364	151	161	232	124	250	129
ENSG00000010365	13	4	13	7	6	13
ENSG00000010366	1037	969	1051	761	1549	537
ENSG00000010367	48	52	47	39	41	67
ENSG00000010368	359	289	215	392	285	237
ENSG00000010369	194	283	206	115	239	179
ENSG00000010370	137	222	150	310	370	272
ENSG00000010371	632	784	973	1067	421	1037
ENSG00000010372	51	67	50	59	40	54
ENSG00000010373	51	83	66	52	49	106
ENSG00000010374	14	15	30	39	22	15
ENSG00000010375	44	64	72	79	65	48
ENSG00000010376	3022	3210	2361	3982	9073	5169
ENSG00000010377	103	31	109	61	63	81
ENSG00000010378	1215	1658	2127	882	1512	1711
ENSG00000010379	789	440	1000	806	486	395
ENSG00000010380	446	585	612	653	667	906
ENSG00000010381	740	694	1027	563	523	396
ENSG00000010382	23	19	17	27	21	10
ENSG00000010383	297	347	482	414	435	202
ENSG00000010384	3224	3543	4700	5711	5579	1994
ENSG00000010385	65	31	37	22	27	21
ENSG00000010386	186	82	135	145	118	108
ENSG00000010387	27	65	32	69	25	24
ENSG00000010388	380	196	144	518	227	197
ENSG00000010389	20	17	17	14	12	25
ENSG00000010390	2271	2646	4863	6567	1725	2541
ENSG00000010391	75	120	65	43	45	77
ENSG00000010392	8	9	5	8	3	1
ENSG00000010393	4251	5801	4242	3635	2883	5571
ENSG00000010394	1048	1790	1471	532	486	1043
ENSG00000010395	423	358	254	180	365	366
ENSG00000010396	573	495	403	346	402	518
ENSG00000010397	51	149	84	73	31	49
ENSG00000010398	116	91	89	148	127	105
ENSG00000010399	457	547	688	976	392	297
ENSG00000010400	991	934	864	761	1064	1277
ENSG00000010401	742	543	726	800	880	833
ENSG00000010402	209	211	263	235	193	310
ENSG00000010403	29	45	48	51	74	71
ENSG00000010404	84	68	101	127	110	73
ENSG00000010405	682	941	1105	1176	1099	1243
ENSG00000010406	1942	2225	2021	3035	1867	2610
ENSG00000010407	75	60	82	42	77	49
ENSG00000010408	105	56	58	69	19	95
ENSG00000010409	1899	2268	1242	1215	1685	2311
ENSG00000010410	638	540	679	540	555	294
ENSG00000010411	401	638	714	749	545	391
ENSG00000010412	6	10	9	12	4	13
ENSG00000010413	42	67	68	79	80	105
ENSG00000010414	70	18	49	35	58	60
ENSG00000010415	247	215	302	161	184	116
ENSG00000010416	6	8	1	6	5	4
ENSG00000010417	2390	1595	1263	974	1387	926
ENSG00000010418	174	327	544	221	225	190
ENSG00000010419	239	374	205	307	327	284
ENSG00000010420	7	24	10	19	4	16
ENSG00000010421	98	94	220	98	44	71
ENSG00000010422	2396	3604	2001	2662	2010	2523
ENSG00000010423	6	7	5	3	6	6
ENSG00000010424	195	143	424	400	148	181
ENSG00000010425	749	1167	546	1192	299	969
ENSG00000010426	43	30	47	22	36	35
ENSG00000010427	623	553	575	680	430	489
ENSG00000010428	64	88	68	61	62	110
ENSG00000010429	1845	1468	1285	1392	1242	1505
ENSG00000010430	292	323	512	601	587	454
ENSG00000010431	268	295	261	307	338	206
ENSG00000010432	7319	7315	17128	10121	5391	8730
ENSG00000010433	872	700	531	619	721	699
ENSG00000010434	1490	1942	1212	2361	1197	2167
ENSG00000010435	22	9	14	18	15	13
ENSG00000010436	36	57	41	24	36	36
ENSG00000010437	1163	1073	734	813	508	827
ENSG00000010438	857	921	865	716	841	598
ENSG00000010439	124	185	64	131	81	165
ENSG00000010440	471	735	743	420	401	456
ENSG00000010441	20	14	14	20	22	21
ENSG00000010442	407	389	247	187	312	248
ENSG00000010443	19	6	14	22	9	15
ENSG00000010444	227	558	330	280	318	368
ENSG00000010445	22	28	41	53	51	34
ENSG00000010446	32	38	25	28	15	20
ENSG00000010447	279	210	181	217	264	219
ENSG00000010448	4130	5478	6449	4005	4922	4403
ENSG00000010449	15	18	28	6	24	16
ENSG00000010450	30	47	36	57	50	45
ENSG00000010451	948	1374	813	717	1060	1070
ENSG00000010452	73	54	51	77	74	52
ENSG00000010453	5619	3647	6144	7374	3986	4602
ENSG00000010454	217	143	231	186	326	228
ENSG00000010455	117	210	75	224	143	107
ENSG00000010456	193	175	288	278	332	220
ENSG00000010457	4751	4581	4895	5847	3127	4161
ENSG00000010458	359	470	507	474	660	859
ENSG00000010459	554	503	496	394	758	365
ENSG00000010460	179	218	287	208	300	206
ENSG00000010461	3	3	5	9	4	11
ENSG00000010462	18	13	25	19	17	23
ENSG00000010463	4231	3759	4651	2412	3089	1504
ENSG00000010464	538	960	1025	859	695	869
ENSG00000010465	666	519	162	389	283	251
ENSG00000010466	528	780	501	605	676	636
ENSG00000010467	39	45	81	46	73	43
ENSG00000010468	359	361	315	333	374	375
ENSG00000010469	34	18	28	17	30	29
ENSG00000010470	259	334	456	273	280	327
ENSG00000010471	19	42	34	34	21	38
ENSG00000010472	121	63	90	35	122	75
ENSG00000010473	456	417	365	348	372	360
ENSG00000010474	75	57	45	83	55	34
ENSG00000010475	752	238	682	423	555	395
ENSG00000010476	266	342	351	215	361	381
ENSG00000010477	205	187	470	163	310	195
ENSG00000010478	2047	1308	3840	3164	1369	3098
ENSG00000010479	12	5	6	4	2	8
ENSG00000010480	11	4	11	4	10	10
ENSG00000010481	575	532	455	602	417	400
ENSG00000010482	651	756	1250	854	838	1154
ENSG00000010483	5014	4663	9838	10296	10799	8724
ENSG00000010484	514	541	704	300	841	325
ENSG00000010485	687	1012	558	1203	923	673
ENSG00000010486	25	25	45	25	16	40
ENSG00000010487	840	523	531	972	740	1216
ENSG00000010488	541	329	786	448	597	505
ENSG00000010489	37	19	12	10	13	35
ENSG00000010490	11	21	13	32	22	9
ENSG00000010491	101	190	205	111	97	114
ENSG00000010492	273	180	370	208	330	223
ENSG00000010493	4	1	3	1	1	0
ENSG00000010494	243	129	172	179	128	156
ENSG00000010495	301	279	178	200	197	237
ENSG00000010496	84	123	46	165	178	120
ENSG00000010497	314	252	360	109	218	233
ENSG00000010498	328	416	435	382	375	275
ENSG00000010499	15	19	12	11	24	14
