	GSM1275862_untreated	GSM1275862_dex	GSM1275863_untreated	GSM1275863_dex	GSM1275870_untreated	GSM1275870_dex	GSM1275871_untreated	GSM1275871_dex
ENSG00000186596	19	22	17	11	24	14	41	21
ENSG00000175309	54	13	53	56	58	37	56	39
ENSG00000122691	187	113	174	208	240	147	160	96
ENSG00000153821	549	439	337	865	392	597	815	734
ENSG00000155306	12	46	28	36	16	24	24	19
ENSG00000115207	8	35	25	19	20	9	23	18
ENSG00000200428	1392	1641	1462	1509	1441	701	1051	1139
ENSG00000148155	188	161	253	161	173	127	161	144
ENSG00000173724	87	69	89	80	56	82	87	80
ENSG00000143042	61	69	36	30	23	46	40	24
ENSG00000121092	48	27	25	37	33	36	58	38
ENSG00000195444	6325	2130	4765	2572	5658	2650	12572	5449
ENSG00000121994	1419	1073	1053	1044	1152	728	1194	1372
ENSG00000187376	54	51	75	50	46	63	64	29
ENSG00000225952	9	4	21	12	16	9	12	21
ENSG00000131380	4705	3257	3146	3407	4907	4142	7493	3312
ENSG00000135289	5126	3459	4792	4260	8301	3290	6896	2349
ENSG00000227826	1286	2154	2533	1167	2856	1309	1271	1865
ENSG00000179023	1951	495	2681	1015	1080	1103	1614	681
ENSG00000243279	3	3	1	7	6	5	5	4
ENSG00000105743	35	18	19	13	9	12	28	8
ENSG00000180436	405	381	337	442	634	264	211	323
ENSG00000224710	66	44	110	116	67	140	54	86
ENSG00000176230	200	358	91	434	101	343	216	230
ENSG00000240003	31	40	55	39	33	27	52	71
ENSG00000162759	41	20	33	53	86	49	42	36
ENSG00000137973	621	439	476	510	381	455	241	494
ENSG00000139264	52	84	83	45	53	60	64	89
ENSG00000243037	104	132	142	178	162	180	100	153
ENSG00000160427	130	278	192	336	182	301	172	375
ENSG00000153452	340	222	163	403	197	155	221	143
ENSG00000212687	1769	1242	2094	1582	1554	597	1897	1999
ENSG00000173268	1754	1808	4217	3114	6664	3545	2945	2041
ENSG00000103128	4	9	6	9	10	8	10	6
ENSG00000229652	90	110	83	91	77	86	59	91
ENSG00000125190	58	68	58	60	64	27	81	46
ENSG00000239645	592	465	708	523	419	746	606	487
ENSG00000102483	15	13	31	23	16	26	11	30
ENSG00000112104	875	862	1020	590	1370	1041	1800	415
ENSG00000214801	628	412	582	617	605	720	460	640
ENSG00000109807	1529	711	816	450	612	498	1214	348
ENSG00000249137	20	21	8	19	25	20	29	22
ENSG00000108927	146	52	151	163	99	115	62	98
ENSG00000203943	16	26	15	8	17	16	19	12
ENSG00000224010	302	347	286	313	292	192	438	265
ENSG00000215021	569	466	828	702	1397	896	875	771
ENSG00000244205	9	9	6	6	10	5	7	8
ENSG00000193149	31	18	20	59	36	19	17	39
ENSG00000116862	102	69	92	126	73	123	100	82
ENSG00000119589	52	93	28	27	21	30	53	51
ENSG00000159346	2332	3023	2759	2445	2858	2195	3597	2811
ENSG00000190582	59	61	90	156	60	119	89	139
ENSG00000127554	333	219	229	182	228	365	247	325
ENSG00000164344	9	10	12	7	20	20	18	8
ENSG00000169702	3129	2772	3544	3149	2680	5361	3080	4271
ENSG00000173941	197	216	148	180	97	199	125	359
ENSG00000153174	1456	737	2291	270	1350	1121	2325	400
ENSG00000224633	241	223	167	166	112	137	103	174
ENSG00000223847	5	3	0	2	2	1	0	0
ENSG00000223660	5	4	4	9	15	14	8	5
ENSG00000145247	6	10	18	7	14	7	6	10
ENSG00000204982	258	248	306	327	297	565	406	325
ENSG00000175791	65	44	61	42	45	43	73	66
ENSG00000152802	281	266	472	379	244	261	335	174
ENSG00000199602	265	207	75	278	263	226	327	272
ENSG00000230762	171	262	182	246	173	212	191	205
ENSG00000169871	1134	1383	750	897	1131	369	771	966
ENSG00000117518	203	214	101	153	119	126	149	61
ENSG00000104057	6	3	7	3	0	4	12	6
ENSG00000149315	33	26	42	41	56	36	49	28
ENSG00000174278	8720	4968	10289	4042	3994	2954	7457	2385
ENSG00000200045	6	24	6	10	9	10	12	17
ENSG00000200285	3378	2529	3769	2123	5517	1926	4275	2416
ENSG00000240178	2871	5119	6091	3279	5096	4385	2937	3828
ENSG00000225233	33	26	57	40	28	44	42	29
ENSG00000210649	504	393	222	241	375	327	224	141
ENSG00000126238	1	4	7	12	8	6	7	6
ENSG00000121760	390	687	620	706	319	473	244	519
ENSG00000212997	67	38	56	19	60	53	66	34
ENSG00000165990	15	6	10	13	4	13	8	16
ENSG00000231625	54	67	75	59	94	70	124	53
ENSG00000112710	32	40	41	77	53	55	59	44
ENSG00000117631	25	54	68	51	44	35	55	44
ENSG00000131414	177	258	148	187	197	229	213	149
ENSG00000246360	75	96	87	113	82	127	43	83
ENSG00000156770	33	47	50	53	42	42	28	44
ENSG00000234870	828	1298	435	849	698	539	1029	980
ENSG00000159731	16797	28590	19602	11673	19922	23908	14324	7640
ENSG00000135137	125	200	156	190	72	154	169	352
ENSG00000165733	29	42	28	43	41	29	30	31
ENSG00000189332	15	34	19	24	11	10	14	15
ENSG00000180654	365	306	419	630	430	473	570	473
ENSG00000203732	100	119	48	59	106	52	88	91
ENSG00000190617	165	109	284	131	186	197	138	130
ENSG00000172582	3	0	3	3	2	1	4	9
ENSG00000223348	17	8	13	16	11	7	31	17
ENSG00000241200	8	7	10	16	22	11	11	24
ENSG00000163656	1071	916	1117	1450	1285	420	871	1518
ENSG00000222688	152	55	186	117	162	83	212	80
ENSG00000237244	1	0	4	1	1	0	3	2
ENSG00000176918	291	457	405	239	372	586	250	286
ENSG00000100264	1819	1316	1651	1403	1242	1411	1760	1428
ENSG00000187725	1664	2488	2705	2515	1445	2470	1923	3241
ENSG00000190669	3	2	1	1	3	1	3	0
ENSG00000121784	195	279	187	193	73	196	145	213
ENSG00000140976	825	944	1047	470	270	570	1293	931
ENSG00000211175	325	512	362	655	469	317	385	598
ENSG00000187989	139	111	69	94	67	106	136	44
ENSG00000222699	3	6	5	2	1	6	0	2
ENSG00000180995	118	55	50	88	51	82	65	86
ENSG00000225492	112	66	52	46	92	100	42	116
ENSG00000232525	408	361	666	323	503	393	194	583
ENSG00000168577	759	689	574	541	377	577	403	497
ENSG00000189433	63	115	30	95	154	96	54	105
ENSG00000140044	787	885	1250	960	595	910	704	564
ENSG00000156986	13	11	9	27	15	15	21	17
ENSG00000120569	83	17	40	15	34	22	50	45
ENSG00000186435	127	240	141	212	102	100	83	91
ENSG00000172049	266	370	434	214	552	436	596	532
ENSG00000146087	100	86	61	49	60	65	143	59
ENSG00000200520	1553	1769	1529	1188	2859	1320	1687	761
ENSG00000136600	214	503	287	192	137	494	331	252
ENSG00000146857	13	27	8	34	20	20	26	30
ENSG00000163589	235	164	220	187	87	148	217	157
ENSG00000128764	20	20	23	21	23	15	12	23
ENSG00000114698	10	20	27	11	20	22	33	23
ENSG00000201973	10	6	8	6	5	4	11	14
ENSG00000233521	2009	913	2379	2720	1784	2956	1791	1676
ENSG00000228130	970	842	929	901	653	1017	1246	753
ENSG00000198094	11	7	2	8	9	13	5	4
ENSG00000100534	1511	1741	649	1669	1353	998	1829	863
ENSG00000193202	951	1223	894	1074	669	1248	1100	1258
ENSG00000110082	85	47	79	52	31	67	71	47
ENSG00000239072	341	492	407	297	556	486	464	379
ENSG00000226047	13695	19281	9977	10677	13748	5302	8151	12599
ENSG00000227991	304	183	294	258	251	153	280	221
ENSG00000181828	418	218	458	304	383	373	254	320
ENSG00000209511	1646	1892	1206	2650	815	1390	1593	1052
ENSG00000152902	9	22	17	15	6	23	8	17
ENSG00000180118	10	13	9	11	11	15	27	11
ENSG00000239106	11	5	8	13	6	2	7	8
ENSG00000230733	92	157	140	122	152	80	156	111
ENSG00000111058	1516	912	709	714	625	833	833	897
ENSG00000197184	30	29	21	34	17	24	16	38
ENSG00000241190	6	5	14	15	7	10	11	4
ENSG00000150197	207	125	296	173	220	253	200	261
ENSG00000142584	39	50	71	54	69	82	136	55
ENSG00000145384	324	402	330	452	343	468	433	508
ENSG00000172545	103	87	115	89	150	160	127	147
ENSG00000173939	105	83	131	82	176	175	54	92
ENSG00000145296	79	143	97	107	110	133	58	135
ENSG00000218278	183	89	162	154	166	141	232	203
ENSG00000186614	22	20	7	19	12	13	27	30
ENSG00000177930	10	20	21	4	16	5	19	20
ENSG00000177957	2960	3118	5973	4429	4029	4651	3872	6195
ENSG00000171652	44025	49873	48660	31433	46020	54940	32585	58844
ENSG00000156849	1850	700	1208	1084	751	1344	1554	1702
ENSG00000152135	9	3	3	5	4	10	11	7
ENSG00000230767	140	138	169	78	218	173	212	86
ENSG00000157920	3958	1574	2526	2191	3681	1706	5675	2361
ENSG00000233925	7	0	1	4	4	6	2	11
ENSG00000130616	50	37	53	64	114	50	34	37
ENSG00000241354	111	118	69	82	101	96	27	83
ENSG00000231576	23	31	30	13	19	29	32	30
ENSG00000151790	33	25	24	59	12	24	20	24
ENSG00000220523	1814	822	3664	1294	1441	1113	2386	1145
ENSG00000103843	66	48	77	22	91	128	103	82
ENSG00000218954	118	75	107	135	136	52	84	96
ENSG00000166575	7817	4163	6033	3579	4529	6843	6004	5082
ENSG00000124188	27	31	25	31	34	20	31	23
ENSG00000137238	5	1	1	7	8	4	4	7
ENSG00000172737	597	501	618	894	446	604	873	839
ENSG00000191485	8403	8969	8520	4754	6468	11123	13895	10808
ENSG00000123557	172	292	179	369	265	186	327	247
ENSG00000138890	148	451	289	321	229	277	426	157
ENSG00000153485	11	14	13	16	8	7	11	11
ENSG00000211144	19	26	37	34	41	20	35	26
ENSG00000132285	2652	2618	4618	5340	2570	3510	2924	3408
ENSG00000141205	1438	1338	1887	1135	1719	1441	1499	2536
ENSG00000216399	297	935	534	425	349	391	550	518
ENSG00000200271	26	47	57	42	46	41	27	84
ENSG00000148435	10	17	4	16	15	8	13	11
ENSG00000211113	10	21	8	10	30	20	20	17
ENSG00000164668	8	17	18	20	14	14	7	20
ENSG00000201287	995	265	260	478	738	366	464	817
ENSG00000169345	31	15	24	42	28	40	26	41
ENSG00000116298	73	36	49	53	56	58	33	60
ENSG00000198140	847	521	534	840	678	598	422	971
ENSG00000234346	778	526	737	671	966	619	1015	593
ENSG00000157904	81	190	187	161	169	142	350	305
ENSG00000249947	446	480	340	383	528	526	150	225
ENSG00000150423	260	229	90	75	175	71	141	198
ENSG00000134652	1	2	4	2	4	3	5	3
ENSG00000232153	190	103	194	150	127	57	176	84
ENSG00000154446	76	48	55	71	52	32	52	51
ENSG00000156549	158	95	170	105	104	45	190	72
ENSG00000115003	228	288	206	389	286	103	136	379
ENSG00000247153	22	38	31	32	66	29	41	33
ENSG00000109923	1624	1439	2943	2161	2248	2344	1520	1356
ENSG00000240344	109	98	88	149	99	122	124	124
ENSG00000206549	215	159	146	117	132	241	191	354
ENSG00000173699	239	292	284	237	162	381	170	353
ENSG00000181188	74	107	60	94	104	71	91	127
ENSG00000230278	355	510	385	516	243	629	444	414
ENSG00000245948	412	820	583	465	656	682	797	704
ENSG00000233902	491	350	507	521	560	557	376	614
ENSG00000129388	33	29	42	69	32	28	33	35
ENSG00000186881	9	37	13	28	19	36	30	15
ENSG00000155162	32	47	33	29	48	39	53	41
ENSG00000244780	118	109	182	172	86	200	126	218
ENSG00000185876	5	3	13	2	3	6	11	1
ENSG00000220288	48	17	34	29	8	30	23	17
ENSG00000179213	12	13	9	4	12	18	15	23
ENSG00000202290	50	60	22	47	32	43	44	30
ENSG00000245986	9	25	11	25	20	11	25	19
ENSG00000214086	735	429	239	1172	953	746	425	743
ENSG00000240400	289	421	219	242	174	287	337	429
ENSG00000152280	776	1177	769	851	1156	589	1891	919
ENSG00000128548	19	11	24	23	18	17	27	21
ENSG00000238141	23	19	34	40	34	29	31	18
ENSG00000180537	76	80	115	99	29	138	91	123
ENSG00000204024	3180	4192	3587	4746	2477	3388	3135	2486
ENSG00000116787	3416	3089	3929	5475	5970	3192	4524	4444
ENSG00000127717	32	49	34	54	25	63	37	42
ENSG00000147959	670	342	524	560	401	400	464	318
ENSG00000205688	9656	5525	19496	7850	12904	7110	22851	14374
ENSG00000121459	6	11	26	16	10	23	16	15
ENSG00000228994	152	158	158	105	117	90	90	60
ENSG00000161123	2033	1431	2570	2065	1832	1747	1596	2201
ENSG00000165234	446	630	314	582	423	674	450	750
ENSG00000236869	16	26	14	15	11	20	13	9
ENSG00000142408	5753	3416	5943	4608	3475	2852	5917	3477
ENSG00000171620	756	871	1238	1172	655	1571	851	1258
ENSG00000157484	676	723	793	695	778	517	720	519
ENSG00000203158	12	16	17	5	8	5	13	6
ENSG00000167625	112	64	158	142	91	80	174	83
ENSG00000190340	1809	2056	1695	2913	1494	1396	1994	1471
ENSG00000100320	240	309	328	235	332	449	281	362
ENSG00000205663	793	940	457	824	556	523	1194	379
ENSG00000129106	87	66	102	183	63	66	115	137
ENSG00000226760	3412	5860	3609	3730	2635	2213	4073	3050
ENSG00000167315	138	74	214	58	111	92	122	133
ENSG00000220377	1765	1045	2165	392	1768	902	1558	694
ENSG00000122734	260	335	182	281	478	266	215	274
ENSG00000220384	32	22	13	23	27	15	25	17
ENSG00000248144	3119	2695	4747	3175	2217	1913	3012	2638
ENSG00000144339	12	8	12	8	7	10	16	14
ENSG00000237618	36	32	16	34	32	22	54	33
ENSG00000220094	85	170	114	99	174	220	148	179
ENSG00000235184	5	4	8	9	7	10	9	7
ENSG00000167220	3	2	3	3	5	4	4	4
ENSG00000206160	110	152	114	159	113	104	132	108
ENSG00000107507	83	54	66	33	50	57	47	24
ENSG00000129199	71	89	171	101	110	99	91	83
ENSG00000153792	191	393	205	276	375	472	484	689
ENSG00000212113	12155	18373	9064	18112	14765	9406	20912	12955
ENSG00000208312	117	46	167	55	133	85	123	71
ENSG00000246121	15337	16563	12429	21351	21838	32348	22657	21303
ENSG00000165563	161	185	243	124	256	221	242	333
ENSG00000122026	144	85	111	134	134	73	119	128
ENSG00000180929	0	1	0	1	3	0	1	0
ENSG00000186024	5	10	7	10	3	6	9	7
ENSG00000184793	237	178	188	256	198	161	147	427
ENSG00000139378	409	219	452	332	297	551	412	261
ENSG00000198946	45	36	21	18	38	17	23	24
ENSG00000219519	194	239	180	140	379	169	203	213
ENSG00000235718	640	1636	693	929	700	552	1076	448
ENSG00000123404	21	53	32	38	47	29	27	34
ENSG00000125836	3	6	7	4	6	8	8	5
ENSG00000105267	37	22	38	9	28	20	43	21
ENSG00000126162	73	63	31	64	78	81	28	69
ENSG00000239557	247	117	220	231	301	222	315	213
ENSG00000180639	804	799	730	888	684	658	767	422
ENSG00000172960	51	18	16	20	19	14	22	41
ENSG00000117442	138	113	124	171	227	216	84	88
ENSG00000152677	92	71	37	97	78	100	46	106
ENSG00000194950	183	163	73	184	163	139	144	117
ENSG00000145219	1015	634	1030	1442	1071	1159	921	602
ENSG00000116408	2561	2081	1385	1776	2137	1644	2069	1293
ENSG00000223997	67	80	47	91	30	37	32	39
ENSG00000197545	39	33	25	28	67	44	53	43
ENSG00000105644	33	30	44	10	44	25	23	29
ENSG00000182784	67	55	51	27	52	88	80	33
ENSG00000173556	106	69	171	47	98	49	123	59
ENSG00000221640	106	89	65	124	168	122	61	66
ENSG00000124770	62	66	75	42	32	46	30	24
ENSG00000147925	10	15	12	17	17	14	23	5
ENSG00000159908	12	6	11	2	16	22	9	13
ENSG00000129230	166	165	115	66	61	233	109	88
ENSG00000246533	21270	8039	31126	18563	15020	18412	28374	20776
ENSG00000177062	614	388	511	385	269	363	254	468
ENSG00000110401	508	660	872	378	214	600	394	568
ENSG00000202122	117	252	109	239	465	163	301	366
ENSG00000247647	132	132	115	84	133	59	103	102
ENSG00000124841	7448	10568	9624	12093	9677	7919	4958	7437
ENSG00000185073	71	84	109	72	88	81	75	55
ENSG00000189160	27	15	13	22	20	31	25	16
ENSG00000133594	19	14	9	11	10	8	18	12
ENSG00000120600	217	205	182	238	154	179	356	234
