gene_id	GSM1275862_untreated	GSM1275862_dex	GSM1275863_untreated	GSM1275863_dex	GSM1275870_untreated	GSM1275870_dex	GSM1275871_untreated	GSM1275871_dex
ENSG00000204364	750	25	33	31	22	15	25	17
ENSG00000205791	10000	201	239	215	171	198	213	152
ENSG00000196703	3500	73	55	82	90	42	66	72
ENSG00000123286	26350	269	267	349	355	239	306	262
ENSG00000241766	31050	309	409	322	462	330	351	544
ENSG00000203421	18050	416	187	217	188	304	262	315
ENSG00000221750	3500	58	114	59	78	70	71	64
ENSG00000232521	163300	5905	6054	5501	4054	4513	2926	7446
ENSG00000158867	100	1	2	1	2	1	3	2
ENSG00000108271	350	2	6	0	9	1	4	2
ENSG00000222492	3450	71	35	36	41	71	57	24
ENSG00000110765	850	17	10	10	15	10	2	13
ENSG00000173164	0	4	0	1	0	1	0	2
ENSG00000138363	650	27	27	26	21	25	29	42
ENSG00000101006	1100	10	33	38	52	21	12	14
ENSG00000196065	100	0	1	1	1	1	3	1
ENSG00000190490	97150	575	1624	1302	1877	510	2628	592
ENSG00000143659	155800	1661	3196	2407	2624	2365	1603	1766
ENSG00000151241	82300	2407	2175	2800	1102	1517	1599	1098
ENSG00000186171	3400	58	60	98	52	44	51	39
ENSG00000248718	8700	141	278	156	161	226	223	186
ENSG00000135446	600	20	14	9	16	13	12	18
ENSG00000219816	5050	160	292	100	153	253	282	210
ENSG00000123581	2750	31	14	14	22	29	24	63
ENSG00000196958	6250	259	427	157	284	512	257	299
ENSG00000198384	4450	91	74	46	45	54	95	113
ENSG00000158585	54450	1055	1572	662	897	1504	765	1484
ENSG00000207532	31800	424	678	727	989	868	1019	728
ENSG00000104515	80100	1145	1848	919	2693	798	1502	1403
ENSG00000169862	300	3	5	0	4	5	5	8
ENSG00000164654	250	7	4	3	4	6	4	1
ENSG00000145379	28000	460	276	392	278	224	371	342
ENSG00000110978	2400	35	39	53	36	32	90	47
ENSG00000197012	8000	258	224	288	279	229	386	321
ENSG00000186014	8600	218	335	241	215	268	320	178
ENSG00000144956	5000	191	192	167	280	201	201	135
ENSG00000134845	55750	890	1300	583	671	790	564	1738
ENSG00000225796	23600	327	576	553	424	158	521	173
ENSG00000235995	38550	242	925	448	620	261	431	299
ENSG00000172231	1600	27	30	28	24	21	30	17
ENSG00000168675	119700	4059	3302	3288	4259	4145	6693	2359
ENSG00000203156	7650	116	142	346	140	183	124	89
ENSG00000116074	73550	2157	1064	1196	1446	1515	1873	1601
ENSG00000190154	8700	219	319	272	259	448	282	259
ENSG00000166075	53750	1975	2487	2289	1981	1570	1191	2543
ENSG00000139010	8650	153	312	232	116	237	171	173
ENSG00000203298	20750	242	305	187	260	143	405	200
ENSG00000228499	13100	119	168	135	302	380	154	243
ENSG00000242013	1150	29	21	52	19	41	48	24
ENSG00000229985	1050	40	62	91	46	50	38	32
ENSG00000174763	3800	124	123	83	149	88	80	159
ENSG00000134345	5800	260	121	83	106	122	119	113
ENSG00000243153	1550	30	24	13	12	20	14	26
ENSG00000203842	1014850	15385	13332	15859	22670	14646	13760	20143
ENSG00000158284	850	8	27	3	18	20	24	17
ENSG00000200450	5550	112	66	63	67	71	38	77
ENSG00000126086	1439750	20524	16216	36903	21688	23649	20929	17740
ENSG00000181894	4700	41	72	35	112	27	42	42
ENSG00000129078	26650	726	348	749	553	900	719	710
ENSG00000194848	24900	357	494	403	692	471	480	434
ENSG00000123241	2450	89	56	115	99	78	146	114
ENSG00000226863	300	23	6	10	12	4	10	4
ENSG00000109108	550	6	7	6	3	4	6	4
ENSG00000180051	9150	183	109	147	185	95	128	149
ENSG00000115618	13450	338	319	315	200	307	304	485
ENSG00000190342	150	3	7	1	3	4	9	2
ENSG00000231676	8700	171	144	246	335	135	173	119
ENSG00000136275	2550	24	95	52	60	59	61	30
ENSG00000148263	22350	743	640	785	660	709	989	1548
ENSG00000114561	12900	241	246	219	221	88	177	438
ENSG00000170112	1450	36	75	36	61	37	30	44
ENSG00000177606	3050	77	38	93	106	69	22	85
ENSG00000248078	6000	136	67	177	173	146	80	171
ENSG00000156945	68950	1689	1033	1657	2680	1357	2981	663
ENSG00000231930	3046950	49761	45732	37199	50245	39606	46534	33834
ENSG00000201354	20500	236	106	154	597	155	321	124
ENSG00000119758	15750	131	172	257	258	190	557	144
ENSG00000220638	31800	667	1012	622	552	798	503	408
ENSG00000191375	7650	100	270	168	157	106	122	218
ENSG00000141108	19800	1030	833	799	445	1328	801	768
ENSG00000154933	36400	381	234	505	299	475	384	319
ENSG00000145181	9750	139	113	121	248	121	220	174
ENSG00000151660	1550	36	34	55	45	55	35	27
ENSG00000163435	9850	222	163	315	278	320	279	150
ENSG00000177692	46800	1026	502	781	1187	1237	699	1504
ENSG00000231572	7050	175	170	245	163	302	183	111
ENSG00000218358	265550	1439	6908	4295	4683	4921	4661	3010
ENSG00000205461	37750	829	872	779	903	1482	1020	928
ENSG00000241149	7350	112	121	122	106	128	146	101
ENSG00000204944	272300	4320	4533	8074	5267	4764	3382	4003
ENSG00000157301	600	23	17	13	14	31	16	8
ENSG00000176277	96350	1782	1880	2083	1582	848	2470	2272
ENSG00000212881	453800	4528	8353	5876	10100	5856	10589	5451
ENSG00000141619	5600	95	126	62	105	132	62	62
ENSG00000203050	10100	220	90	225	104	77	166	143
ENSG00000217914	107150	1168	1169	790	1445	1278	1179	928
ENSG00000225920	153100	3942	4594	3082	3522	4633	3478	3656
ENSG00000126984	20200	810	646	655	360	411	433	368
ENSG00000194108	21250	254	787	287	411	268	597	435
ENSG00000109128	145050	1294	1454	1612	2024	836	1946	838
ENSG00000173072	12250	223	158	193	265	248	414	389
ENSG00000216856	950	19	29	11	13	16	19	11
ENSG00000201607	10850	105	146	75	151	177	58	201
ENSG00000170370	4650	258	194	193	127	146	230	194
ENSG00000173845	250	15	4	10	14	3	14	5
ENSG00000241117	16150	223	320	418	254	464	527	422
ENSG00000171084	2100	57	60	26	71	42	42	39
ENSG00000161325	59200	1360	1194	650	1026	684	1274	1055
ENSG00000136630	400	8	6	9	9	21	7	7
ENSG00000244641	1700	48	33	26	32	25	32	19
ENSG00000161346	450	8	13	17	4	18	7	10
ENSG00000108586	192750	1152	1790	1922	1739	1462	3761	1773
ENSG00000211839	163850	1448	2539	1798	1607	2625	3245	3874
ENSG00000198495	193000	3504	1647	2468	1547	2975	3396	3074
ENSG00000185993	203850	6314	2805	2907	3792	3424	4512	2430
ENSG00000158966	34600	899	1446	1046	1261	861	2496	2050
ENSG00000157512	24950	368	1405	1202	1191	1135	1668	1480
ENSG00000242950	50	4	7	9	11	6	3	6
ENSG00000245607	11650	337	296	354	359	295	269	359
ENSG00000167601	2700	136	64	56	58	68	35	69
ENSG00000194329	2950	77	161	96	103	47	61	116
ENSG00000163441	1600	10	21	16	9	18	20	5
ENSG00000124696	102750	1613	1985	2560	3321	2270	2466	2580
ENSG00000183698	15850	185	304	273	270	237	129	287
ENSG00000106298	700	7	15	7	25	11	17	8
ENSG00000157133	10750	418	285	565	535	592	352	515
ENSG00000208268	4700	193	131	98	158	192	99	181
ENSG00000167974	900	19	21	15	31	6	15	24
ENSG00000119483	6800	97	123	99	127	126	108	103
ENSG00000186715	5550	66	100	44	67	29	41	35
ENSG00000232498	150	1	2	1	1	2	1	3
ENSG00000126966	250	6	9	2	6	7	9	10
ENSG00000122706	18900	516	666	482	649	705	454	396
ENSG00000237850	21000	383	318	286	254	236	280	189
ENSG00000121454	12250	350	185	163	460	208	204	221
ENSG00000186596	950	22	17	11	24	14	41	21
ENSG00000175309	2700	13	53	56	58	37	56	39
ENSG00000122691	9350	113	174	208	240	147	160	96
ENSG00000153821	27450	439	337	865	392	597	815	734
ENSG00000155306	600	46	28	36	16	24	24	19
ENSG00000115207	400	35	25	19	20	9	23	18
ENSG00000200428	69600	1641	1462	1509	1441	701	1051	1139
ENSG00000148155	9400	161	253	161	173	127	161	144
ENSG00000173724	4350	69	89	80	56	82	87	80
ENSG00000143042	3050	69	36	30	23	46	40	24
ENSG00000121092	2400	27	25	37	33	36	58	38
ENSG00000195444	316250	2130	4765	2572	5658	2650	12572	5449
ENSG00000121994	70950	1073	1053	1044	1152	728	1194	1372
ENSG00000187376	2700	51	75	50	46	63	64	29
ENSG00000225952	450	4	21	12	16	9	12	21
ENSG00000131380	235250	3257	3146	3407	4907	4142	7493	3312
ENSG00000135289	256300	3459	4792	4260	8301	3290	6896	2349
ENSG00000227826	64300	2154	2533	1167	2856	1309	1271	1865
ENSG00000179023	97550	495	2681	1015	1080	1103	1614	681
ENSG00000243279	150	3	1	7	6	5	5	4
ENSG00000105743	1750	18	19	13	9	12	28	8
ENSG00000180436	20250	381	337	442	634	264	211	323
ENSG00000224710	3300	44	110	116	67	140	54	86
ENSG00000176230	10000	358	91	434	101	343	216	230
ENSG00000240003	1550	40	55	39	33	27	52	71
ENSG00000162759	2050	20	33	53	86	49	42	36
ENSG00000137973	31050	439	476	510	381	455	241	494
ENSG00000139264	2600	84	83	45	53	60	64	89
ENSG00000243037	5200	132	142	178	162	180	100	153
ENSG00000160427	6500	278	192	336	182	301	172	375
ENSG00000153452	17000	222	163	403	197	155	221	143
ENSG00000212687	88450	1242	2094	1582	1554	597	1897	1999
ENSG00000173268	87700	1808	4217	3114	6664	3545	2945	2041
ENSG00000103128	200	9	6	9	10	8	10	6
ENSG00000229652	4500	110	83	91	77	86	59	91
ENSG00000125190	2900	68	58	60	64	27	81	46
ENSG00000239645	29600	465	708	523	419	746	606	487
ENSG00000102483	750	13	31	23	16	26	11	30
ENSG00000112104	43750	862	1020	590	1370	1041	1800	415
ENSG00000214801	31400	412	582	617	605	720	460	640
ENSG00000109807	76450	711	816	450	612	498	1214	348
ENSG00000249137	1000	21	8	19	25	20	29	22
ENSG00000108927	7300	52	151	163	99	115	62	98
ENSG00000203943	800	26	15	8	17	16	19	12
ENSG00000224010	15100	347	286	313	292	192	438	265
ENSG00000215021	28450	466	828	702	1397	896	875	771
ENSG00000244205	450	9	6	6	10	5	7	8
ENSG00000193149	1550	18	20	59	36	19	17	39
ENSG00000116862	5100	69	92	126	73	123	100	82
ENSG00000119589	2600	93	28	27	21	30	53	51
ENSG00000159346	116600	3023	2759	2445	2858	2195	3597	2811
ENSG00000190582	2950	61	90	156	60	119	89	139
ENSG00000127554	16650	219	229	182	228	365	247	325
ENSG00000164344	450	10	12	7	20	20	18	8
ENSG00000169702	156450	2772	3544	3149	2680	5361	3080	4271
ENSG00000173941	9850	216	148	180	97	199	125	359
ENSG00000153174	72800	737	2291	270	1350	1121	2325	400
ENSG00000224633	12050	223	167	166	112	137	103	174
ENSG00000223847	250	3	0	2	2	1	0	0
ENSG00000223660	250	4	4	9	15	14	8	5
ENSG00000145247	300	10	18	7	14	7	6	10
ENSG00000204982	12900	248	306	327	297	565	406	325
ENSG00000175791	3250	44	61	42	45	43	73	66
ENSG00000152802	14050	266	472	379	244	261	335	174
ENSG00000199602	13250	207	75	278	263	226	327	272
ENSG00000230762	8550	262	182	246	173	212	191	205
ENSG00000169871	56700	1383	750	897	1131	369	771	966
ENSG00000117518	10150	214	101	153	119	126	149	61
ENSG00000104057	300	3	7	3	0	4	12	6
ENSG00000149315	1650	26	42	41	56	36	49	28
ENSG00000174278	436000	4968	10289	4042	3994	2954	7457	2385
ENSG00000200045	300	24	6	10	9	10	12	17
ENSG00000200285	168900	2529	3769	2123	5517	1926	4275	2416
ENSG00000240178	143550	5119	6091	3279	5096	4385	2937	3828
ENSG00000225233	1650	26	57	40	28	44	42	29
ENSG00000210649	25200	393	222	241	375	327	224	141
ENSG00000126238	50	4	7	12	8	6	7	6
ENSG00000121760	19500	687	620	706	319	473	244	519
ENSG00000212997	3350	38	56	19	60	53	66	34
ENSG00000165990	750	6	10	13	4	13	8	16
ENSG00000231625	2700	67	75	59	94	70	124	53
ENSG00000112710	1600	40	41	77	53	55	59	44
ENSG00000117631	1250	54	68	51	44	35	55	44
ENSG00000131414	8850	258	148	187	197	229	213	149
ENSG00000246360	3750	96	87	113	82	127	43	83
ENSG00000156770	1650	47	50	53	42	42	28	44
ENSG00000234870	41400	1298	435	849	698	539	1029	980
ENSG00000159731	839850	28590	19602	11673	19922	23908	14324	7640
ENSG00000135137	6250	200	156	190	72	154	169	352
ENSG00000165733	1450	42	28	43	41	29	30	31
ENSG00000189332	750	34	19	24	11	10	14	15
ENSG00000180654	18250	306	419	630	430	473	570	473
ENSG00000203732	5000	119	48	59	106	52	88	91
ENSG00000190617	8250	109	284	131	186	197	138	130
ENSG00000172582	150	0	3	3	2	1	4	9
ENSG00000223348	850	8	13	16	11	7	31	17
ENSG00000241200	400	7	10	16	22	11	11	24
ENSG00000163656	53550	916	1117	1450	1285	420	871	1518
ENSG00000222688	7600	55	186	117	162	83	212	80
ENSG00000237244	50	0	4	1	1	0	3	2
ENSG00000176918	14550	457	405	239	372	586	250	286
ENSG00000100264	90950	1316	1651	1403	1242	1411	1760	1428
ENSG00000187725	83200	2488	2705	2515	1445	2470	1923	3241
ENSG00000190669	150	2	1	1	3	1	3	0
ENSG00000121784	9750	279	187	193	73	196	145	213
ENSG00000140976	41250	944	1047	470	270	570	1293	931
ENSG00000211175	16250	512	362	655	469	317	385	598
ENSG00000187989	6950	111	69	94	67	106	136	44
ENSG00000222699	150	6	5	2	1	6	0	2
ENSG00000180995	5900	55	50	88	51	82	65	86
ENSG00000225492	5600	66	52	46	92	100	42	116
ENSG00000232525	20400	361	666	323	503	393	194	583
ENSG00000168577	37950	689	574	541	377	577	403	497
ENSG00000189433	3150	115	30	95	154	96	54	105
ENSG00000140044	39350	885	1250	960	595	910	704	564
ENSG00000156986	650	11	9	27	15	15	21	17
ENSG00000120569	4150	17	40	15	34	22	50	45
ENSG00000186435	6350	240	141	212	102	100	83	91
ENSG00000172049	13300	370	434	214	552	436	596	532
ENSG00000146087	5000	86	61	49	60	65	143	59
ENSG00000200520	77650	1769	1529	1188	2859	1320	1687	761
ENSG00000136600	10700	503	287	192	137	494	331	252
ENSG00000146857	650	27	8	34	20	20	26	30
ENSG00000163589	11750	164	220	187	87	148	217	157
ENSG00000128764	1000	20	23	21	23	15	12	23
ENSG00000114698	500	20	27	11	20	22	33	23
ENSG00000201973	500	6	8	6	5	4	11	14
ENSG00000233521	100450	913	2379	2720	1784	2956	1791	1676
ENSG00000228130	48500	842	929	901	653	1017	1246	753
ENSG00000198094	550	7	2	8	9	13	5	4
ENSG00000100534	75550	1741	649	1669	1353	998	1829	863
ENSG00000193202	47550	1223	894	1074	669	1248	1100	1258
ENSG00000110082	4250	47	79	52	31	67	71	47
ENSG00000239072	17050	492	407	297	556	486	464	379
ENSG00000226047	684750	19281	9977	10677	13748	5302	8151	12599
ENSG00000227991	15200	183	294	258	251	153	280	221
ENSG00000181828	20900	218	458	304	383	373	254	320
ENSG00000209511	82300	1892	1206	2650	815	1390	1593	1052
ENSG00000152902	450	22	17	15	6	23	8	17
ENSG00000180118	500	13	9	11	11	15	27	11
ENSG00000239106	550	5	8	13	6	2	7	8
ENSG00000230733	4600	157	140	122	152	80	156	111
ENSG00000111058	75800	912	709	714	625	833	833	897
ENSG00000197184	1500	29	21	34	17	24	16	38
ENSG00000241190	300	5	14	15	7	10	11	4
ENSG00000150197	10350	125	296	173	220	253	200	261
ENSG00000142584	1950	50	71	54	69	82	136	55
ENSG00000145384	16200	402	330	452	343	468	433	508
ENSG00000172545	5150	87	115	89	150	160	127	147
ENSG00000173939	5250	83	131	82	176	175	54	92
ENSG00000145296	3950	143	97	107	110	133	58	135
ENSG00000218278	9150	89	162	154	166	141	232	203
ENSG00000186614	1100	20	7	19	12	13	27	30
ENSG00000177930	500	20	21	4	16	5	19	20
ENSG00000177957	148000	3118	5973	4429	4029	4651	3872	6195
ENSG00000171652	2201250	49873	48660	31433	46020	54940	32585	58844
ENSG00000156849	92500	700	1208	1084	751	1344	1554	1702
ENSG00000152135	450	3	3	5	4	10	11	7
ENSG00000230767	7000	138	169	78	218	173	212	86
ENSG00000157920	197900	1574	2526	2191	3681	1706	5675	2361
ENSG00000233925	350	0	1	4	4	6	2	11
ENSG00000130616	2500	37	53	64	114	50	34	37
ENSG00000241354	5550	118	69	82	101	96	27	83
ENSG00000231576	1150	31	30	13	19	29	32	30
ENSG00000151790	1650	25	24	59	12	24	20	24
ENSG00000220523	90700	822	3664	1294	1441	1113	2386	1145
ENSG00000103843	3300	48	77	22	91	128	103	82
ENSG00000218954	5900	75	107	135	136	52	84	96
ENSG00000166575	390850	4163	6033	3579	4529	6843	6004	5082
ENSG00000124188	1350	31	25	31	34	20	31	23
ENSG00000137238	250	1	1	7	8	4	4	7
ENSG00000172737	29850	501	618	894	446	604	873	839
ENSG00000191485	420150	8969	8520	4754	6468	11123	13895	10808
ENSG00000123557	8600	292	179	369	265	186	327	247
ENSG00000138890	7400	451	289	321	229	277	426	157
ENSG00000153485	550	14	13	16	8	7	11	11
ENSG00000211144	950	26	37	34	41	20	35	26
ENSG00000132285	132600	2618	4618	5340	2570	3510	2924	3408
ENSG00000141205	71900	1338	1887	1135	1719	1441	1499	2536
ENSG00000216399	14850	935	534	425	349	391	550	518
ENSG00000200271	1300	47	57	42	46	41	27	84
ENSG00000148435	500	17	4	16	15	8	13	11
ENSG00000211113	500	21	8	10	30	20	20	17
ENSG00000164668	400	17	18	20	14	14	7	20
ENSG00000201287	49750	265	260	478	738	366	464	817
ENSG00000169345	1550	15	24	42	28	40	26	41
ENSG00000116298	3650	36	49	53	56	58	33	60
ENSG00000198140	42350	521	534	840	678	598	422	971
ENSG00000234346	38900	526	737	671	966	619	1015	593
ENSG00000157904	4050	190	187	161	169	142	350	305
ENSG00000249947	22300	480	340	383	528	526	150	225
ENSG00000150423	13000	229	90	75	175	71	141	198
ENSG00000134652	50	2	4	2	4	3	5	3
ENSG00000232153	9500	103	194	150	127	57	176	84
ENSG00000154446	3800	48	55	71	52	32	52	51
ENSG00000156549	7900	95	170	105	104	45	190	72
ENSG00000115003	11400	288	206	389	286	103	136	379
ENSG00000247153	1100	38	31	32	66	29	41	33
ENSG00000109923	81200	1439	2943	2161	2248	2344	1520	1356
ENSG00000240344	5450	98	88	149	99	122	124	124
ENSG00000206549	10750	159	146	117	132	241	191	354
ENSG00000173699	11950	292	284	237	162	381	170	353
ENSG00000181188	3700	107	60	94	104	71	91	127
ENSG00000230278	17750	510	385	516	243	629	444	414
ENSG00000245948	20600	820	583	465	656	682	797	704
ENSG00000233902	24550	350	507	521	560	557	376	614
ENSG00000129388	1650	29	42	69	32	28	33	35
ENSG00000186881	450	37	13	28	19	36	30	15
ENSG00000155162	1600	47	33	29	48	39	53	41
ENSG00000244780	5900	109	182	172	86	200	126	218
ENSG00000185876	250	3	13	2	3	6	11	1
ENSG00000220288	2400	17	34	29	8	30	23	17
ENSG00000179213	600	13	9	4	12	18	15	23
ENSG00000202290	2500	60	22	47	32	43	44	30
ENSG00000245986	450	25	11	25	20	11	25	19
ENSG00000214086	36750	429	239	1172	953	746	425	743
ENSG00000240400	14450	421	219	242	174	287	337	429
ENSG00000152280	38800	1177	769	851	1156	589	1891	919
ENSG00000128548	950	11	24	23	18	17	27	21
ENSG00000238141	1150	19	34	40	34	29	31	18
ENSG00000180537	3800	80	115	99	29	138	91	123
ENSG00000204024	159000	4192	3587	4746	2477	3388	3135	2486
ENSG00000116787	170800	3089	3929	5475	5970	3192	4524	4444
ENSG00000127717	1600	49	34	54	25	63	37	42
ENSG00000147959	33500	342	524	560	401	400	464	318
ENSG00000205688	482800	5525	19496	7850	12904	7110	22851	14374
ENSG00000121459	300	11	26	16	10	23	16	15
ENSG00000228994	7600	158	158	105	117	90	90	60
ENSG00000161123	101650	1431	2570	2065	1832	1747	1596	2201
ENSG00000165234	22300	630	314	582	423	674	450	750
ENSG00000236869	800	26	14	15	11	20	13	9
ENSG00000142408	287650	3416	5943	4608	3475	2852	5917	3477
ENSG00000171620	37800	871	1238	1172	655	1571	851	1258
ENSG00000157484	33800	723	793	695	778	517	720	519
ENSG00000203158	600	16	17	5	8	5	13	6
ENSG00000167625	5600	64	158	142	91	80	174	83
ENSG00000190340	90450	2056	1695	2913	1494	1396	1994	1471
ENSG00000100320	12000	309	328	235	332	449	281	362
ENSG00000205663	39650	940	457	824	556	523	1194	379
ENSG00000129106	4350	66	102	183	63	66	115	137
ENSG00000226760	170600	5860	3609	3730	2635	2213	4073	3050
ENSG00000167315	6900	74	214	58	111	92	122	133
ENSG00000220377	88250	1045	2165	392	1768	902	1558	694
ENSG00000122734	13000	335	182	281	478	266	215	274
ENSG00000220384	1600	22	13	23	27	15	25	17
ENSG00000248144	155950	2695	4747	3175	2217	1913	3012	2638
ENSG00000144339	600	8	12	8	7	10	16	14
ENSG00000237618	1800	32	16	34	32	22	54	33
ENSG00000220094	4250	170	114	99	174	220	148	179
ENSG00000235184	250	4	8	9	7	10	9	7
ENSG00000167220	150	2	3	3	5	4	4	4
ENSG00000206160	5500	152	114	159	113	104	132	108
ENSG00000107507	4150	54	66	33	50	57	47	24
ENSG00000129199	3550	89	171	101	110	99	91	83
ENSG00000153792	9550	393	205	276	375	472	484	689
ENSG00000212113	607750	18373	9064	18112	14765	9406	20912	12955
ENSG00000208312	5850	46	167	55	133	85	123	71
ENSG00000246121	766850	16563	12429	21351	21838	32348	22657	21303
ENSG00000165563	8050	185	243	124	256	221	242	333
ENSG00000122026	7200	85	111	134	134	73	119	128
ENSG00000180929	0	1	0	1	3	0	1	0
ENSG00000186024	250	10	7	10	3	6	9	7
ENSG00000184793	11850	178	188	256	198	161	147	427
ENSG00000139378	20450	219	452	332	297	551	412	261
ENSG00000198946	2250	36	21	18	38	17	23	24
ENSG00000219519	9700	239	180	140	379	169	203	213
ENSG00000235718	32000	1636	693	929	700	552	1076	448
ENSG00000123404	1050	53	32	38	47	29	27	34
ENSG00000125836	150	6	7	4	6	8	8	5
ENSG00000105267	1850	22	38	9	28	20	43	21
ENSG00000126162	3650	63	31	64	78	81	28	69
ENSG00000239557	12350	117	220	231	301	222	315	213
ENSG00000180639	40200	799	730	888	684	658	767	422
ENSG00000172960	2550	18	16	20	19	14	22	41
ENSG00000117442	6900	113	124	171	227	216	84	88
ENSG00000152677	4600	71	37	97	78	100	46	106
ENSG00000194950	9150	163	73	184	163	139	144	117
ENSG00000145219	50750	634	1030	1442	1071	1159	921	602
ENSG00000116408	128050	2081	1385	1776	2137	1644	2069	1293
