gene_id	GSM1275862_untreated	GSM1275862_dex	GSM1275863_dex	GSM1275870_dex	GSM1275871_dex
ENSG00000218358	5311	1439	4295	4921	3010
ENSG00000205461	755	829	779	1482	928
ENSG00000241149	147	112	122	128	101
ENSG00000204944	5446	4320	8074	4764	4003
ENSG00000157301	12	23	13	31	8
ENSG00000176277	1927	1782	2083	848	2272
ENSG00000212881	9076	4528	5876	5856	5451
ENSG00000141619	112	95	62	132	62
ENSG00000203050	202	220	225	77	143
ENSG00000217914	2143	1168	790	1278	928
ENSG00000225920	3062	3942	3082	4633	3656
ENSG00000126984	404	810	655	411	368
ENSG00000194108	425	254	287	268	435
ENSG00000109128	2901	1294	1612	836	838
ENSG00000173072	245	223	193	248	389
ENSG00000216856	19	19	11	16	11
ENSG00000201607	217	105	75	177	201
ENSG00000170370	93	258	193	146	194
ENSG00000173845	5	15	10	3	5
ENSG00000241117	323	223	418	464	422
ENSG00000171084	42	57	26	42	39
ENSG00000161325	1184	1360	650	684	1055
ENSG00000136630	8	8	9	21	7
ENSG00000244641	34	48	26	25	19
ENSG00000161346	9	8	17	18	10
ENSG00000108586	3855	1152	1922	1462	1773
ENSG00000211839	3277	1448	1798	2625	3874
ENSG00000198495	3860	3504	2468	2975	3074
ENSG00000185993	4077	6314	2907	3424	2430
ENSG00000158966	692	899	1046	861	2050
ENSG00000157512	499	368	1202	1135	1480
ENSG00000242950	1	4	9	6	6
ENSG00000245607	233	337	354	295	359
ENSG00000167601	54	136	56	68	69
ENSG00000194329	59	77	96	47	116
ENSG00000163441	32	10	16	18	5
ENSG00000124696	2055	1613	2560	2270	2580
ENSG00000183698	317	185	273	237	287
ENSG00000106298	14	7	7	11	8
ENSG00000157133	215	418	565	592	515
ENSG00000208268	94	193	98	192	181
ENSG00000167974	18	19	15	6	24
ENSG00000119483	136	97	99	126	103
ENSG00000186715	111	66	44	29	35
ENSG00000232498	3	1	1	2	3
ENSG00000126966	5	6	2	7	10
ENSG00000122706	378	516	482	705	396
ENSG00000237850	420	383	286	236	189
ENSG00000121454	245	350	163	208	221
ENSG00000186596	19	22	11	14	21
ENSG00000175309	54	13	56	37	39
ENSG00000122691	187	113	208	147	96
ENSG00000153821	549	439	865	597	734
ENSG00000155306	12	46	36	24	19
ENSG00000115207	8	35	19	9	18
ENSG00000200428	1392	1641	1509	701	1139
ENSG00000148155	188	161	161	127	144
ENSG00000173724	87	69	80	82	80
ENSG00000143042	61	69	30	46	24
ENSG00000121092	48	27	37	36	38
ENSG00000195444	6325	2130	2572	2650	5449
ENSG00000121994	1419	1073	1044	728	1372
ENSG00000187376	54	51	50	63	29
ENSG00000225952	9	4	12	9	21
ENSG00000131380	4705	3257	3407	4142	3312
ENSG00000135289	5126	3459	4260	3290	2349
ENSG00000227826	1286	2154	1167	1309	1865
ENSG00000179023	1951	495	1015	1103	681
ENSG00000243279	3	3	7	5	4
ENSG00000105743	35	18	13	12	8
ENSG00000180436	405	381	442	264	323
ENSG00000224710	66	44	116	140	86
ENSG00000176230	200	358	434	343	230
ENSG00000240003	31	40	39	27	71
ENSG00000162759	41	20	53	49	36
ENSG00000137973	621	439	510	455	494
ENSG00000139264	52	84	45	60	89
ENSG00000243037	104	132	178	180	153
ENSG00000160427	130	278	336	301	375
ENSG00000153452	340	222	403	155	143
ENSG00000212687	1769	1242	1582	597	1999
ENSG00000173268	1754	1808	3114	3545	2041
ENSG00000103128	4	9	9	8	6
ENSG00000229652	90	110	91	86	91
ENSG00000125190	58	68	60	27	46
ENSG00000239645	592	465	523	746	487
ENSG00000102483	15	13	23	26	30
ENSG00000112104	875	862	590	1041	415
ENSG00000214801	628	412	617	720	640
ENSG00000109807	1529	711	450	498	348
ENSG00000249137	20	21	19	20	22
ENSG00000108927	146	52	163	115	98
ENSG00000203943	16	26	8	16	12
ENSG00000224010	302	347	313	192	265
ENSG00000215021	569	466	702	896	771
ENSG00000244205	9	9	6	5	8
ENSG00000193149	31	18	59	19	39
ENSG00000116862	102	69	126	123	82
ENSG00000119589	52	93	27	30	51
ENSG00000159346	2332	3023	2445	2195	2811
ENSG00000190582	59	61	156	119	139
ENSG00000127554	333	219	182	365	325
ENSG00000164344	9	10	7	20	8
ENSG00000169702	3129	2772	3149	5361	4271
ENSG00000173941	197	216	180	199	359
ENSG00000153174	1456	737	270	1121	400
ENSG00000224633	241	223	166	137	174
ENSG00000223847	5	3	2	1	0
ENSG00000223660	5	4	9	14	5
ENSG00000145247	6	10	7	7	10
ENSG00000204982	258	248	327	565	325
ENSG00000175791	65	44	42	43	66
ENSG00000152802	281	266	379	261	174
ENSG00000199602	265	207	278	226	272
ENSG00000230762	171	262	246	212	205
ENSG00000169871	1134	1383	897	369	966
ENSG00000117518	203	214	153	126	61
ENSG00000104057	6	3	3	4	6
ENSG00000149315	33	26	41	36	28
ENSG00000174278	8720	4968	4042	2954	2385
ENSG00000200045	6	24	10	10	17
ENSG00000200285	3378	2529	2123	1926	2416
ENSG00000240178	2871	5119	3279	4385	3828
ENSG00000225233	33	26	40	44	29
ENSG00000210649	504	393	241	327	141
ENSG00000126238	1	4	12	6	6
ENSG00000121760	390	687	706	473	519
ENSG00000212997	67	38	19	53	34
ENSG00000165990	15	6	13	13	16
ENSG00000231625	54	67	59	70	53
ENSG00000112710	32	40	77	55	44
ENSG00000117631	25	54	51	35	44
ENSG00000131414	177	258	187	229	149
ENSG00000246360	75	96	113	127	83
ENSG00000156770	33	47	53	42	44
ENSG00000234870	828	1298	849	539	980
ENSG00000159731	16797	28590	11673	23908	7640
ENSG00000135137	125	200	190	154	352
ENSG00000165733	29	42	43	29	31
ENSG00000189332	15	34	24	10	15
ENSG00000180654	365	306	630	473	473
ENSG00000203732	100	119	59	52	91
ENSG00000190617	165	109	131	197	130
ENSG00000172582	3	0	3	1	9
ENSG00000223348	17	8	16	7	17
ENSG00000241200	8	7	16	11	24
ENSG00000163656	1071	916	1450	420	1518
ENSG00000222688	152	55	117	83	80
ENSG00000237244	1	0	1	0	2
ENSG00000176918	291	457	239	586	286
ENSG00000100264	1819	1316	1403	1411	1428
ENSG00000187725	1664	2488	2515	2470	3241
ENSG00000190669	3	2	1	1	0
ENSG00000121784	195	279	193	196	213
ENSG00000140976	825	944	470	570	931
ENSG00000211175	325	512	655	317	598
ENSG00000187989	139	111	94	106	44
ENSG00000222699	3	6	2	6	2
ENSG00000180995	118	55	88	82	86
ENSG00000225492	112	66	46	100	116
ENSG00000232525	408	361	323	393	583
ENSG00000168577	759	689	541	577	497
ENSG00000189433	63	115	95	96	105
ENSG00000140044	787	885	960	910	564
ENSG00000156986	13	11	27	15	17
ENSG00000120569	83	17	15	22	45
ENSG00000186435	127	240	212	100	91
ENSG00000172049	266	370	214	436	532
ENSG00000146087	100	86	49	65	59
ENSG00000200520	1553	1769	1188	1320	761
ENSG00000136600	214	503	192	494	252
ENSG00000146857	13	27	34	20	30
ENSG00000163589	235	164	187	148	157
ENSG00000128764	20	20	21	15	23
ENSG00000114698	10	20	11	22	23
ENSG00000201973	10	6	6	4	14
ENSG00000233521	2009	913	2720	2956	1676
ENSG00000228130	970	842	901	1017	753
ENSG00000198094	11	7	8	13	4
ENSG00000100534	1511	1741	1669	998	863
ENSG00000193202	951	1223	1074	1248	1258
ENSG00000110082	85	47	52	67	47
ENSG00000239072	341	492	297	486	379
ENSG00000226047	13695	19281	10677	5302	12599
ENSG00000227991	304	183	258	153	221
ENSG00000181828	418	218	304	373	320
ENSG00000209511	1646	1892	2650	1390	1052
ENSG00000152902	9	22	15	23	17
ENSG00000180118	10	13	11	15	11
ENSG00000239106	11	5	13	2	8
ENSG00000230733	92	157	122	80	111
ENSG00000111058	1516	912	714	833	897
ENSG00000197184	30	29	34	24	38
ENSG00000241190	6	5	15	10	4
ENSG00000150197	207	125	173	253	261
ENSG00000142584	39	50	54	82	55
ENSG00000145384	324	402	452	468	508
ENSG00000172545	103	87	89	160	147
ENSG00000173939	105	83	82	175	92
ENSG00000145296	79	143	107	133	135
ENSG00000218278	183	89	154	141	203
ENSG00000186614	22	20	19	13	30
ENSG00000177930	10	20	4	5	20
ENSG00000177957	2960	3118	4429	4651	6195
ENSG00000171652	44025	49873	31433	54940	58844
ENSG00000156849	1850	700	1084	1344	1702
ENSG00000152135	9	3	5	10	7
ENSG00000230767	140	138	78	173	86
ENSG00000157920	3958	1574	2191	1706	2361
ENSG00000233925	7	0	4	6	11
ENSG00000130616	50	37	64	50	37
ENSG00000241354	111	118	82	96	83
ENSG00000231576	23	31	13	29	30
ENSG00000151790	33	25	59	24	24
ENSG00000220523	1814	822	1294	1113	1145
ENSG00000103843	66	48	22	128	82
ENSG00000218954	118	75	135	52	96
ENSG00000166575	7817	4163	3579	6843	5082
ENSG00000124188	27	31	31	20	23
ENSG00000137238	5	1	7	4	7
ENSG00000172737	597	501	894	604	839
ENSG00000191485	8403	8969	4754	11123	10808
ENSG00000123557	172	292	369	186	247
ENSG00000138890	148	451	321	277	157
ENSG00000153485	11	14	16	7	11
ENSG00000211144	19	26	34	20	26
ENSG00000132285	2652	2618	5340	3510	3408
ENSG00000141205	1438	1338	1135	1441	2536
ENSG00000216399	297	935	425	391	518
ENSG00000200271	26	47	42	41	84
ENSG00000148435	10	17	16	8	11
ENSG00000211113	10	21	10	20	17
ENSG00000164668	8	17	20	14	20
ENSG00000201287	995	265	478	366	817
ENSG00000169345	31	15	42	40	41
ENSG00000116298	73	36	53	58	60
ENSG00000198140	847	521	840	598	971
ENSG00000234346	778	526	671	619	593
ENSG00000157904	81	190	161	142	305
ENSG00000249947	446	480	383	526	225
ENSG00000150423	260	229	75	71	198
ENSG00000134652	1	2	2	3	3
ENSG00000232153	190	103	150	57	84
ENSG00000154446	76	48	71	32	51
ENSG00000156549	158	95	105	45	72
ENSG00000115003	228	288	389	103	379
ENSG00000247153	22	38	32	29	33
ENSG00000109923	1624	1439	2161	2344	1356
ENSG00000240344	109	98	149	122	124
ENSG00000206549	215	159	117	241	354
ENSG00000173699	239	292	237	381	353
ENSG00000181188	74	107	94	71	127
ENSG00000230278	355	510	516	629	414
ENSG00000245948	412	820	465	682	704
ENSG00000233902	491	350	521	557	614
ENSG00000129388	33	29	69	28	35
ENSG00000186881	9	37	28	36	15
ENSG00000155162	32	47	29	39	41
ENSG00000244780	118	109	172	200	218
ENSG00000185876	5	3	2	6	1
ENSG00000220288	48	17	29	30	17
ENSG00000179213	12	13	4	18	23
ENSG00000202290	50	60	47	43	30
ENSG00000245986	9	25	25	11	19
ENSG00000214086	735	429	1172	746	743
ENSG00000240400	289	421	242	287	429
ENSG00000152280	776	1177	851	589	919
ENSG00000128548	19	11	23	17	21
ENSG00000238141	23	19	40	29	18
ENSG00000180537	76	80	99	138	123
ENSG00000204024	3180	4192	4746	3388	2486
ENSG00000116787	3416	3089	5475	3192	4444
ENSG00000127717	32	49	54	63	42
ENSG00000147959	670	342	560	400	318
ENSG00000205688	9656	5525	7850	7110	14374
ENSG00000121459	6	11	16	23	15
ENSG00000228994	152	158	105	90	60
ENSG00000161123	2033	1431	2065	1747	2201
ENSG00000165234	446	630	582	674	750
ENSG00000236869	16	26	15	20	9
ENSG00000142408	5753	3416	4608	2852	3477
ENSG00000171620	756	871	1172	1571	1258
ENSG00000157484	676	723	695	517	519
ENSG00000203158	12	16	5	5	6
ENSG00000167625	112	64	142	80	83
ENSG00000190340	1809	2056	2913	1396	1471
ENSG00000100320	240	309	235	449	362
ENSG00000205663	793	940	824	523	379
ENSG00000129106	87	66	183	66	137
ENSG00000226760	3412	5860	3730	2213	3050
ENSG00000167315	138	74	58	92	133
ENSG00000220377	1765	1045	392	902	694
ENSG00000122734	260	335	281	266	274
ENSG00000220384	32	22	23	15	17
ENSG00000248144	3119	2695	3175	1913	2638
ENSG00000144339	12	8	8	10	14
ENSG00000237618	36	32	34	22	33
ENSG00000220094	85	170	99	220	179
ENSG00000235184	5	4	9	10	7
ENSG00000167220	3	2	3	4	4
ENSG00000206160	110	152	159	104	108
ENSG00000107507	83	54	33	57	24
ENSG00000129199	71	89	101	99	83
ENSG00000153792	191	393	276	472	689
ENSG00000212113	12155	18373	18112	9406	12955
ENSG00000208312	117	46	55	85	71
ENSG00000246121	15337	16563	21351	32348	21303
ENSG00000165563	161	185	124	221	333
ENSG00000122026	144	85	134	73	128
ENSG00000180929	0	1	1	0	0
ENSG00000186024	5	10	10	6	7
ENSG00000184793	237	178	256	161	427
ENSG00000139378	409	219	332	551	261
ENSG00000198946	45	36	18	17	24
ENSG00000219519	194	239	140	169	213
ENSG00000235718	640	1636	929	552	448
ENSG00000123404	21	53	38	29	34
ENSG00000125836	3	6	4	8	5
ENSG00000105267	37	22	9	20	21
ENSG00000126162	73	63	64	81	69
ENSG00000239557	247	117	231	222	213
ENSG00000180639	804	799	888	658	422
ENSG00000172960	51	18	20	14	41
ENSG00000117442	138	113	171	216	88
ENSG00000152677	92	71	97	100	106
ENSG00000194950	183	163	184	139	117
ENSG00000145219	1015	634	1442	1159	602
ENSG00000116408	2561	2081	1776	1644	1293
ENSG00000223997	67	80	91	37	39
ENSG00000197545	39	33	28	44	43
ENSG00000105644	33	30	10	25	29
ENSG00000182784	67	55	27	88	33
ENSG00000173556	106	69	47	49	59
ENSG00000221640	106	89	124	122	66
ENSG00000124770	62	66	42	46	24
ENSG00000147925	10	15	17	14	5
ENSG00000159908	12	6	2	22	13
ENSG00000129230	166	165	66	233	88
ENSG00000246533	21270	8039	18563	18412	20776
ENSG00000177062	614	388	385	363	468
ENSG00000110401	508	660	378	600	568
ENSG00000202122	117	252	239	163	366
ENSG00000247647	132	132	84	59	102
ENSG00000124841	7448	10568	12093	7919	7437
ENSG00000185073	71	84	72	81	55
ENSG00000189160	27	15	22	31	16
ENSG00000133594	19	14	11	8	12
ENSG00000120600	217	205	238	179	234
ENSG00000104335	17	15	12	34	11
ENSG00000244349	17	24	20	14	17
ENSG00000191273	10	29	26	24	19
ENSG00000231232	13	10	9	9	6
ENSG00000113978	173	166	175	196	164
ENSG00000247849	5	8	7	4	3
ENSG00000142197	14429	11798	10089	18407	11992
ENSG00000236119	1	0	1	4	0
ENSG00000209573	9	8	6	9	12
ENSG00000104696	175	111	131	167	110
ENSG00000220017	244	200	242	251	192
ENSG00000132294	45	85	86	40	47
ENSG00000157416	702	264	233	381	242
ENSG00000169023	146	231	225	207	65
ENSG00000135061	355	154	230	114	269
ENSG00000226864	403	440	740	274	457
ENSG00000186307	455	307	301	162	175
ENSG00000217122	76	122	131	183	234
ENSG00000189252	65	137	135	63	106
ENSG00000136200	672	565	699	325	861
ENSG00000208675	98	73	95	94	91
ENSG00000150292	455	468	626	390	668
ENSG00000214382	4475	3849	5824	4027	2805
ENSG00000166181	447	175	277	262	304
ENSG00000239760	1525	1557	2030	1403	1507
ENSG00000197842	40	74	72	61	48
ENSG00000212646	263	263	207	265	210
ENSG00000162952	335	316	422	280	615
ENSG00000108391	254	244	120	317	263
ENSG00000127819	459	639	306	460	405
ENSG00000230983	2765	2251	1900	942	3212
ENSG00000194906	45	94	134	38	47
ENSG00000241124	53	28	24	26	46
ENSG00000156900	338	311	327	177	239
ENSG00000167178	7	7	7	8	9
ENSG00000112423	104	145	119	120	135
ENSG00000106436	2409	1804	1040	1837	1527
ENSG00000140125	205	137	128	118	105
ENSG00000206027	757	583	514	366	458
ENSG00000215002	122	312	276	165	341
ENSG00000242181	1345	1565	1616	1042	1713
ENSG00000150139	337	534	469	325	333
ENSG00000199738	109	135	142	252	124
ENSG00000219585	0	1	4	0	1
ENSG00000216439	63	37	44	32	24
ENSG00000151071	458	507	711	507	663
ENSG00000233314	90	148	173	108	106
ENSG00000202792	53	27	19	21	51
ENSG00000225356	1542	693	1383	1537	938
ENSG00000106347	19	24	22	21	15
ENSG00000247584	78	60	108	88	44
ENSG00000160232	779	343	364	515	748
ENSG00000119124	54	61	44	41	60
ENSG00000199728	179	184	110	117	90
ENSG00000243675	103	104	119	143	118
ENSG00000116942	17	15	5	13	13
ENSG00000176201	62	41	14	35	58
ENSG00000158938	38	48	71	68	53
ENSG00000162743	49	14	22	33	26
ENSG00000247092	639	839	1249	1476	788
ENSG00000238573	189	107	98	93	102
ENSG00000225515	45	18	25	12	13
ENSG00000101970	7	9	7	7	8
ENSG00000197040	91	82	52	58	55
ENSG00000103677	881	1590	1755	1275	1571
ENSG00000230588	52	67	77	55	87
ENSG00000199337	478	593	687	455	530
ENSG00000198102	273	362	198	497	235
ENSG00000170530	48	31	40	64	72
ENSG00000186455	8	11	16	11	11
ENSG00000215582	343	373	295	581	478
ENSG00000213948	7	1	2	5	1
ENSG00000120662	304	392	198	550	386
ENSG00000112269	34	6	9	8	20
ENSG00000233611	752	800	315	494	370
ENSG00000153092	50	39	67	40	46
ENSG00000130569	79	187	107	107	162
ENSG00000131131	766	692	987	702	1264
ENSG00000125841	9	13	26	36	34
ENSG00000184857	175	116	194	162	167
ENSG00000247809	49	49	44	92	65
ENSG00000210151	451	315	591	457	391
ENSG00000120613	551	515	872	574	607
ENSG00000183057	574	265	127	302	226
ENSG00000145324	175	304	195	197	166
ENSG00000122608	28	65	90	78	66
ENSG00000177706	451	375	273	478	608
ENSG00000220743	121	103	101	73	79
ENSG00000106600	229	284	103	130	158
ENSG00000230308	57	223	80	146	131
ENSG00000230350	9	5	3	12	6
ENSG00000178696	13	17	13	18	8
ENSG00000143343	190	125	102	153	202
ENSG00000186305	120	254	155	86	130
ENSG00000201336	1262	2520	1267	1112	2135
ENSG00000131626	1	1	2	2	0
ENSG00000216941	153	172	153	112	213
ENSG00000179826	802	1160	1807	1410	760
ENSG00000183767	208	146	170	101	122
ENSG00000192469	545	692	471	645	539
ENSG00000201886	76	153	172	92	229
ENSG00000190546	115	156	45	50	131
ENSG00000206857	472	1751	838	494	874
ENSG00000123293	7	15	9	10	12
ENSG00000231638	1	1	2	0	3
ENSG00000200188	226	445	154	346	313
ENSG00000152978	113	133	187	227	242
ENSG00000226923	418	218	146	204	145
ENSG00000219908	131	538	241	289	222
ENSG00000220933	452	583	333	790	324
ENSG00000116186	33	52	43	42	66
ENSG00000120279	351	847	318	504	441
ENSG00000175631	332	195	246	250	260
ENSG00000113258	14	15	12	13	12
ENSG00000207794	117	135	84	62	112
ENSG00000109745	203	235	251	358	195
ENSG00000149553	22	23	30	28	23
ENSG00000212357	1195	1172	1196	1804	806
ENSG00000139119	64	50	109	111	55
ENSG00000160778	432	797	1042	626	803
ENSG00000167197	2182	2958	2551	2646	1900
ENSG00000239771	8	8	15	6	11
ENSG00000147234	24	5	5	19	9
ENSG00000153558	533	271	252	656	421
ENSG00000215398	55	143	162	81	51
ENSG00000195455	345	429	341	403	219
ENSG00000186802	4708	4252	4047	2512	4144
ENSG00000182697	48	33	91	67	93
ENSG00000208199	1141	585	885	767	596
ENSG00000175161	58	34	68	47	62
ENSG00000167451	16	39	24	43	84
ENSG00000197700	547	457	397	288	434
ENSG00000215570	310	132	315	334	217
ENSG00000231440	1553	1226	1290	1444	1133
ENSG00000198164	456	234	367	270	256
ENSG00000113650	770	1269	677	807	920
ENSG00000125587	346	318	428	357	132
ENSG00000192845	11	6	5	4	4
ENSG00000221366	96	64	84	75	68
ENSG00000198966	102	55	57	33	97
ENSG00000246181	1199	1963	983	487	1160
ENSG00000155237	14	13	17	29	29
ENSG00000183651	102	167	134	111	243
ENSG00000129006	139	60	72	55	27
ENSG00000210418	4	1	5	6	4
ENSG00000113917	130	108	74	79	119
ENSG00000123754	424	492	534	674	461
ENSG00000156903	110	41	73	73	66
ENSG00000106060	670	552	559	1226	511
ENSG00000190683	520	292	216	259	246
ENSG00000226506	287	340	450	148	154
ENSG00000224978	37	39	116	88	41
ENSG00000117535	110	101	125	56	76
ENSG00000202934	402	239	443	546	611
ENSG00000165820	171	164	125	203	164
ENSG00000143480	9	13	14	10	8
ENSG00000160062	116	115	72	114	92
ENSG00000235408	269	219	281	266	195
ENSG00000186564	1289	1066	2041	1235	1357
ENSG00000220474	778	537	732	282	1029
ENSG00000110063	14	9	16	17	20
ENSG00000187529	480	555	746	967	704
ENSG00000145511	6	5	3	3	2
ENSG00000119953	44	48	53	43	30
ENSG00000191252	27	22	49	34	28
ENSG00000134932	3512	4033	2593	1893	1988
ENSG00000248529	479	512	627	512	496
ENSG00000138883	241	317	228	346	252
ENSG00000248798	51	25	57	54	29
ENSG00000153801	2143	2561	2276	1351	921
ENSG00000140368	59	84	73	65	135
ENSG00000156218	302	299	514	382	230
