gene_id	GSM2360001	GSM2360004	GSM2360005	GSM2360006
ENSMUSG00000131328	61	76	65	55
ENSMUSG00000120595	272	375	600	406
ENSMUSG00000149375	87	134	145	112
ENSMUSG00000156626	134	127	85	174
ENSMUSG00000142930	1292	944	1703	1914
ENSMUSG00000139630	34	31	39	46
ENSMUSG00000189828	52	61	14	77
ENSMUSG00000213258	69	52	15	35
ENSMUSG00000191192	1516	2219	1931	2051
ENSMUSG00000105913	837	1243	958	1464
ENSMUSG00000133165	3362	2812	1479	1690
ENSMUSG00000157544	236	204	190	168
ENSMUSG00000148988	98	89	84	155
ENSMUSG00000181011	559	992	945	832
ENSMUSG00000157895	84	52	54	127
ENSMUSG00000152043	798	951	686	417
ENSMUSG00000185912	679	515	226	1464
ENSMUSG00000134796	54	55	58	47
ENSMUSG00000195357	150	129	125	95
ENSMUSG00000197436	112	80	120	109
ENSMUSG00000105450	1999	8684	5120	4893
ENSMUSG00000191246	36453	16289	19565	34251
ENSMUSG00000198078	224	52	128	92
ENSMUSG00000204046	311	306	125	175
ENSMUSG00000151034	2	0	1	1
ENSMUSG00000186753	243	200	175	156
ENSMUSG00000207157	247	237	188	120
ENSMUSG00000156831	8	11	10	15
ENSMUSG00000105558	1078	452	586	475
ENSMUSG00000195546	1	11	5	6
ENSMUSG00000164190	53	111	103	73
ENSMUSG00000155789	275	76	200	290
ENSMUSG00000201694	15	26	16	23
ENSMUSG00000151352	863	627	1166	698
ENSMUSG00000148390	1574	1885	1050	1291
ENSMUSG00000134785	14	13	4	22
ENSMUSG00000114964	10	5	4	7
ENSMUSG00000108430	608	836	497	597
ENSMUSG00000121915	93	146	215	209
ENSMUSG00000202771	4	18	8	9
ENSMUSG00000100484	177	110	31	152
ENSMUSG00000150889	165	191	84	82
ENSMUSG00000102715	188	122	160	68
ENSMUSG00000197446	534	1000	1356	866
ENSMUSG00000123799	298	270	232	330
ENSMUSG00000183308	14440	4174	4532	3003
ENSMUSG00000159937	2020	1326	1960	1989
ENSMUSG00000201420	664	617	731	585
ENSMUSG00000145883	1346	728	1446	475
ENSMUSG00000218693	1901	1296	1981	3772
ENSMUSG00000165173	2095	803	589	767
ENSMUSG00000219147	20	16	19	3
ENSMUSG00000147277	722	888	946	901
ENSMUSG00000168860	80	199	205	203
ENSMUSG00000199631	4450	3741	3250	2954
ENSMUSG00000196985	119	176	279	155
ENSMUSG00000115656	355	242	236	763
ENSMUSG00000106973	444	325	309	250
ENSMUSG00000181389	4629	7053	2942	4388
ENSMUSG00000209841	213	175	270	59
ENSMUSG00000135132	66	85	153	77
ENSMUSG00000104032	370	220	300	353
ENSMUSG00000179556	41	60	90	66
ENSMUSG00000103143	189	124	309	174
ENSMUSG00000172155	171	109	204	70
ENSMUSG00000191060	162	286	345	373
ENSMUSG00000126859	12551	9184	5255	8995
ENSMUSG00000145247	69	61	60	52
ENSMUSG00000150452	159	175	236	159
ENSMUSG00000184840	116	101	173	97
ENSMUSG00000173809	408	331	778	679
ENSMUSG00000107919	23	11	19	15
ENSMUSG00000158568	30	31	40	27
ENSMUSG00000168576	90	183	102	163
ENSMUSG00000204572	403	462	480	191
ENSMUSG00000163768	305	148	150	93
ENSMUSG00000198780	63	13	36	37
ENSMUSG00000149347	19	30	19	24
ENSMUSG00000219727	294	462	320	272
ENSMUSG00000153997	2200	3258	3301	2101
ENSMUSG00000192385	222	443	237	525
ENSMUSG00000145573	262	213	175	255
ENSMUSG00000213565	355	196	326	306
ENSMUSG00000209669	18	17	35	20
ENSMUSG00000149329	57	94	82	59
ENSMUSG00000128036	119	91	149	99
ENSMUSG00000173455	244	264	386	215
ENSMUSG00000110134	138	125	119	131
ENSMUSG00000118620	15	19	17	8
ENSMUSG00000209790	1163	1014	1140	1478
ENSMUSG00000137068	3887	3472	5397	4017
ENSMUSG00000201101	60	85	141	111
ENSMUSG00000145046	479	244	342	190
ENSMUSG00000118170	291	294	245	231
ENSMUSG00000100898	853	1280	1316	906
ENSMUSG00000174518	8	11	1	4
ENSMUSG00000180023	4213	3242	3457	2475
ENSMUSG00000185549	54	94	49	72
ENSMUSG00000193438	1609	1558	2121	3874
ENSMUSG00000126162	232	113	177	180
ENSMUSG00000103114	98	75	46	67
ENSMUSG00000136856	91	111	104	94
ENSMUSG00000129402	549	863	1013	1029
ENSMUSG00000214132	50	23	27	17
ENSMUSG00000207760	74	96	105	44
ENSMUSG00000169751	46	51	75	64
ENSMUSG00000172666	4	14	5	3
ENSMUSG00000146955	1465	2238	2465	1998
ENSMUSG00000121671	451	788	492	455
ENSMUSG00000176879	184	273	211	121
ENSMUSG00000160796	1581	1249	866	2542
ENSMUSG00000126216	23	18	14	38
ENSMUSG00000187459	159	164	79	203
ENSMUSG00000122675	4706	5459	6006	3619
ENSMUSG00000144629	795	1359	1534	818
ENSMUSG00000142186	2	2	2	1
ENSMUSG00000140522	3	3	1	1
ENSMUSG00000171968	29	18	11	18
ENSMUSG00000126218	943	570	2023	1111
ENSMUSG00000165664	57	55	55	40
ENSMUSG00000182175	107	87	86	82
ENSMUSG00000123653	706	617	335	254
ENSMUSG00000147809	38	27	30	56
ENSMUSG00000202046	330	287	300	269
ENSMUSG00000127019	456	884	854	865
ENSMUSG00000158043	248	550	285	325
ENSMUSG00000110205	194	425	348	295
ENSMUSG00000165923	87	52	52	57
ENSMUSG00000204065	509	479	602	327
ENSMUSG00000188815	118	82	52	54
ENSMUSG00000219961	1317	2076	2185	2613
ENSMUSG00000158802	26248	57884	27385	30235
ENSMUSG00000186702	34	39	33	48
ENSMUSG00000119653	1	2	6	0
ENSMUSG00000110759	42	90	43	29
ENSMUSG00000193861	361	211	232	316
ENSMUSG00000194700	805	1179	971	2354
ENSMUSG00000171010	1442	1582	778	1655
ENSMUSG00000212190	36	48	29	41
ENSMUSG00000110742	22	41	36	42
ENSMUSG00000107323	1496	1344	1642	2578
ENSMUSG00000163071	19	14	14	11
ENSMUSG00000158001	1160	1004	1257	957
ENSMUSG00000154279	122	114	99	72
ENSMUSG00000151197	619	705	803	355
ENSMUSG00000134996	393	525	463	695
ENSMUSG00000135768	616	453	588	678
ENSMUSG00000123277	700	1135	1130	639
ENSMUSG00000171039	24	13	28	16
ENSMUSG00000138056	221	170	166	208
ENSMUSG00000166688	94	189	194	117
ENSMUSG00000146579	249	239	234	172
ENSMUSG00000217841	1064	1471	1746	1746
ENSMUSG00000193923	128	57	79	86
ENSMUSG00000155150	25	26	71	25
ENSMUSG00000148122	32	19	37	27
ENSMUSG00000115236	121	116	94	51
ENSMUSG00000111734	947	972	878	514
ENSMUSG00000151001	30	31	13	33
ENSMUSG00000164659	1328	1266	2146	1708
ENSMUSG00000165668	252	349	220	371
ENSMUSG00000122168	70	142	151	97
ENSMUSG00000150374	14	11	10	10
ENSMUSG00000121216	163	244	174	168
ENSMUSG00000194289	716	491	377	679
ENSMUSG00000123303	4	6	6	2
ENSMUSG00000208082	973	782	829	1615
ENSMUSG00000115999	2645	5696	1906	5405
ENSMUSG00000180700	315	228	283	174
ENSMUSG00000116318	409	621	399	425
ENSMUSG00000115053	13864	14297	20279	14936
ENSMUSG00000112275	1769	2478	2421	2071
ENSMUSG00000135177	22	36	16	29
ENSMUSG00000143764	283	137	195	204
ENSMUSG00000110956	146	130	48	74
ENSMUSG00000134027	79	101	134	191
ENSMUSG00000192226	4	1	0	0
ENSMUSG00000104301	633	701	657	821
ENSMUSG00000143607	43	38	35	56
ENSMUSG00000186745	211	373	254	314
ENSMUSG00000214774	172	114	95	139
ENSMUSG00000219006	840	977	830	929
ENSMUSG00000111055	93	125	57	98
ENSMUSG00000108637	41	26	37	36
ENSMUSG00000157636	1067	442	511	418
ENSMUSG00000163879	2303	2177	2659	1720
ENSMUSG00000159810	109	90	91	79
ENSMUSG00000212993	5908	2314	876	2277
ENSMUSG00000194759	186	201	363	230
ENSMUSG00000216696	57	50	38	81
ENSMUSG00000188904	3099	3004	2589	2949
ENSMUSG00000145923	48	20	40	39
ENSMUSG00000204594	974	516	918	1014
ENSMUSG00000186862	94	53	32	24
ENSMUSG00000197367	512	340	379	568
ENSMUSG00000160456	11	14	12	5
ENSMUSG00000104046	27	37	42	27
ENSMUSG00000176930	1208	987	1897	536
ENSMUSG00000169431	156	161	279	177
ENSMUSG00000105419	182	258	164	147
ENSMUSG00000173209	33	68	17	52
ENSMUSG00000207405	380	205	363	402
ENSMUSG00000180595	6	9	3	7
ENSMUSG00000155947	49	15	14	24
ENSMUSG00000123342	137	98	82	94
ENSMUSG00000149159	44	19	39	29
ENSMUSG00000159039	28	47	30	14
ENSMUSG00000143266	196	96	91	86
ENSMUSG00000138209	49	176	114	111
ENSMUSG00000218283	130	94	75	97
ENSMUSG00000209328	5187	3749	3462	2759
ENSMUSG00000131056	3054	862	1276	1199
ENSMUSG00000136084	1569	1187	1558	1446
ENSMUSG00000108333	148	172	248	69
ENSMUSG00000186383	40	43	70	47
ENSMUSG00000187754	18	6	11	10
ENSMUSG00000171450	100	71	95	86
ENSMUSG00000173215	1	0	1	2
ENSMUSG00000184386	56	50	66	35
ENSMUSG00000130398	823	415	444	534
ENSMUSG00000126597	4337	3159	2821	5283
ENSMUSG00000154385	914	792	1154	906
ENSMUSG00000156631	23	21	28	27
ENSMUSG00000196591	244	314	519	396
ENSMUSG00000110048	48	31	28	20
