gene_id	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000010074	1653	427	1913	952	2344	1011	1486	681
ENSG00000010075	719	503	343	985	564	331	827	596
ENSG00000010076	37	36	18	18	29	38	29	16
ENSG00000010077	356	84	373	191	257	67	196	82
ENSG00000010078	320	406	229	281	223	298	262	345
ENSG00000010079	215	320	570	350	488	641	624	345
ENSG00000010080	1017	1045	1256	808	612	1595	1197	564
ENSG00000010081	312	133	318	309	309	278	266	165
ENSG00000010082	116	127	101	85	183	193	116	128
ENSG00000010083	105	76	104	109	136	90	57	85
ENSG00000010084	1065	368	1240	1306	1182	822	1943	819
ENSG00000010085	0	0	3	0	2	1	3	0
ENSG00000010086	127	240	90	65	126	133	271	156
ENSG00000010087	96	141	175	103	123	115	192	139
ENSG00000010088	8	7	9	10	10	5	8	8
ENSG00000010089	138	624	301	354	169	441	223	175
ENSG00000010090	25	23	33	37	57	9	43	71
ENSG00000010091	912	593	646	881	734	1160	1099	738
ENSG00000010092	78	121	83	142	74	168	120	154
ENSG00000010093	466	878	657	633	962	522	681	638
ENSG00000010094	1927	2019	2059	1189	863	1860	1379	2390
ENSG00000010095	270	317	337	249	251	335	348	264
ENSG00000010096	10	34	22	33	20	27	25	29
ENSG00000010097	7	6	10	6	9	4	13	10
ENSG00000010098	4075	8790	6676	4980	4669	4740	5952	2810
ENSG00000010099	147	87	146	149	209	170	305	71
ENSG00000010100	73	55	14	40	44	33	40	66
ENSG00000010101	306	290	426	154	471	170	344	125
ENSG00000010102	92	74	128	115	104	71	50	102
ENSG00000010103	611	700	335	753	787	624	669	1593
ENSG00000010104	152	152	132	104	180	199	182	163
ENSG00000010105	237	147	218	156	114	138	112	162
ENSG00000010106	41	29	20	51	52	53	35	49
ENSG00000010107	189	334	453	329	458	320	746	405
ENSG00000010108	32	27	16	14	17	16	16	29
ENSG00000010109	885	203	624	705	478	666	438	668
ENSG00000010110	2883	3131	2820	2763	3037	3733	2819	3630
ENSG00000010111	8	10	14	3	3	9	7	6
ENSG00000010112	0	3	0	0	0	2	2	1
ENSG00000010113	516	473	623	386	413	1074	451	363
ENSG00000010114	16570	23319	16339	16732	37309	17592	26311	27910
ENSG00000010115	22	11	18	19	26	12	29	18
ENSG00000010116	14	9	13	26	9	11	19	14
ENSG00000010117	361	327	496	511	421	567	344	309
ENSG00000010118	15	21	40	38	28	16	29	29
ENSG00000010119	70	58	59	63	90	100	57	14
ENSG00000010120	115	99	65	89	63	113	44	68
ENSG00000010121	625	177	375	350	310	368	585	302
ENSG00000010122	65	93	85	92	90	95	58	38
ENSG00000010123	129	217	254	209	236	218	121	122
ENSG00000010124	77	48	73	149	153	182	97	119
ENSG00000010125	25	32	27	23	27	17	16	12
ENSG00000010126	89	199	64	71	102	104	57	95
ENSG00000010127	39	18	13	25	13	15	13	18
ENSG00000010128	90	85	294	123	107	121	140	79
ENSG00000010129	14	22	7	25	10	35	18	8
ENSG00000010130	15	16	24	11	16	11	17	19
ENSG00000010131	2453	2641	2294	2991	2888	3576	4426	2282
ENSG00000010132	129	135	128	72	187	149	99	108
ENSG00000010133	201	54	144	72	105	130	135	150
ENSG00000010134	453	529	352	387	324	617	643	241
ENSG00000010135	41	68	46	44	66	53	71	33
ENSG00000010136	127	54	120	90	89	33	70	100
ENSG00000010137	237	322	414	437	341	214	308	465
ENSG00000010138	230	382	259	294	194	199	249	286
ENSG00000010139	6	17	20	20	14	13	12	11
ENSG00000010140	1373	1152	657	605	386	1270	821	643
ENSG00000010141	60	49	42	47	35	50	46	78
ENSG00000010142	19	8	14	10	13	15	12	6
ENSG00000010143	23	30	42	14	23	31	37	22
ENSG00000010144	65	62	22	65	48	86	95	53
ENSG00000010145	3920	1731	2025	5160	3400	4328	2805	3284
ENSG00000010146	18	20	16	10	8	14	10	8
ENSG00000010147	125	122	329	210	168	377	178	170
ENSG00000010148	3	1	1	2	2	0	1	0
ENSG00000010149	369	117	228	185	190	184	387	138
ENSG00000010150	2474	751	1293	826	1675	1293	1295	1138
ENSG00000010151	181	62	172	101	119	112	167	105
ENSG00000010152	49	63	57	53	23	28	31	36
ENSG00000010153	313	199	162	178	304	300	232	324
ENSG00000010154	694	502	705	445	632	503	631	704
ENSG00000010155	590	484	725	361	704	562	403	458
ENSG00000010156	7235	3853	10666	5483	9464	9799	4510	7213
ENSG00000010157	262	166	115	211	165	161	254	327
ENSG00000010158	34	62	77	54	80	28	69	68
ENSG00000010159	72	118	148	83	102	134	46	131
ENSG00000010160	416	103	280	119	185	124	257	91
ENSG00000010161	174	128	130	168	201	127	247	176
ENSG00000010162	112	233	248	149	184	104	96	128
ENSG00000010163	219	197	160	132	267	256	315	88
ENSG00000010164	3	8	1	2	7	4	12	3
ENSG00000010165	962	611	672	916	1103	847	436	1010
ENSG00000010166	45	30	41	52	48	31	81	27
ENSG00000010167	23	3	20	9	22	9	9	22
ENSG00000010168	688	600	417	558	468	330	699	650
ENSG00000010169	1321	2628	2188	1719	2185	2423	1637	2038
ENSG00000010170	333	389	228	489	420	263	286	443
ENSG00000010171	269	172	250	118	225	242	195	255
ENSG00000010172	14	32	22	26	17	26	12	21
ENSG00000010173	26557	45566	60594	33677	55552	35795	57706	66560
ENSG00000010174	939	1228	997	943	453	466	829	1089
ENSG00000010175	11	14	12	12	21	15	12	16
ENSG00000010176	65	24	25	23	24	23	51	26
ENSG00000010177	120	209	203	155	195	178	158	201
ENSG00000010178	14	7	15	7	5	10	24	3
ENSG00000010179	156	289	112	349	153	94	285	259
ENSG00000010180	68	32	53	38	71	77	51	43
ENSG00000010181	1092	1254	767	1791	2220	1659	3476	2414
ENSG00000010182	1173	796	833	887	883	1140	818	1050
ENSG00000010183	1	1	1	1	1	2	1	1
ENSG00000010184	173	239	139	166	142	114	111	149
ENSG00000010185	6	3	5	11	8	3	5	4
ENSG00000010186	2786	1121	2180	1199	3602	996	1663	1637
ENSG00000010187	245	224	293	187	108	126	162	312
ENSG00000010188	507	516	366	403	445	366	183	390
ENSG00000010189	52	16	32	10	29	14	11	6
ENSG00000010190	17750	3901	8251	4753	9522	3330	13907	5373
ENSG00000010191	7027	3804	8356	11869	13725	3818	12205	3201
ENSG00000010192	10	22	18	20	14	28	16	12
ENSG00000010193	308	316	257	284	303	279	352	315
ENSG00000010194	30	24	36	33	41	22	30	38
ENSG00000010195	104	119	205	136	78	62	156	188
ENSG00000010196	13	13	12	17	4	11	7	15
ENSG00000010197	8764	5667	5143	5898	5246	6460	5408	5889
ENSG00000010198	24	5	35	15	36	23	50	22
ENSG00000010199	98	75	65	83	117	132	52	59
ENSG00000010200	484	585	489	477	524	437	384	434
ENSG00000010201	32	79	45	49	42	21	34	21
ENSG00000010202	94	121	93	98	80	88	71	60
ENSG00000010203	33	71	44	76	40	15	55	72
ENSG00000010204	91	114	115	129	88	121	53	117
ENSG00000010205	21	6	16	6	26	26	15	7
ENSG00000010206	52	27	46	27	75	45	99	84
ENSG00000010207	154	77	127	108	82	130	78	83
ENSG00000010208	69	102	89	47	57	71	91	80
ENSG00000010209	218	108	306	129	136	153	71	283
ENSG00000010210	90	79	201	90	186	69	126	124
ENSG00000010211	894	440	520	505	304	887	446	669
ENSG00000010212	46	68	98	89	71	100	89	57
ENSG00000010213	111	80	110	166	142	96	110	29
ENSG00000010214	19	38	47	38	27	36	22	27
ENSG00000010215	80	79	52	54	58	32	70	60
ENSG00000010216	4	6	16	11	6	8	5	15
ENSG00000010217	274	383	650	302	641	303	343	364
ENSG00000010218	19	20	10	22	7	18	11	17
ENSG00000010219	22	29	29	22	39	24	42	27
ENSG00000010220	304	151	228	342	380	354	355	279
ENSG00000010221	262	456	262	326	391	183	436	301
ENSG00000010222	29	72	66	33	72	43	98	58
ENSG00000010223	2	2	4	4	6	0	1	5
ENSG00000010224	390	275	517	385	296	440	403	426
ENSG00000010225	203	180	273	214	190	220	163	140
ENSG00000010226	14	7	7	12	9	7	9	2
ENSG00000010227	819	740	1073	387	998	934	624	491
ENSG00000010228	36	47	33	23	46	37	54	38
ENSG00000010229	25	18	32	10	65	16	24	17
ENSG00000010230	139	300	179	225	284	82	161	265
ENSG00000010231	80	96	103	106	131	118	116	81
ENSG00000010232	439	167	345	287	189	186	184	113
ENSG00000010233	2	4	4	8	8	5	2	9
ENSG00000010234	7710	4995	4833	5288	3725	3260	5489	3487
ENSG00000010235	26	40	33	32	62	52	53	43
ENSG00000010236	8	6	13	4	2	9	4	8
ENSG00000010237	446	264	532	640	653	257	394	434
ENSG00000010238	88	80	67	98	68	87	100	104
ENSG00000010239	282	185	385	176	457	148	325	354
ENSG00000010240	60	42	66	18	48	81	86	60
ENSG00000010241	136	89	135	119	109	142	96	97
ENSG00000010242	165	213	174	313	151	157	325	210
ENSG00000010243	27	34	47	26	24	15	44	39
ENSG00000010244	1683	560	2427	708	1043	751	474	726
ENSG00000010245	54	22	24	84	57	41	45	41
ENSG00000010246	10	41	12	21	25	25	28	21
ENSG00000010247	251	230	138	304	255	62	168	131
ENSG00000010248	473	374	380	428	286	332	478	422
ENSG00000010249	97	80	59	95	132	82	137	88
ENSG00000010250	21	28	24	22	32	33	28	45
ENSG00000010251	467	371	791	404	303	531	484	683
ENSG00000010252	3	3	3	6	2	6	2	9
ENSG00000010253	14	25	24	11	12	28	21	37
ENSG00000010254	166	135	152	172	137	164	89	224
ENSG00000010255	13	22	9	7	13	8	5	18
ENSG00000010256	81	161	178	151	108	158	123	131
ENSG00000010257	66	135	166	183	99	175	152	169
ENSG00000010258	786	478	928	862	948	1027	862	992
ENSG00000010259	27	9	27	25	8	18	56	24
ENSG00000010260	46	21	67	47	51	60	28	53
ENSG00000010261	282	508	162	137	335	359	228	373
ENSG00000010262	1	1	0	1	0	1	1	1
ENSG00000010263	33243	53376	34172	60019	36895	20493	74927	72309
ENSG00000010264	39	39	30	26	13	36	63	84
ENSG00000010265	54	46	35	55	46	28	28	11
ENSG00000010266	720	911	589	586	1327	550	501	944
ENSG00000010267	240	138	113	147	120	84	82	147
ENSG00000010268	3	5	4	3	9	3	3	5
ENSG00000010269	364	821	428	493	606	589	526	406
ENSG00000010270	1035	695	708	1053	573	594	824	949
ENSG00000010271	65	59	68	43	101	60	36	36
ENSG00000010272	82	86	128	124	99	67	70	47
ENSG00000010273	465	355	314	281	448	386	371	226
ENSG00000010274	17	38	20	29	58	46	16	17
ENSG00000010275	465	508	441	245	391	364	468	529
ENSG00000010276	300	234	382	191	481	171	718	182
ENSG00000010277	45	22	44	45	15	31	38	38
ENSG00000010278	17	13	11	9	5	17	9	3
ENSG00000010279	120	86	59	97	121	97	132	134
ENSG00000010280	20	33	30	34	44	31	21	28
ENSG00000010281	857	1187	1004	1171	940	577	1196	1482
ENSG00000010282	268	145	527	136	364	209	465	219
ENSG00000010283	1212	937	544	873	823	748	855	724
ENSG00000010284	134	207	252	249	191	63	142	242
ENSG00000010285	309	172	387	320	206	254	352	144
ENSG00000010286	64	37	31	17	51	39	76	25
ENSG00000010287	1001	382	389	769	788	291	520	526
ENSG00000010288	3582	4294	7767	7365	4377	5190	4157	3049
ENSG00000010289	133	104	64	106	84	106	82	57
ENSG00000010290	57	54	57	43	37	59	56	41
ENSG00000010291	173	115	183	95	183	116	243	57
ENSG00000010292	54	52	85	63	76	41	71	87
ENSG00000010293	33	27	38	47	50	47	35	42
ENSG00000010294	183	163	121	293	126	135	298	280
ENSG00000010295	87	39	94	87	117	69	60	48
ENSG00000010296	1745	2125	2171	1399	1774	1866	3944	2844
ENSG00000010297	104	184	123	99	176	249	103	81
ENSG00000010298	263	306	255	221	258	304	319	200
ENSG00000010299	884	927	764	1217	1346	1623	821	701
ENSG00000010300	92	47	104	81	80	49	52	76
ENSG00000010301	2531	1539	5257	3123	1085	2953	1613	2159
ENSG00000010302	42	46	32	30	25	61	46	67
ENSG00000010303	24	22	26	24	20	39	30	27
ENSG00000010304	117	101	108	89	63	67	88	69
ENSG00000010305	165	237	129	38	116	73	104	173
ENSG00000010306	9	2	13	6	6	11	11	6
ENSG00000010307	132	150	220	166	128	115	159	139
ENSG00000010308	17	1	16	5	9	6	12	5
ENSG00000010309	2925	1324	4300	2456	1933	3353	4252	2790
ENSG00000010310	102	71	136	87	147	92	118	142
ENSG00000010311	17	44	39	46	54	36	48	29
ENSG00000010312	12	22	35	45	28	11	42	17
ENSG00000010313	91	92	45	46	72	105	79	58
ENSG00000010314	92	152	76	111	110	92	86	48
ENSG00000010315	25	22	22	22	17	7	10	12
ENSG00000010316	14	28	14	10	27	11	22	31
ENSG00000010317	84	61	140	97	59	84	79	125
ENSG00000010318	50	79	54	62	99	32	50	54
ENSG00000010319	1406	762	1067	701	1416	1420	894	841
ENSG00000010320	833	985	1256	2299	2216	1219	1730	1960
ENSG00000010321	209	172	69	141	119	147	162	270
ENSG00000010322	373	377	298	415	503	385	295	177
ENSG00000010323	14	4	26	4	23	6	8	8
ENSG00000010324	610	441	636	554	550	365	529	653
ENSG00000010325	127	114	167	195	73	261	173	166
ENSG00000010326	450	351	882	548	928	450	1075	245
ENSG00000010327	3297	3106	3095	2347	5298	3540	4489	2503
ENSG00000010328	8	3	0	3	2	1	6	3
ENSG00000010329	293	217	410	193	151	172	301	297
ENSG00000010330	22	14	13	16	10	16	24	23
ENSG00000010331	560	537	382	375	504	257	646	386
ENSG00000010332	10	7	6	6	10	5	4	19
ENSG00000010333	29	52	55	66	38	51	56	64
ENSG00000010334	189	197	150	195	227	260	163	284
ENSG00000010335	476	676	413	496	377	339	747	491
ENSG00000010336	237	147	137	157	185	178	240	218
ENSG00000010337	21	40	18	23	37	38	26	33
ENSG00000010338	26	57	42	15	64	50	34	55
ENSG00000010339	893	1660	1123	736	540	950	390	889
ENSG00000010340	140	117	138	125	149	151	179	142
ENSG00000010341	2	6	3	5	6	1	4	4
ENSG00000010342	1068	795	810	288	817	422	722	846
ENSG00000010343	265	433	366	376	348	228	308	267
ENSG00000010344	1474	1763	811	671	663	615	590	1183
ENSG00000010345	57	75	60	57	69	62	60	56
ENSG00000010346	816	1051	449	1195	1032	575	1020	471
ENSG00000010347	29	17	24	12	40	25	52	23
ENSG00000010348	385	337	312	492	356	534	347	349
ENSG00000010349	71	66	23	57	63	52	59	30
ENSG00000010350	576	892	472	787	870	808	342	498
ENSG00000010351	762	1297	1469	819	1291	995	1233	854
ENSG00000010352	36	77	36	27	36	17	26	34
ENSG00000010353	239	144	169	151	167	165	78	142
ENSG00000010354	100	109	259	229	170	82	119	198
ENSG00000010355	1422	1530	984	2074	885	1485	1259	1178
ENSG00000010356	236	664	951	729	280	731	601	611
ENSG00000010357	9	23	2	16	17	7	15	9
ENSG00000010358	768	428	332	326	254	243	221	321
ENSG00000010359	666	500	609	650	895	416	554	533
ENSG00000010360	8786	12668	10219	7514	6919	5884	8119	9171
ENSG00000010361	9	8	5	10	8	2	6	4
ENSG00000010362	45	26	51	43	43	50	54	40
ENSG00000010363	1754	2931	2589	2538	2103	2630	2654	2384
ENSG00000010364	9	3	4	6	10	9	6	5
ENSG00000010365	11	26	20	7	6	14	10	20
ENSG00000010366	1242	316	814	442	963	394	1072	427
ENSG00000010367	995	1161	1381	750	846	1757	1897	976
ENSG00000010368	20	67	27	52	25	56	26	57
ENSG00000010369	659	466	422	247	353	358	772	440
ENSG00000010370	266	286	165	167	252	225	256	168
ENSG00000010371	4393	3017	2398	4466	3180	2866	2384	3006
ENSG00000010372	173	217	192	85	143	114	202	83
ENSG00000010373	1329	945	1216	685	842	1170	931	1189
ENSG00000010374	26	13	21	24	18	30	21	34
ENSG00000010375	91	125	27	61	91	104	63	81
ENSG00000010376	112	97	104	145	108	129	57	110
ENSG00000010377	1088	1022	1159	847	1116	1793	1731	1940
ENSG00000010378	289	437	521	430	314	307	249	521
ENSG00000010379	51	14	38	23	32	31	27	29
ENSG00000010380	522	610	496	529	375	460	468	737
ENSG00000010381	732	392	1488	1222	414	355	634	699
ENSG00000010382	92	92	108	83	189	136	85	124
ENSG00000010383	61	101	48	71	109	69	117	118
ENSG00000010384	184	87	162	81	243	77	159	83
ENSG00000010385	7	3	5	7	8	2	3	8
ENSG00000010386	213	303	178	147	273	265	227	378
ENSG00000010387	290	463	280	267	204	282	160	251
ENSG00000010388	20	37	23	22	11	10	13	24
ENSG00000010389	1025	585	407	731	732	513	716	790
ENSG00000010390	9	11	11	8	9	6	9	10
ENSG00000010391	38	38	63	51	18	36	28	22
ENSG00000010392	79	52	60	56	50	72	50	71
ENSG00000010393	8172	8940	6632	5828	5828	7582	9533	9361
ENSG00000010394	4	3	2	9	6	4	13	5
ENSG00000010395	669	452	236	332	460	342	489	348
ENSG00000010396	902	650	1354	739	1050	982	708	1034
ENSG00000010397	426	514	373	266	266	220	376	465
ENSG00000010398	2092	1199	4960	856	2411	1902	3629	1254
ENSG00000010399	24	37	16	16	15	6	19	19
ENSG00000010400	2	2	0	2	3	2	1	3
ENSG00000010401	694	460	446	961	669	546	987	615
ENSG00000010402	11	13	14	4	13	5	11	13
ENSG00000010403	180	45	213	59	101	89	173	102
ENSG00000010404	18	15	21	5	14	28	9	8
ENSG00000010405	810	715	1149	1446	1456	744	1712	2194
ENSG00000010406	723	702	396	887	837	655	878	1249
ENSG00000010407	35	23	58	47	80	33	44	26
ENSG00000010408	1139	914	688	783	962	816	669	631
ENSG00000010409	232	168	159	267	103	117	238	141
ENSG00000010410	122	110	91	107	207	143	101	79
ENSG00000010411	200	248	204	274	171	192	182	91
ENSG00000010412	54	98	79	54	52	90	134	67
ENSG00000010413	748	441	441	522	683	667	568	284
ENSG00000010414	404	348	120	363	194	187	295	300
ENSG00000010415	40	45	52	56	51	98	66	101
ENSG00000010416	586	1393	1758	1449	950	404	1097	1279
ENSG00000010417	63	26	27	35	54	40	17	39
ENSG00000010418	199	265	189	281	350	242	329	169
ENSG00000010419	946	339	766	284	934	342	801	323
ENSG00000010420	3940	1995	2042	2243	2377	2762	2020	3099
ENSG00000010421	38	61	75	35	65	85	24	34
ENSG00000010422	3922	2508	4740	4831	4755	4346	5209	7957
ENSG00000010423	263	247	161	88	173	148	300	280
ENSG00000010424	133	111	127	112	68	103	86	100
ENSG00000010425	34	24	30	16	19	27	31	19
ENSG00000010426	299	513	511	599	329	431	270	205
ENSG00000010427	230	118	262	90	249	150	222	122
ENSG00000010428	23	16	10	5	19	20	8	13
ENSG00000010429	15	19	16	17	22	11	6	19
ENSG00000010430	53	47	35	45	83	44	35	60
ENSG00000010431	40	20	80	26	34	32	32	21
ENSG00000010432	1076	1202	938	1110	1608	836	1476	1361
ENSG00000010433	3090	2014	2125	1531	1321	1815	2777	1499
ENSG00000010434	867	803	910	495	536	1063	749	1713
ENSG00000010435	289	407	307	268	457	253	430	322
ENSG00000010436	71	69	35	68	112	87	45	64
ENSG00000010437	145	85	117	138	87	222	195	207
ENSG00000010438	837	1233	860	798	930	1474	384	878
ENSG00000010439	7344	6943	7679	7135	5025	13995	8531	6254
ENSG00000010440	1026	319	892	881	905	742	847	464
ENSG00000010441	60	151	75	53	146	146	98	45
ENSG00000010442	115	339	183	111	159	172	134	177
ENSG00000010443	77	19	25	42	45	49	41	39
ENSG00000010444	20	18	43	35	22	65	20	33
ENSG00000010445	148	121	100	69	48	79	58	136
ENSG00000010446	203	202	257	249	178	273	276	132
ENSG00000010447	6117	4007	5275	5004	4985	3667	4791	8726
ENSG00000010448	224	93	135	234	190	63	134	176
ENSG00000010449	3998	1979	3955	1639	3476	2170	4031	1418
ENSG00000010450	6893	2726	4059	6940	4801	8981	3950	6874
ENSG00000010451	135	83	254	124	153	116	128	162
ENSG00000010452	2254	2386	4208	1698	4095	2443	2811	3251
ENSG00000010453	454	695	785	477	855	908	298	205
ENSG00000010454	58	94	57	44	76	25	75	37
ENSG00000010455	150	213	464	384	350	251	415	177
ENSG00000010456	243	161	122	217	84	108	223	122
ENSG00000010457	68	74	54	77	54	114	60	81
ENSG00000010458	114	76	57	122	78	146	107	85
ENSG00000010459	465	242	495	306	470	303	519	109
ENSG00000010460	425	380	553	262	261	304	320	459
ENSG00000010461	33	30	25	23	10	16	16	29
ENSG00000010462	82	118	121	137	141	135	104	91
ENSG00000010463	8	11	12	3	13	11	5	4
ENSG00000010464	426	287	349	263	762	180	544	206
ENSG00000010465	392	529	357	679	602	204	467	677
ENSG00000010466	239	276	169	261	294	204	328	174
ENSG00000010467	216	303	179	229	201	105	433	422
ENSG00000010468	903	416	820	390	973	512	1320	327
ENSG00000010469	20	32	74	49	36	22	46	50
ENSG00000010470	78	97	98	161	79	78	102	106
ENSG00000010471	410	297	404	461	258	420	382	352
ENSG00000010472	2101	714	3865	1044	1567	1692	1662	860
ENSG00000010473	435	362	379	169	411	278	449	153
ENSG00000010474	14394	31584	26291	15489	19609	13462	23569	33162
ENSG00000010475	130	142	127	80	66	81	120	213
ENSG00000010476	1646	1287	1232	1563	1182	1142	606	802
ENSG00000010477	1292	1467	2158	1217	1241	2955	1952	930
ENSG00000010478	120	37	122	153	91	228	139	128
ENSG00000010479	23	31	37	19	22	60	37	31
ENSG00000010480	7	14	11	21	23	19	7	14
ENSG00000010481	289	210	132	158	310	237	185	157
ENSG00000010482	1481	2131	681	1269	1657	1805	1239	1768
ENSG00000010483	753	191	866	180	712	274	430	329
ENSG00000010484	163	264	161	366	175	238	146	95
ENSG00000010485	40	120	56	34	45	62	59	74
ENSG00000010486	281	510	296	432	491	277	587	471
ENSG00000010487	5	2	0	0	7	3	1	2
ENSG00000010488	278	239	184	168	311	165	167	286
ENSG00000010489	147	183	148	174	149	88	272	269
ENSG00000010490	8	15	16	17	8	12	10	8
ENSG00000010491	8189	17890	6819	15093	8525	11110	7458	13055
ENSG00000010492	6	4	17	15	7	9	8	11
ENSG00000010493	19	17	34	14	23	7	41	10
ENSG00000010494	11	12	9	24	13	12	17	9
ENSG00000010495	2306	827	3713	1140	4364	1147	3284	782
ENSG00000010496	33	21	15	33	20	5	11	18
ENSG00000010497	606	866	591	589	664	418	612	397
ENSG00000010498	508	665	451	393	306	427	417	376
ENSG00000010499	218	242	149	268	382	207	163	113
