gene_id	N61311_untreated	N61311_dex	N052611_dex	N080611_dex	N61311R_dex
ENSG00000196867	25	29	18	16	27
ENSG00000192464	647	782	456	669	792
ENSG00000140388	2956	2711	2371	2468	3375
ENSG00000222943	13	3	17	8	4
ENSG00000133877	3	2	0	0	2
ENSG00000224272	469	652	629	618	426
ENSG00000199005	16449	37254	24258	23415	15560
ENSG00000180366	19	24	33	11	18
ENSG00000115405	11	12	14	9	20
ENSG00000129074	417	674	772	357	496
ENSG00000221145	30	30	37	15	18
ENSG00000198384	37	32	67	46	26
ENSG00000221947	101	77	111	52	99
ENSG00000201337	350	322	347	631	294
ENSG00000191265	65	61	97	72	92
ENSG00000219372	391	247	173	299	247
ENSG00000234418	106	121	155	119	64
ENSG00000215290	29	31	28	38	22
ENSG00000111520	58	66	95	53	56
ENSG00000211491	20	30	14	24	22
ENSG00000165569	436	162	208	179	179
ENSG00000243780	9	16	25	12	12
ENSG00000112835	14	9	20	22	22
ENSG00000120058	3661	1497	1762	2148	1432
ENSG00000121189	183	89	168	129	111
ENSG00000169862	128	100	178	183	91
ENSG00000121076	335	385	506	411	209
ENSG00000153699	52	65	57	59	42
ENSG00000157332	111	78	73	86	92
ENSG00000104242	345	265	363	518	350
ENSG00000100490	221	200	290	153	238
ENSG00000168675	16	25	14	19	16
ENSG00000104063	1284	850	1018	672	846
ENSG00000124082	32	38	45	27	29
ENSG00000233921	16	14	13	10	14
ENSG00000205080	31	6	31	22	30
ENSG00000203156	67	46	118	66	87
ENSG00000216403	2407	3860	4166	7752	3223
ENSG00000194404	26	20	12	13	14
ENSG00000196305	208	190	131	122	188
ENSG00000101768	4	3	1	1	0
ENSG00000184784	109	126	132	145	90
ENSG00000196342	597	850	932	769	1026
ENSG00000140427	122	102	94	126	55
ENSG00000139793	54	36	25	41	63
ENSG00000120729	161	179	176	438	281
ENSG00000196898	559	334	1124	308	506
ENSG00000206853	424	486	558	603	517
ENSG00000228591	11010	6237	10768	7988	7341
ENSG00000226077	218	120	267	245	114
ENSG00000133026	40	29	66	45	47
ENSG00000122588	219	135	87	125	106
ENSG00000135707	161	151	164	111	98
ENSG00000170053	126	124	145	206	236
ENSG00000122922	72	138	324	243	167
ENSG00000125340	280	323	340	167	101
ENSG00000102033	7	2	0	3	5
ENSG00000190364	1330	1320	870	1004	530
ENSG00000125023	102	37	81	47	45
ENSG00000115958	32	25	7	15	14
ENSG00000105230	683	539	407	496	828
ENSG00000227392	2531	2695	3245	1347	2110
ENSG00000216268	345	393	326	554	385
ENSG00000114561	146	249	77	149	199
ENSG00000175001	41	21	23	13	34
ENSG00000242619	42332	29774	44328	55584	63393
ENSG00000233622	927	879	836	687	1309
ENSG00000185308	15	5	22	12	8
ENSG00000248078	34	26	16	32	18
ENSG00000173879	167	148	103	143	121
ENSG00000110153	7	4	2	7	4
ENSG00000233367	221	238	169	180	158
ENSG00000232370	105	63	25	39	80
ENSG00000222655	1921	1930	2007	849	1870
ENSG00000119758	1259	763	708	879	1143
ENSG00000245999	2	0	3	2	0
ENSG00000217435	83	100	233	161	158
ENSG00000125021	6	10	2	7	7
ENSG00000126757	1531	792	1000	1017	1160
ENSG00000123421	247	172	104	223	231
ENSG00000182428	352	482	310	411	660
ENSG00000122283	23	12	12	11	15
ENSG00000194895	5733	7598	7310	3928	5457
ENSG00000171736	7585	7072	13142	10332	8952
ENSG00000123036	26	12	9	10	17
ENSG00000179464	328	293	203	464	332
ENSG00000225249	24	24	30	21	29
ENSG00000143775	102	81	94	176	95
ENSG00000172176	14	11	6	10	9
ENSG00000181971	9815	5674	9127	1721	5369
ENSG00000169636	25	12	26	25	26
ENSG00000121889	78	92	59	89	99
ENSG00000239168	350	328	232	376	499
ENSG00000221613	31	45	50	32	29
ENSG00000154493	107	81	101	86	51
ENSG00000216999	34	36	53	66	13
ENSG00000241095	87	61	177	112	111
ENSG00000223723	15	12	23	12	18
ENSG00000233603	43	52	61	32	53
ENSG00000201020	81	137	84	68	97
ENSG00000227806	74	46	89	84	67
ENSG00000201870	160	152	75	113	176
ENSG00000185403	71	99	36	107	67
ENSG00000230525	609	839	573	586	639
ENSG00000130055	110	86	91	41	57
ENSG00000235902	135	105	105	84	88
ENSG00000239382	49	12	72	31	16
ENSG00000118923	140	28	34	57	55
ENSG00000115654	12	12	18	19	7
ENSG00000136592	315	519	317	408	574
ENSG00000119472	7	15	18	21	7
ENSG00000185699	18	39	45	36	28
ENSG00000129205	170	340	249	334	222
ENSG00000138515	283	296	158	518	226
ENSG00000238521	187	34	68	44	70
ENSG00000163992	2	1	1	5	0
ENSG00000159862	255	227	252	272	213
ENSG00000169104	319	341	231	394	279
ENSG00000152777	19	16	12	9	3
ENSG00000183442	430	844	523	784	661
ENSG00000243335	21	45	22	35	20
ENSG00000226688	13	18	9	11	21
ENSG00000241109	315	167	215	104	88
ENSG00000243677	125	47	80	64	43
ENSG00000155396	186	169	176	305	231
ENSG00000152740	12	8	10	8	6
ENSG00000172573	5699	5091	3893	8368	3982
ENSG00000232982	40	49	32	50	36
ENSG00000120047	8	8	7	9	7
ENSG00000165605	634	533	951	277	287
ENSG00000232245	148	98	78	94	44
ENSG00000182711	139	345	379	155	315
ENSG00000102860	112	60	79	86	91
ENSG00000128074	136	154	95	134	191
ENSG00000182283	216	202	286	260	185
ENSG00000157133	45	29	33	26	21
ENSG00000234828	935	323	610	531	410
ENSG00000230408	161	86	103	37	80
ENSG00000111874	50	26	19	42	26
ENSG00000135251	200	245	188	173	220
ENSG00000241551	522	375	458	352	275
ENSG00000110034	88	133	110	71	94
ENSG00000200399	14	38	20	28	31
ENSG00000153470	409	597	392	415	387
ENSG00000206372	4	4	5	6	4
ENSG00000219212	16	20	21	10	18
ENSG00000163334	160	101	159	119	126
ENSG00000154643	8	6	12	15	9
ENSG00000133957	225	87	147	156	139
ENSG00000237850	73	174	143	140	196
ENSG00000237211	1486	601	765	1024	1292
ENSG00000156116	44	15	28	22	29
ENSG00000199357	51	40	44	59	28
ENSG00000165470	189	358	352	298	348
ENSG00000238379	2	3	0	1	3
ENSG00000103174	38387	47602	29801	38062	46575
ENSG00000103537	42	32	65	36	32
ENSG00000138810	28	31	39	31	27
ENSG00000160698	653	1051	923	686	914
ENSG00000127067	158	85	192	104	150
ENSG00000207626	2	2	6	2	6
ENSG00000161963	1456	353	439	392	675
ENSG00000148155	567	843	846	775	940
ENSG00000202059	49	29	41	60	59
ENSG00000143042	90	98	74	80	74
ENSG00000217276	505	310	301	601	228
ENSG00000121092	15	28	40	15	12
ENSG00000147308	474	405	323	281	366
ENSG00000126968	189	162	384	246	193
ENSG00000214251	15	28	59	32	30
ENSG00000107120	14	6	15	11	6
ENSG00000204839	91	121	113	64	65
ENSG00000153305	28	18	20	21	12
ENSG00000196888	1209	961	1045	1711	777
ENSG00000188229	231	153	80	120	220
ENSG00000217604	660	962	936	546	749
ENSG00000109484	222	123	242	164	200
ENSG00000162759	179	216	242	279	267
ENSG00000205987	30	57	13	30	51
ENSG00000139264	639	367	826	654	387
ENSG00000229282	4148	5269	5537	4942	6050
ENSG00000120749	66	51	83	48	68
ENSG00000214059	64	55	48	40	41
ENSG00000175371	128	178	114	76	140
ENSG00000181461	56	71	46	26	41
ENSG00000200143	35	29	41	11	52
ENSG00000236149	140	154	109	144	331
ENSG00000153652	91	103	123	98	76
ENSG00000120747	2985	2253	2135	4140	1595
ENSG00000117681	116	106	185	191	223
ENSG00000167269	251	329	267	195	321
ENSG00000229065	1175	778	746	679	1059
ENSG00000198333	36	59	75	62	76
ENSG00000106075	1626	1672	2071	1666	4170
ENSG00000139809	37	15	57	26	39
ENSG00000227953	24	22	21	25	25
ENSG00000136473	39	64	65	69	49
ENSG00000125528	286	67	92	138	91
ENSG00000214394	12	5	6	7	16
ENSG00000135493	142	120	93	87	166
ENSG00000122215	5	5	10	7	2
ENSG00000155785	2197	1860	2898	2531	3041
ENSG00000186503	126	104	131	105	145
ENSG00000204747	29	16	54	41	53
ENSG00000211564	30	26	13	27	20
ENSG00000131928	57	54	62	60	74
ENSG00000234627	74	61	82	78	131
ENSG00000247288	21	24	16	19	31
ENSG00000146245	16	20	33	15	33
ENSG00000181108	103	71	79	109	171
ENSG00000138747	26	43	40	82	31
ENSG00000224027	904	721	1085	576	594
ENSG00000105941	841	1469	663	863	1692
ENSG00000222022	131	253	131	90	191
ENSG00000241539	739	443	237	370	335
ENSG00000154577	16	8	10	7	15
ENSG00000187972	1117	720	404	347	418
ENSG00000126268	239	187	144	166	226
ENSG00000243721	169	327	251	274	538
ENSG00000160115	3544	2510	3997	3885	1912
ENSG00000121486	4	1	2	0	1
ENSG00000111175	201	169	101	257	155
ENSG00000189341	14	13	16	13	14
ENSG00000118664	380	443	317	582	218
ENSG00000199205	6	14	8	9	10
ENSG00000107153	73	74	43	53	50
ENSG00000239497	155	192	171	204	193
ENSG00000223008	506	393	354	266	629
ENSG00000107500	257	201	170	169	118
ENSG00000155190	28	43	33	42	35
ENSG00000186150	58	90	41	51	62
ENSG00000228070	759	596	1041	827	1178
ENSG00000187364	234	200	174	104	143
ENSG00000225845	17	7	6	6	2
ENSG00000224945	606	526	720	425	889
ENSG00000219524	460	326	241	362	524
ENSG00000121760	1049	585	914	736	578
ENSG00000231057	101	66	68	116	46
ENSG00000141985	987	1020	746	653	541
ENSG00000149217	15	14	5	12	17
ENSG00000244054	509	349	413	410	566
ENSG00000164082	88	36	40	44	53
ENSG00000236603	599	506	727	534	397
ENSG00000164909	1406	618	1768	889	1232
ENSG00000230698	42	50	12	35	11
ENSG00000117631	113	142	115	180	100
ENSG00000206252	85	131	82	109	178
ENSG00000186468	1407	1381	943	1258	2245
ENSG00000172363	486	337	255	1024	757
ENSG00000113559	15	11	6	31	16
ENSG00000128452	446	260	275	245	293
ENSG00000209119	490	361	562	671	530
ENSG00000136510	8242	10003	9821	11627	9503
ENSG00000100632	10	7	6	5	6
ENSG00000148117	27	63	46	73	32
ENSG00000208108	1645	1641	1985	1483	3977
ENSG00000203732	8	17	8	11	6
ENSG00000185827	27	12	15	9	21
ENSG00000217011	307	383	361	406	409
ENSG00000169243	771	1223	901	1291	991
ENSG00000241934	75	49	55	39	23
ENSG00000180950	232	410	492	624	256
ENSG00000137119	146	187	323	138	205
ENSG00000159031	3283	2863	1797	1845	3944
ENSG00000178896	197	212	73	136	138
ENSG00000203076	1279	791	1152	1241	801
ENSG00000163519	22	16	26	33	11
ENSG00000111849	80	101	168	105	106
ENSG00000193776	284	81	147	111	134
ENSG00000156461	906	1806	1533	1054	2164
ENSG00000176918	417	443	332	381	432
ENSG00000190669	39	54	32	38	46
ENSG00000243002	554	238	664	483	465
ENSG00000203640	728	407	396	1215	585
ENSG00000109650	103	158	139	106	102
ENSG00000146779	99	52	146	79	127
ENSG00000132243	74	100	93	102	172
ENSG00000243057	1	5	3	3	5
ENSG00000189433	177	246	333	158	107
ENSG00000156986	200	338	203	342	137
ENSG00000150966	40	16	26	24	22
ENSG00000200520	590	454	596	752	468
ENSG00000129201	9	5	13	6	6
ENSG00000136600	26	53	53	50	28
ENSG00000247920	74	54	88	70	72
ENSG00000177537	7298	9006	7228	9281	8179
ENSG00000243421	3	16	4	8	3
ENSG00000233521	571	463	360	349	206
ENSG00000185687	948	1321	1337	862	647
ENSG00000187821	559	196	153	248	195
ENSG00000238417	3703	1255	867	2065	1083
ENSG00000127263	34	14	31	17	16
ENSG00000170244	2	3	2	1	3
ENSG00000190884	471	829	736	370	700
ENSG00000113301	19	9	11	5	23
ENSG00000195392	64	70	77	48	49
ENSG00000142129	17	13	11	19	8
ENSG00000130462	1346	1044	1369	704	1004
ENSG00000151041	1295	769	788	465	1103
ENSG00000158743	37	21	15	27	30
ENSG00000244182	939	1250	736	1261	1349
ENSG00000105389	113	176	259	168	171
ENSG00000239622	338	175	106	154	195
ENSG00000121182	143	258	143	176	257
ENSG00000180118	99	73	151	29	152
ENSG00000175966	398	390	618	633	346
ENSG00000235283	251	440	180	133	295
ENSG00000157574	101	69	90	80	84
ENSG00000145384	1117	720	824	911	1497
ENSG00000122025	40	31	49	31	58
ENSG00000137716	146	200	200	231	342
ENSG00000200422	187	342	384	319	276
ENSG00000230057	1673	1727	1891	3731	2453
ENSG00000157374	82	77	60	66	36
ENSG00000119319	4166	4822	3124	6691	8535
ENSG00000186614	234	173	230	138	170
ENSG00000177930	121	64	56	103	120
ENSG00000100688	14	34	34	33	33
ENSG00000138167	534	395	452	337	592
ENSG00000152135	156	251	154	205	225
ENSG00000157920	8	17	18	11	9
ENSG00000233925	22	7	29	16	26
ENSG00000199128	58	63	54	42	43
ENSG00000168945	42	26	43	39	28
ENSG00000167179	866	1448	876	1456	767
ENSG00000169999	3399	1932	2561	3087	2309
ENSG00000196969	920	562	584	922	1327
ENSG00000184499	406	233	417	212	372
ENSG00000220523	70	114	82	42	46
ENSG00000233197	119	286	143	97	166
ENSG00000149050	916	935	673	846	929
ENSG00000218954	5697	13164	12227	10044	8213
ENSG00000238978	1229	941	785	1334	936
ENSG00000139808	75	124	120	69	95
ENSG00000244172	109	212	133	129	108
ENSG00000209245	57	60	77	75	45
ENSG00000223393	30	20	24	19	47
ENSG00000144776	185	126	93	110	106
ENSG00000153485	241	284	174	155	201
ENSG00000116363	15205	5672	8720	6743	4513
ENSG00000199373	163	194	119	159	82
ENSG00000214222	1580	992	2209	2480	2854
ENSG00000143482	6167	5175	7513	2024	4743
ENSG00000196938	155	287	143	112	121
ENSG00000114583	1832	3833	3003	2883	3180
ENSG00000128827	672	603	630	773	341
ENSG00000142820	79	99	102	27	60
ENSG00000247015	421	158	207	263	363
ENSG00000154834	174	144	265	159	197
ENSG00000222696	116	114	115	57	85
ENSG00000217731	81	45	45	100	142
ENSG00000210623	179	236	166	126	188
ENSG00000170476	310	368	314	397	203
ENSG00000210817	38	24	15	30	14
ENSG00000156549	127	196	93	138	184
ENSG00000238121	7	5	11	10	13
ENSG00000215518	440	239	188	195	359
ENSG00000197302	1436	929	261	619	302
ENSG00000114356	103	243	95	134	152
ENSG00000100553	257	144	222	303	198
ENSG00000206549	583	448	620	613	511
ENSG00000173699	58	28	51	60	34
ENSG00000135083	46	107	99	172	60
ENSG00000246813	401	541	541	610	558
ENSG00000140924	2593	1188	696	1480	1322
ENSG00000228203	359	571	303	223	235
ENSG00000186881	10758	17372	14768	17074	19522
ENSG00000155162	80	185	118	136	97
ENSG00000102054	946	1184	1198	779	778
ENSG00000185876	1470	2234	1934	1698	1668
ENSG00000229078	90	108	122	161	101
ENSG00000222097	32	22	44	30	35
ENSG00000123666	7	15	19	15	15
ENSG00000105490	211	161	100	194	341
ENSG00000214086	1522	1084	1300	2360	1288
ENSG00000129830	227	243	295	261	330
ENSG00000148218	263	177	290	207	150
ENSG00000154797	66	27	34	53	44
ENSG00000152280	343	421	331	545	388
ENSG00000109791	7	2	1	2	0
ENSG00000172784	196	254	271	261	378
ENSG00000184486	168	161	131	163	88
ENSG00000232792	12	10	9	9	9
ENSG00000180754	18521	5970	14756	11536	9413
ENSG00000203598	9	9	12	10	10
ENSG00000177647	19	17	21	23	7
ENSG00000109221	17	5	12	23	13
ENSG00000185348	1883	2501	1120	1588	773
ENSG00000244964	21	23	20	13	27
ENSG00000173023	506	552	504	564	372
ENSG00000209149	716	372	315	488	344
ENSG00000190340	286	304	152	181	246
ENSG00000237038	8	11	15	10	5
ENSG00000137117	19	31	46	67	43
ENSG00000213309	4227	2253	8526	2629	3276
ENSG00000175197	12	14	22	9	8
ENSG00000145316	47	31	23	15	12
ENSG00000194182	137	139	64	81	147
ENSG00000130969	667	711	676	634	725
ENSG00000193107	455	216	216	173	233
ENSG00000248144	665	556	597	533	640
ENSG00000237618	15	14	42	19	23
ENSG00000200323	1496	904	1666	607	1111
ENSG00000166685	247	272	233	440	301
ENSG00000226332	6	1	6	8	5
ENSG00000116542	4191	2235	3365	1469	3656
ENSG00000166920	20495	15040	16655	19131	11061
ENSG00000188895	27	19	38	54	39
ENSG00000107264	156	119	237	146	224
ENSG00000125903	1573	1936	2799	1879	1618
ENSG00000129199	8	3	12	14	6
ENSG00000166564	2	0	2	2	2
ENSG00000163663	12	13	2	6	7
ENSG00000126345	51	19	53	69	49
ENSG00000175849	45	53	60	40	71
ENSG00000175028	408	294	269	147	479
ENSG00000124880	471	262	260	230	139
ENSG00000111445	15	10	11	17	17
ENSG00000122026	362	537	322	452	416
ENSG00000186024	7592	6642	5803	2227	10227
ENSG00000224991	2324	1740	3029	886	970
ENSG00000198390	1001	1898	1754	1015	1411
ENSG00000183274	137	200	103	149	132
ENSG00000154264	901	994	1287	1180	1525
ENSG00000235718	18	15	13	23	22
ENSG00000157471	742	351	907	409	412
ENSG00000117537	116	97	90	162	137
ENSG00000222195	1033	958	1698	1750	1191
ENSG00000122915	360	241	427	304	316
ENSG00000123451	23	13	27	22	16
ENSG00000146588	234	207	105	155	191
ENSG00000216308	1569	2302	1480	858	2730
ENSG00000111109	16	13	15	17	17
ENSG00000169324	59	62	42	35	27
ENSG00000180038	51	33	22	36	25
ENSG00000184633	7	4	7	7	7
ENSG00000126980	1111	685	1424	766	606
ENSG00000198883	2435	2372	1842	1928	1631
ENSG00000116408	584	644	675	728	627
ENSG00000239965	135	308	151	277	192
ENSG00000111933	184	113	97	58	151
ENSG00000193148	194	203	237	250	221
ENSG00000230500	50	21	27	52	46
ENSG00000118412	997	964	830	990	631
ENSG00000181434	1542	923	1616	1105	432
ENSG00000237408	1481	1062	1455	682	837
ENSG00000116818	54	29	59	21	42
ENSG00000133046	196	97	156	166	262
ENSG00000123889	110	115	46	86	75
ENSG00000167668	9071	5471	4155	7348	5847
ENSG00000239202	310	169	262	118	275
ENSG00000235431	4	0	1	6	1
ENSG00000183091	383	253	216	182	280
ENSG00000138618	4490	4717	3995	7708	6336
ENSG00000229918	630	311	389	691	425
ENSG00000120600	467	590	572	1080	782
ENSG00000158981	85	209	127	230	166
ENSG00000151375	2	2	1	4	3
ENSG00000214526	4	5	4	3	1
ENSG00000142197	18	8	10	21	12
ENSG00000219557	129	123	72	136	146
ENSG00000106299	563	329	204	254	215
ENSG00000124682	448	488	620	695	317
ENSG00000188810	77	112	81	55	95
ENSG00000183190	608	879	1573	799	721
ENSG00000186882	48	115	90	52	109
ENSG00000233381	35	17	47	52	35
ENSG00000186307	1073	974	870	1541	613
ENSG00000172760	19	17	26	32	59
ENSG00000139892	1	2	1	0	0
ENSG00000184693	7	17	15	19	23
ENSG00000111350	421	190	127	160	146
ENSG00000175344	1	1	2	1	0
ENSG00000148487	86	93	52	62	123
ENSG00000209719	68	45	45	64	47
ENSG00000114492	10	12	9	9	4
ENSG00000212348	3	6	3	6	8
ENSG00000241124	87	38	40	69	41
ENSG00000156900	30	30	28	56	22
ENSG00000138997	1514	2136	1223	1312	2262
ENSG00000215002	193	384	326	319	368
ENSG00000122879	5	9	6	9	8
ENSG00000242181	17	16	17	17	49
ENSG00000200111	661	385	736	492	669
ENSG00000144522	6276	6745	6673	9442	5662
ENSG00000150333	342	275	241	261	363
ENSG00000156130	244	210	509	334	333
ENSG00000140802	5665	5325	6138	4926	4578
ENSG00000247795	133	130	108	145	117
ENSG00000154699	154	87	177	106	76
ENSG00000185669	6	7	9	3	4
ENSG00000139544	62	45	42	34	29
ENSG00000237634	8461	8551	12279	5675	13042
ENSG00000208251	11	15	13	9	6
ENSG00000216205	198	195	100	103	144
ENSG00000162317	11	11	13	8	17
ENSG00000111894	146	218	263	133	136
ENSG00000158938	1009	1119	604	898	755
ENSG00000156912	124	93	72	61	118
ENSG00000213313	504	641	815	815	891
ENSG00000124047	1556	415	524	434	706
ENSG00000132213	166	404	324	483	283
ENSG00000208095	6220	3101	3654	2976	4694
ENSG00000215533	554	424	1254	739	403
ENSG00000192153	123	75	73	81	107
ENSG00000200890	52	22	35	44	47
ENSG00000137419	23	28	33	41	24
ENSG00000153092	378	345	347	539	399
ENSG00000217440	41	75	73	78	79
ENSG00000236662	21849	38820	47549	20246	33730
ENSG00000159746	7451	7446	4717	7202	4763
ENSG00000110856	97	131	92	80	84
ENSG00000148221	84	72	63	82	59
ENSG00000243395	2712	6546	4445	5421	5228
ENSG00000204768	2	3	2	1	5
ENSG00000249629	23	36	48	108	42
ENSG00000183057	651	605	885	1164	650
ENSG00000233741	37	9	24	13	30
ENSG00000115436	39	61	59	51	56
ENSG00000175593	73	67	35	52	85
ENSG00000100059	646	656	680	695	441
ENSG00000220743	251	214	169	221	155
ENSG00000200946	359	277	345	281	233
ENSG00000241506	689	429	399	420	510
ENSG00000141719	178	209	125	217	106
ENSG00000246831	676	1671	898	1510	1686
ENSG00000178696	28	35	26	59	25
ENSG00000121646	3	7	1	12	5
ENSG00000198372	13	4	3	5	2
ENSG00000176225	10	5	3	5	9
ENSG00000240055	50	36	47	50	82
ENSG00000194320	877	1293	1172	655	1293
ENSG00000240366	238	201	216	247	228
ENSG00000188639	70	39	33	51	16
ENSG00000206857	18	17	24	12	12
ENSG00000231638	53	16	81	49	17
ENSG00000196445	61	110	59	48	40
ENSG00000200188	30	46	47	64	20
ENSG00000167462	7	6	9	11	4
ENSG00000126327	60	46	41	49	72
ENSG00000119850	670	1381	1028	1042	1700
ENSG00000152569	3	3	3	0	2
ENSG00000110841	175	126	90	144	134
ENSG00000185244	2	3	2	0	2
ENSG00000185875	243	230	141	70	167
ENSG00000205253	30	51	51	77	38
ENSG00000121944	1	2	1	4	2
ENSG00000175631	161	116	168	267	91
ENSG00000118281	17341	4481	6580	5237	4042
ENSG00000214628	574	286	165	188	178
ENSG00000162932	592	2103	1428	1223	2009
ENSG00000150909	170	155	78	106	196
ENSG00000190358	2	0	0	6	2
ENSG00000244254	283	612	422	260	314
ENSG00000164242	38	32	93	99	61
ENSG00000157690	10	8	8	17	13
ENSG00000112500	624	610	505	416	466
ENSG00000175462	146	271	355	163	203
ENSG00000115592	63	27	43	53	34
ENSG00000161485	353	681	747	701	898
ENSG00000142497	22	23	13	29	24
ENSG00000213632	672	322	419	248	419
ENSG00000161066	19	22	15	25	26
ENSG00000150797	474	391	521	598	433
ENSG00000127706	11	15	15	4	14
ENSG00000248771	2527	3626	3838	2764	2858
ENSG00000203384	225	337	175	264	184
ENSG00000166123	2081	2080	2161	4075	1855
ENSG00000212576	39	36	11	26	17
ENSG00000113966	40	53	50	53	51
ENSG00000142122	556	806	581	784	588
ENSG00000165220	0	0	3	2	1
ENSG00000201150	13	10	9	10	23
ENSG00000120938	1329	2146	1303	881	528
ENSG00000227306	343	504	286	427	440
ENSG00000130984	986	994	1171	1504	851
ENSG00000118493	101	88	89	78	78
ENSG00000103727	434	455	279	733	568
ENSG00000218914	45	48	28	38	40
ENSG00000215398	19	9	14	9	12
ENSG00000205607	5	5	3	10	3
ENSG00000189018	51	63	40	46	38
ENSG00000115081	25	37	47	64	41
ENSG00000130416	40	53	25	70	67
ENSG00000155898	3	3	1	1	2
ENSG00000117830	3	3	5	2	0
ENSG00000228359	45	60	54	87	79
ENSG00000211141	257	278	101	142	209
ENSG00000198328	24	28	14	61	83
ENSG00000227075	29	24	17	32	40
