	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
KDM6A	233	95	137	77	246	136	166	129
ARID1A	18	9	4	23	17	11	6	4
CREBBP	104	57	51	97	57	56	69	128
ENSG00000216478	246	199	150	138	105	156	98	171
ENSG00000144960	427	444	259	209	324	181	257	220
ENSG00000138029	14	25	10	37	13	22	25	28
ENSG00000239788	12	24	9	21	22	15	43	14
ENSG00000201025	156	175	400	132	104	310	134	161
ENSG00000110929	42	53	53	92	75	58	86	55
ENSG00000240007	426	212	578	432	458	197	356	165
ENSG00000198841	550	411	1034	886	1014	599	688	840
ENSG00000128723	3	9	6	3	4	2	4	5
ENSG00000117117	306	280	286	390	143	227	132	291
ENSG00000179340	1956	1809	1806	2425	849	1179	1080	971
ENSG00000122781	106	38	111	47	96	77	107	93
ENSG00000138390	15	47	25	26	29	29	24	33
ENSG00000172951	478	574	706	355	828	547	521	682
ENSG00000218333	184	330	197	230	139	221	163	565
ENSG00000113416	1387	588	725	939	743	889	1550	765
ENSG00000138114	138	82	174	51	164	109	67	122
ENSG00000231122	11	1	9	10	12	11	7	6
ENSG00000157421	266	97	145	272	274	80	162	182
ENSG00000150314	62	34	69	38	53	56	55	51
ENSG00000152999	516	552	475	335	1193	401	695	487
ENSG00000241974	142	149	282	256	199	215	195	233
ENSG00000176857	5	3	4	9	2	2	0	4
ENSG00000234680	10	18	10	7	11	21	20	29
ENSG00000194629	818	836	1136	1041	803	1165	1313	934
ENSG00000162409	787	579	1330	284	1239	435	1285	374
ENSG00000152286	27	61	43	28	17	22	54	38
ENSG00000168766	109	160	191	165	130	106	70	87
ENSG00000156129	374	295	266	304	189	396	630	511
ENSG00000220347	261	271	380	508	452	267	506	344
ENSG00000136221	2687	676	2062	1408	898	920	1966	1044
ENSG00000148811	233	112	399	264	531	205	459	319
ENSG00000198511	74	45	115	121	98	147	137	64
ENSG00000148311	112	97	122	121	59	214	82	123
ENSG00000239761	1800	1401	771	1383	936	1981	1542	873
ENSG00000181301	1	2	0	2	2	1	1	1
ENSG00000146542	82	59	165	106	103	70	207	127
ENSG00000184165	133	84	47	171	211	180	176	88
ENSG00000192753	11	4	8	2	5	3	2	5
ENSG00000122539	535	254	570	379	222	446	569	419
ENSG00000227397	24	29	28	40	42	52	35	45
ENSG00000241766	966	1349	584	766	773	811	916	942
ENSG00000191367	145	79	36	52	104	179	102	130
ENSG00000196953	817	748	294	573	419	460	461	536
ENSG00000180126	852	1655	1612	2026	990	1246	1475	1453
ENSG00000196498	252	224	204	312	206	340	369	293
ENSG00000108749	36	37	22	13	22	32	14	14
ENSG00000110765	8	6	5	5	8	5	4	10
ENSG00000128701	7022	3265	8400	3095	11198	5535	10008	8756
ENSG00000122186	94	59	106	148	104	141	119	127
ENSG00000137801	14	36	37	43	42	49	45	27
ENSG00000129195	212	339	162	197	118	213	204	144
ENSG00000198898	162	119	83	98	118	75	66	113
ENSG00000221444	582	776	1043	775	570	482	633	719
ENSG00000173164	141	127	54	114	256	212	236	167
ENSG00000173472	133	174	83	214	170	204	151	161
ENSG00000176149	45	27	50	51	27	24	46	73
ENSG00000226686	305	229	169	324	287	214	312	365
ENSG00000196867	25	29	11	18	14	16	23	27
ENSG00000192464	647	782	410	456	532	669	379	792
ENSG00000140388	2956	2711	2880	2371	2323	2468	1497	3375
ENSG00000222943	13	3	12	17	9	8	8	4
ENSG00000133877	3	2	0	0	2	0	1	2
ENSG00000224272	469	652	539	629	532	618	617	426
ENSG00000199005	16449	37254	13135	24258	27279	23415	11605	15560
ENSG00000180366	19	24	63	33	24	11	32	18
ENSG00000115405	11	12	8	14	3	9	7	20
ENSG00000129074	417	674	452	772	513	357	448	496
ENSG00000221145	30	30	27	37	26	15	52	18
ENSG00000198384	37	32	27	67	65	46	60	26
ENSG00000221947	101	77	70	111	74	52	112	99
ENSG00000201337	350	322	460	347	259	631	349	294
ENSG00000191265	65	61	100	97	37	72	72	92
ENSG00000219372	391	247	646	173	842	299	456	247
ENSG00000234418	106	121	81	155	104	119	98	64
ENSG00000215290	29	31	42	28	28	38	40	22
ENSG00000111520	58	66	59	95	62	53	105	56
ENSG00000211491	20	30	29	14	17	24	33	22
ENSG00000165569	436	162	331	208	174	179	311	179
ENSG00000243780	9	16	10	25	13	12	27	12
ENSG00000112835	14	9	12	20	12	22	20	22
ENSG00000120058	3661	1497	3278	1762	3387	2148	2259	1432
ENSG00000121189	183	89	134	168	178	129	140	111
ENSG00000169862	128	100	150	178	123	183	123	91
ENSG00000121076	335	385	335	506	524	411	299	209
ENSG00000153699	52	65	52	57	60	59	85	42
ENSG00000157332	111	78	104	73	61	86	72	92
ENSG00000104242	345	265	177	363	518	518	433	350
ENSG00000100490	221	200	242	290	178	153	190	238
ENSG00000168675	16	25	18	14	16	19	27	16
ENSG00000104063	1284	850	1714	1018	1029	672	2376	846
ENSG00000124082	32	38	36	45	56	27	30	29
ENSG00000233921	16	14	16	13	15	10	19	14
ENSG00000205080	31	6	25	31	12	22	35	30
ENSG00000203156	67	46	66	118	68	66	85	87
ENSG00000216403	2407	3860	2843	4166	6052	7752	3961	3223
ENSG00000194404	26	20	10	12	40	13	22	14
ENSG00000196305	208	190	166	131	223	122	243	188
ENSG00000101768	4	3	2	1	2	1	1	0
ENSG00000184784	109	126	131	132	83	145	97	90
ENSG00000196342	597	850	765	932	501	769	862	1026
ENSG00000140427	122	102	101	94	69	126	104	55
ENSG00000139793	54	36	53	25	31	41	48	63
ENSG00000120729	161	179	333	176	371	438	225	281
ENSG00000196898	559	334	420	1124	1125	308	629	506
ENSG00000206853	424	486	328	558	792	603	362	517
ENSG00000228591	11010	6237	8968	10768	15081	7988	13961	7341
ENSG00000226077	218	120	141	267	362	245	151	114
ENSG00000133026	40	29	14	66	46	45	37	47
ENSG00000122588	219	135	170	87	105	125	125	106
ENSG00000135707	161	151	121	164	150	111	111	98
ENSG00000170053	126	124	109	145	116	206	254	236
ENSG00000122922	72	138	77	324	139	243	148	167
ENSG00000125340	280	323	240	340	294	167	232	101
ENSG00000102033	7	2	7	0	6	3	6	5
ENSG00000190364	1330	1320	784	870	253	1004	558	530
ENSG00000125023	102	37	104	81	33	47	137	45
ENSG00000115958	32	25	7	7	16	15	9	14
ENSG00000105230	683	539	336	407	631	496	531	828
ENSG00000227392	2531	2695	5486	3245	4549	1347	4420	2110
ENSG00000216268	345	393	516	326	281	554	493	385
ENSG00000114561	146	249	185	77	161	149	159	199
ENSG00000175001	41	21	27	23	24	13	10	34
ENSG00000242619	42332	29774	67530	44328	38606	55584	76156	63393
ENSG00000233622	927	879	920	836	1126	687	915	1309
ENSG00000185308	15	5	7	22	24	12	16	8
ENSG00000248078	34	26	17	16	21	32	27	18
ENSG00000173879	167	148	128	103	270	143	213	121
ENSG00000110153	7	4	2	2	4	7	6	4
ENSG00000233367	221	238	257	169	171	180	131	158
ENSG00000232370	105	63	50	25	57	39	87	80
ENSG00000222655	1921	1930	1097	2007	1215	849	1740	1870
ENSG00000119758	1259	763	769	708	979	879	1321	1143
ENSG00000245999	2	0	0	3	2	2	0	0
ENSG00000217435	83	100	205	233	137	161	224	158
ENSG00000125021	6	10	8	2	4	7	10	7
ENSG00000126757	1531	792	1258	1000	805	1017	1473	1160
ENSG00000123421	247	172	328	104	218	223	124	231
ENSG00000182428	352	482	292	310	336	411	593	660
ENSG00000122283	23	12	16	12	34	11	16	15
ENSG00000194895	5733	7598	9605	7310	4907	3928	3005	5457
ENSG00000171736	7585	7072	5087	13142	13039	10332	5952	8952
ENSG00000123036	26	12	18	9	22	10	15	17
ENSG00000179464	328	293	454	203	158	464	306	332
ENSG00000225249	24	24	31	30	18	21	41	29
ENSG00000143775	102	81	162	94	77	176	57	95
ENSG00000172176	14	11	6	6	11	10	16	9
ENSG00000181971	9815	5674	4992	9127	6601	1721	7088	5369
ENSG00000169636	25	12	20	26	17	25	21	26
ENSG00000121889	78	92	125	59	71	89	83	99
ENSG00000239168	350	328	255	232	284	376	234	499
ENSG00000221613	31	45	59	50	33	32	40	29
ENSG00000154493	107	81	88	101	112	86	71	51
ENSG00000216999	34	36	58	53	56	66	53	13
ENSG00000241095	87	61	159	177	117	112	139	111
ENSG00000223723	15	12	9	23	9	12	20	18
ENSG00000233603	43	52	92	61	42	32	70	53
ENSG00000201020	81	137	157	84	54	68	99	97
ENSG00000227806	74	46	79	89	73	84	117	67
ENSG00000201870	160	152	103	75	147	113	182	176
ENSG00000185403	71	99	70	36	83	107	37	67
ENSG00000230525	609	839	701	573	733	586	856	639
ENSG00000130055	110	86	91	91	97	41	65	57
ENSG00000235902	135	105	102	105	88	84	107	88
ENSG00000239382	49	12	38	72	23	31	20	16
ENSG00000118923	140	28	133	34	103	57	121	55
ENSG00000115654	12	12	6	18	16	19	13	7
ENSG00000136592	315	519	378	317	376	408	429	574
ENSG00000119472	7	15	11	18	24	21	9	7
ENSG00000185699	18	39	22	45	19	36	38	28
ENSG00000129205	170	340	211	249	438	334	446	222
ENSG00000138515	283	296	289	158	408	518	315	226
ENSG00000238521	187	34	165	68	147	44	77	70
ENSG00000163992	2	1	0	1	4	5	1	0
ENSG00000159862	255	227	372	252	314	272	358	213
ENSG00000169104	319	341	163	231	288	394	353	279
ENSG00000152777	19	16	5	12	22	9	9	3
ENSG00000183442	430	844	560	523	1195	784	530	661
ENSG00000243335	21	45	39	22	34	35	17	20
ENSG00000226688	13	18	13	9	6	11	11	21
ENSG00000241109	315	167	251	215	230	104	475	88
ENSG00000243677	125	47	116	80	82	64	125	43
ENSG00000155396	186	169	288	176	176	305	191	231
ENSG00000152740	12	8	4	10	3	8	11	6
ENSG00000172573	5699	5091	6161	3893	9388	8368	5121	3982
ENSG00000232982	40	49	52	32	14	50	86	36
ENSG00000120047	8	8	5	7	9	9	9	7
ENSG00000165605	634	533	624	951	393	277	276	287
ENSG00000232245	148	98	71	78	81	94	52	44
ENSG00000182711	139	345	273	379	265	155	375	315
ENSG00000102860	112	60	78	79	74	86	72	91
ENSG00000128074	136	154	99	95	94	134	166	191
ENSG00000182283	216	202	292	286	295	260	120	185
ENSG00000157133	45	29	39	33	27	26	17	21
ENSG00000234828	935	323	787	610	639	531	378	410
ENSG00000230408	161	86	118	103	112	37	178	80
ENSG00000111874	50	26	23	19	21	42	29	26
ENSG00000135251	200	245	200	188	142	173	155	220
ENSG00000241551	522	375	332	458	511	352	496	275
ENSG00000110034	88	133	55	110	61	71	90	94
ENSG00000200399	14	38	16	20	38	28	23	31
ENSG00000153470	409	597	475	392	682	415	614	387
ENSG00000206372	4	4	9	5	5	6	3	4
ENSG00000219212	16	20	13	21	17	10	5	18
ENSG00000163334	160	101	107	159	130	119	259	126
ENSG00000154643	8	6	8	12	11	15	12	9
ENSG00000133957	225	87	341	147	295	156	256	139
ENSG00000237850	73	174	123	143	77	140	94	196
ENSG00000237211	1486	601	1008	765	702	1024	835	1292
ENSG00000156116	44	15	36	28	43	22	31	29
ENSG00000199357	51	40	32	44	61	59	28	28
ENSG00000165470	189	358	220	352	236	298	194	348
ENSG00000238379	2	3	1	0	0	1	0	3
ENSG00000103174	38387	47602	36081	29801	29407	38062	44743	46575
ENSG00000103537	42	32	30	65	42	36	39	32
ENSG00000138810	28	31	23	39	28	31	37	27
ENSG00000160698	653	1051	698	923	946	686	1129	914
ENSG00000127067	158	85	175	192	128	104	155	150
ENSG00000207626	2	2	7	6	2	2	4	6
ENSG00000161963	1456	353	666	439	1146	392	1107	675
ENSG00000148155	567	843	946	846	767	775	945	940
ENSG00000202059	49	29	87	41	41	60	87	59
ENSG00000143042	90	98	99	74	55	80	70	74
ENSG00000217276	505	310	420	301	544	601	285	228
ENSG00000121092	15	28	26	40	47	15	27	12
ENSG00000147308	474	405	477	323	218	281	406	366
ENSG00000126968	189	162	247	384	239	246	152	193
ENSG00000214251	15	28	43	59	32	32	46	30
ENSG00000107120	14	6	4	15	10	11	6	6
ENSG00000204839	91	121	161	113	215	64	123	65
ENSG00000153305	28	18	16	20	27	21	23	12
ENSG00000196888	1209	961	891	1045	1615	1711	1292	777
ENSG00000188229	231	153	65	80	240	120	225	220
ENSG00000217604	660	962	694	936	763	546	1007	749
ENSG00000109484	222	123	230	242	223	164	116	200
ENSG00000162759	179	216	262	242	150	279	380	267
ENSG00000205987	30	57	20	13	28	30	37	51
ENSG00000139264	639	367	792	826	806	654	484	387
ENSG00000229282	4148	5269	5477	5537	5006	4942	5962	6050
ENSG00000120749	66	51	80	83	81	48	64	68
ENSG00000214059	64	55	75	48	79	40	145	41
ENSG00000175371	128	178	103	114	119	76	184	140
ENSG00000181461	56	71	53	46	39	26	42	41
ENSG00000200143	35	29	15	41	14	11	33	52
ENSG00000236149	140	154	126	109	189	144	224	331
ENSG00000153652	91	103	35	123	111	98	57	76
ENSG00000120747	2985	2253	2424	2135	1705	4140	2746	1595
ENSG00000117681	116	106	101	185	76	191	172	223
ENSG00000167269	251	329	295	267	381	195	124	321
ENSG00000229065	1175	778	1085	746	1178	679	782	1059
ENSG00000198333	36	59	78	75	73	62	105	76
ENSG00000106075	1626	1672	1142	2071	2148	1666	3155	4170
ENSG00000139809	37	15	48	57	12	26	41	39
ENSG00000227953	24	22	32	21	31	25	29	25
ENSG00000136473	39	64	91	65	116	69	241	49
ENSG00000125528	286	67	260	92	295	138	235	91
ENSG00000214394	12	5	10	6	5	7	15	16
ENSG00000135493	142	120	115	93	176	87	99	166
ENSG00000122215	5	5	7	10	4	7	4	2
ENSG00000155785	2197	1860	2046	2898	2717	2531	1488	3041
ENSG00000186503	126	104	91	131	104	105	114	145
ENSG00000204747	29	16	48	54	34	41	34	53
ENSG00000211564	30	26	16	13	29	27	9	20
ENSG00000131928	57	54	69	62	137	60	50	74
ENSG00000234627	74	61	99	82	75	78	76	131
ENSG00000247288	21	24	10	16	22	19	28	31
ENSG00000146245	16	20	17	33	22	15	8	33
ENSG00000181108	103	71	111	79	122	109	177	171
ENSG00000138747	26	43	81	40	33	82	51	31
ENSG00000224027	904	721	460	1085	1155	576	948	594
ENSG00000105941	841	1469	1866	663	1421	863	1420	1692
ENSG00000222022	131	253	94	131	108	90	164	191
ENSG00000241539	739	443	394	237	517	370	265	335
ENSG00000154577	16	8	11	10	10	7	10	15
ENSG00000187972	1117	720	950	404	924	347	478	418
ENSG00000126268	239	187	235	144	266	166	401	226
ENSG00000243721	169	327	369	251	625	274	491	538
ENSG00000160115	3544	2510	2353	3997	3372	3885	1529	1912
ENSG00000121486	4	1	1	2	0	0	0	1
ENSG00000111175	201	169	226	101	154	257	120	155
ENSG00000189341	14	13	30	16	22	13	7	14
ENSG00000118664	380	443	753	317	393	582	427	218
ENSG00000199205	6	14	7	8	13	9	10	10
ENSG00000107153	73	74	50	43	43	53	20	50
ENSG00000239497	155	192	202	171	255	204	238	193
ENSG00000223008	506	393	328	354	311	266	335	629
ENSG00000107500	257	201	218	170	156	169	149	118
ENSG00000155190	28	43	31	33	13	42	19	35
ENSG00000186150	58	90	93	41	94	51	89	62
ENSG00000228070	759	596	715	1041	794	827	640	1178
ENSG00000187364	234	200	166	174	201	104	138	143
ENSG00000225845	17	7	8	6	9	6	6	2
ENSG00000224945	606	526	896	720	320	425	541	889
ENSG00000219524	460	326	303	241	136	362	350	524
ENSG00000121760	1049	585	724	914	531	736	753	578
ENSG00000231057	101	66	80	68	89	116	74	46
ENSG00000141985	987	1020	686	746	769	653	726	541
ENSG00000149217	15	14	15	5	16	12	14	17
ENSG00000244054	509	349	296	413	544	410	339	566
ENSG00000164082	88	36	69	40	85	44	92	53
ENSG00000236603	599	506	637	727	1315	534	709	397
ENSG00000164909	1406	618	1269	1768	549	889	992	1232
ENSG00000230698	42	50	20	12	38	35	15	11
ENSG00000117631	113	142	107	115	91	180	144	100
ENSG00000206252	85	131	141	82	145	109	151	178
ENSG00000186468	1407	1381	836	943	927	1258	1435	2245
ENSG00000172363	486	337	496	255	567	1024	542	757
ENSG00000113559	15	11	7	6	11	31	14	16
ENSG00000128452	446	260	350	275	601	245	196	293
ENSG00000209119	490	361	693	562	1177	671	660	530
ENSG00000136510	8242	10003	15583	9821	9105	11627	14063	9503
ENSG00000100632	10	7	5	6	10	5	1	6
ENSG00000148117	27	63	53	46	13	73	62	32
ENSG00000208108	1645	1641	2130	1985	1793	1483	2099	3977
ENSG00000203732	8	17	13	8	8	11	11	6
ENSG00000185827	27	12	20	15	17	9	9	21
ENSG00000217011	307	383	464	361	241	406	312	409
ENSG00000169243	771	1223	679	901	1226	1291	814	991
ENSG00000241934	75	49	62	55	98	39	113	23
ENSG00000180950	232	410	243	492	446	624	260	256
ENSG00000137119	146	187	260	323	108	138	144	205
ENSG00000159031	3283	2863	4645	1797	1511	1845	3879	3944
ENSG00000178896	197	212	109	73	121	136	123	138
ENSG00000203076	1279	791	1635	1152	1065	1241	1217	801
ENSG00000163519	22	16	25	26	10	33	7	11
ENSG00000111849	80	101	164	168	130	105	117	106
ENSG00000193776	284	81	225	147	199	111	135	134
ENSG00000156461	906	1806	455	1533	1419	1054	1714	2164
ENSG00000176918	417	443	573	332	606	381	402	432
ENSG00000190669	39	54	32	32	17	38	33	46
ENSG00000243002	554	238	385	664	389	483	604	465
ENSG00000203640	728	407	785	396	1195	1215	512	585
ENSG00000109650	103	158	130	139	159	106	127	102
ENSG00000146779	99	52	94	146	70	79	85	127
ENSG00000132243	74	100	121	93	115	102	125	172
ENSG00000243057	1	5	4	3	2	3	4	5
ENSG00000189433	177	246	106	333	297	158	163	107
ENSG00000156986	200	338	217	203	280	342	356	137
ENSG00000150966	40	16	18	26	56	24	34	22
ENSG00000200520	590	454	1299	596	838	752	1300	468
ENSG00000129201	9	5	10	13	5	6	12	6
ENSG00000136600	26	53	48	53	50	50	56	28
ENSG00000247920	74	54	76	88	100	70	66	72
ENSG00000177537	7298	9006	5293	7228	8382	9281	5945	8179
ENSG00000243421	3	16	10	4	7	8	7	3
ENSG00000233521	571	463	828	360	295	349	499	206
ENSG00000185687	948	1321	1252	1337	1315	862	1681	647
ENSG00000187821	559	196	293	153	279	248	293	195
ENSG00000238417	3703	1255	1407	867	3418	2065	3806	1083
ENSG00000127263	34	14	12	31	20	17	15	16
ENSG00000170244	2	3	1	2	6	1	4	3
ENSG00000190884	471	829	669	736	461	370	890	700
ENSG00000113301	19	9	14	11	11	5	6	23
ENSG00000195392	64	70	81	77	97	48	102	49
ENSG00000142129	17	13	15	11	32	19	32	8
ENSG00000130462	1346	1044	1934	1369	1235	704	1774	1004
ENSG00000151041	1295	769	2015	788	1594	465	1307	1103
ENSG00000158743	37	21	36	15	29	27	34	30
ENSG00000244182	939	1250	1007	736	1090	1261	445	1349
ENSG00000105389	113	176	175	259	205	168	188	171
ENSG00000239622	338	175	212	106	175	154	183	195
ENSG00000121182	143	258	146	143	162	176	157	257
ENSG00000180118	99	73	57	151	82	29	166	152
ENSG00000175966	398	390	472	618	517	633	209	346
ENSG00000235283	251	440	167	180	304	133	224	295
ENSG00000157574	101	69	108	90	58	80	116	84
ENSG00000145384	1117	720	1300	824	1234	911	804	1497
ENSG00000122025	40	31	35	49	36	31	19	58
ENSG00000137716	146	200	213	200	315	231	219	342
ENSG00000200422	187	342	345	384	297	319	314	276
ENSG00000230057	1673	1727	3058	1891	3482	3731	2979	2453
ENSG00000157374	82	77	62	60	32	66	90	36
ENSG00000119319	4166	4822	4727	3124	3200	6691	4213	8535
ENSG00000186614	234	173	202	230	137	138	206	170
ENSG00000177930	121	64	121	56	37	103	44	120
ENSG00000100688	14	34	18	34	56	33	43	33
ENSG00000138167	534	395	607	452	357	337	358	592
ENSG00000152135	156	251	136	154	360	205	135	225
ENSG00000157920	8	17	28	18	12	11	17	9
ENSG00000233925	22	7	8	29	26	16	13	26
ENSG00000199128	58	63	37	54	34	42	51	43
ENSG00000168945	42	26	29	43	23	39	28	28
ENSG00000167179	866	1448	1546	876	1053	1456	1196	767
ENSG00000169999	3399	1932	2687	2561	2209	3087	1841	2309
ENSG00000196969	920	562	528	584	741	922	586	1327
ENSG00000184499	406	233	270	417	301	212	461	372
ENSG00000220523	70	114	85	82	88	42	56	46
ENSG00000233197	119	286	244	143	128	97	146	166
ENSG00000149050	916	935	1051	673	879	846	456	929
ENSG00000218954	5697	13164	5772	12227	7677	10044	6732	8213
ENSG00000238978	1229	941	783	785	1609	1334	881	936
ENSG00000139808	75	124	58	120	28	69	112	95
ENSG00000244172	109	212	208	133	115	129	190	108
ENSG00000209245	57	60	81	77	104	75	48	45
ENSG00000223393	30	20	43	24	22	19	40	47
ENSG00000144776	185	126	127	93	108	110	92	106
ENSG00000153485	241	284	169	174	276	155	90	201
ENSG00000116363	15205	5672	14034	8720	9282	6743	13818	4513
ENSG00000199373	163	194	167	119	122	159	133	82
ENSG00000214222	1580	992	3199	2209	1406	2480	2395	2854
ENSG00000143482	6167	5175	6555	7513	3836	2024	4514	4743
ENSG00000196938	155	287	137	143	199	112	126	121
ENSG00000114583	1832	3833	3679	3003	5782	2883	4016	3180
ENSG00000128827	672	603	1159	630	722	773	1285	341
ENSG00000142820	79	99	120	102	61	27	176	60
ENSG00000247015	421	158	345	207	451	263	741	363
ENSG00000154834	174	144	113	265	125	159	177	197
ENSG00000222696	116	114	116	115	140	57	157	85
ENSG00000217731	81	45	120	45	161	100	79	142
ENSG00000210623	179	236	112	166	181	126	144	188
ENSG00000170476	310	368	293	314	464	397	385	203
ENSG00000210817	38	24	19	15	15	30	31	14
ENSG00000156549	127	196	65	93	154	138	100	184
ENSG00000238121	7	5	8	11	11	10	9	13
ENSG00000215518	440	239	211	188	160	195	278	359
ENSG00000197302	1436	929	870	261	1339	619	1360	302
ENSG00000114356	103	243	138	95	179	134	226	152
ENSG00000100553	257	144	414	222	128	303	140	198
ENSG00000206549	583	448	382	620	692	613	407	511
ENSG00000173699	58	28	26	51	40	60	36	34
ENSG00000135083	46	107	68	99	145	172	46	60
ENSG00000246813	401	541	449	541	331	610	433	558
ENSG00000140924	2593	1188	2286	696	1884	1480	2399	1322
ENSG00000228203	359	571	347	303	356	223	170	235
ENSG00000186881	10758	17372	21117	14768	14507	17074	17988	19522
ENSG00000155162	80	185	128	118	146	136	138	97
ENSG00000102054	946	1184	331	1198	1344	779	1049	778
ENSG00000185876	1470	2234	3028	1934	1744	1698	2419	1668
ENSG00000229078	90	108	131	122	145	161	102	101
ENSG00000222097	32	22	29	44	31	30	20	35
ENSG00000123666	7	15	11	19	6	15	21	15
ENSG00000105490	211	161	237	100	215	194	214	341
ENSG00000214086	1522	1084	1411	1300	794	2360	1457	1288
ENSG00000129830	227	243	192	295	210	261	188	330
ENSG00000148218	263	177	231	290	201	207	174	150
ENSG00000154797	66	27	64	34	76	53	45	44
ENSG00000152280	343	421	411	331	622	545	487	388
ENSG00000109791	7	2	3	1	7	2	3	0
ENSG00000172784	196	254	271	271	232	261	256	378
ENSG00000184486	168	161	146	131	84	163	239	88
ENSG00000232792	12	10	4	9	5	9	17	9
ENSG00000180754	18521	5970	32750	14756	36013	11536	30329	9413
ENSG00000203598	9	9	8	12	11	10	6	10
ENSG00000177647	19	17	16	21	17	23	20	7
ENSG00000109221	17	5	19	12	24	23	21	13
ENSG00000185348	1883	2501	1902	1120	1392	1588	2179	773
ENSG00000244964	21	23	29	20	33	13	28	27
ENSG00000173023	506	552	406	504	434	564	778	372
ENSG00000209149	716	372	569	315	238	488	365	344
ENSG00000190340	286	304	212	152	342	181	234	246
ENSG00000237038	8	11	5	15	14	10	10	5
ENSG00000137117	19	31	48	46	31	67	38	43
ENSG00000213309	4227	2253	6283	8526	3455	2629	6029	3276
ENSG00000175197	12	14	9	22	6	9	17	8
ENSG00000145316	47	31	35	23	23	15	27	12
ENSG00000194182	137	139	124	64	72	81	73	147
ENSG00000130969	667	711	677	676	437	634	563	725
ENSG00000193107	455	216	807	216	464	173	408	233
ENSG00000248144	665	556	940	597	705	533	538	640
ENSG00000237618	15	14	21	42	32	19	29	23
ENSG00000200323	1496	904	995	1666	509	607	1052	1111
ENSG00000166685	247	272	228	233	477	440	467	301
ENSG00000226332	6	1	6	6	6	8	4	5
ENSG00000116542	4191	2235	3991	3365	2685	1469	2469	3656
ENSG00000166920	20495	15040	41417	16655	20471	19131	31298	11061
ENSG00000188895	27	19	33	38	24	54	27	39
ENSG00000107264	156	119	142	237	270	146	350	224
ENSG00000125903	1573	1936	1771	2799	2875	1879	1898	1618
ENSG00000129199	8	3	6	12	3	14	12	6
ENSG00000166564	2	0	2	2	6	2	3	2
ENSG00000163663	12	13	8	2	13	6	6	7
ENSG00000126345	51	19	69	53	29	69	48	49
ENSG00000175849	45	53	106	60	29	40	47	71
ENSG00000175028	408	294	584	269	268	147	372	479
ENSG00000124880	471	262	590	260	585	230	451	139
ENSG00000111445	15	10	13	11	12	17	7	17
ENSG00000122026	362	537	464	322	525	452	237	416
ENSG00000186024	7592	6642	4115	5803	3900	2227	9649	10227
ENSG00000224991	2324	1740	1838	3029	2460	886	2858	970
