gene_id	ctrl_1	treat_1
ENSG00000000103	2000	2100
ENSG00000000104	1200	1400
ENSG00000000105	2300	4100
ENSG00000000106	1900	3900
ENSG00000000107	2900	2800
ENSG00000000108	3100	1500
ENSG00000000109	2400	2300
ENSG00000000110	2900	2300
ENSG00000000111	2000	2600
ENSG00000000112	1000	1200
ENSG00000000113	2400	2100
ENSG00000000114	1700	1400
ENSG00000000115	3900	1900
ENSG00000000116	2000	2100
ENSG00000000117	1800	1200
ENSG00000000118	1800	2600
ENSG00000000119	3400	2700
ENSG00000000120	2500	3200
ENSG00000000121	2800	2700
ENSG00000000122	2600	3300
ENSG00000000123	1900	2100
ENSG00000000124	1800	1700
ENSG00000000125	2200	2800
ENSG00000000126	3100	1400
ENSG00000000127	5000	1600
ENSG00000000128	2800	3200
ENSG00000000129	2500	3900
ENSG00000000130	2600	1200
ENSG00000000131	3500	3800
ENSG00000000132	2500	3200
ENSG00000000133	2000	1400
ENSG00000000134	1900	2000
ENSG00000000135	1800	2000
ENSG00000000136	2400	2700
ENSG00000000137	3100	2200
ENSG00000000138	2800	2700
ENSG00000000139	1700	3100
ENSG00000000140	1800	2200
ENSG00000000141	1600	2100
ENSG00000000142	1900	4100
ENSG00000000143	1400	1700
ENSG00000000144	1200	2500
ENSG00000000145	2700	2200
ENSG00000000146	2600	3000
ENSG00000000147	3300	1000
ENSG00000000148	1500	3700
ENSG00000000149	2400	2500
ENSG00000000150	2100	2100
ENSG00000000151	2400	1800
ENSG00000000152	1300	1100
ENSG00000000153	3300	3200
ENSG00000000154	2000	2400
ENSG00000000155	1500	2500
ENSG00000000156	2000	2000
ENSG00000000157	4800	2400
ENSG00000000158	3800	2300
ENSG00000000159	2000	2300
ENSG00000000160	2400	1900
ENSG00000000161	3700	1600
ENSG00000000162	1500	2700
ENSG00000000163	2500	2000
ENSG00000000164	2300	3700
ENSG00000000165	2400	1200
ENSG00000000166	2800	1700
ENSG00000000167	2100	3900
ENSG00000000168	3200	1700
ENSG00000000169	3300	2500
ENSG00000000170	3000	1900
ENSG00000000171	1400	3900
ENSG00000000172	3700	3400
ENSG00000000173	2200	1700
ENSG00000000174	2600	1600
ENSG00000000175	2100	2000
ENSG00000000176	1800	1700
ENSG00000000177	2300	1900
ENSG00000000178	2000	2800
ENSG00000000179	2600	2000
ENSG00000000180	2000	2500
ENSG00000000181	2200	3100
ENSG00000000182	2200	2700
ENSG00000000183	2300	2700
ENSG00000000184	1900	2200
ENSG00000000185	3700	900
ENSG00000000186	3100	2000
ENSG00000000187	2600	3000
ENSG00000000188	3200	2600
ENSG00000000189	1700	2300
ENSG00000000190	2600	2500
ENSG00000000191	2900	1100
ENSG00000000192	1700	2400
ENSG00000000193	2000	1100
ENSG00000000194	2400	3400
ENSG00000000195	2300	5800
ENSG00000000196	2600	1700
ENSG00000000197	1900	3700
ENSG00000000198	3900	2100
ENSG00000000199	2500	3700
ENSG00000000200	3100	1800
ENSG00000000201	1600	2200
ENSG00000000202	1900	2000
ENSG00000000203	3900	1100
ENSG00000000204	2600	2200
ENSG00000000205	1700	2700
ENSG00000000206	3600	2400
ENSG00000000207	2800	2200
ENSG00000000208	1100	1500
ENSG00000000209	1900	2100
ENSG00000000210	3700	1100
ENSG00000000211	2000	2700
ENSG00000000212	2000	4300
ENSG00000000213	3600	2600
ENSG00000000214	2600	1300
ENSG00000000215	3200	1500
ENSG00000000216	1900	2200
ENSG00000000217	2500	1400
ENSG00000000218	2800	1800
ENSG00000000219	2400	2700
ENSG00000000220	3700	2200
ENSG00000000221	2200	2300
ENSG00000000222	1500	2200
ENSG00000000223	1700	1700
ENSG00000000224	3100	3300
ENSG00000000225	1800	2100
ENSG00000000226	1400	2200
ENSG00000000227	1500	2700
ENSG00000000228	400	2900
ENSG00000000229	4000	4200
ENSG00000000230	2600	2000
ENSG00000000231	3500	2100
ENSG00000000232	3600	1800
ENSG00000000233	1200	2400
ENSG00000000234	2100	3000
ENSG00000000235	2000	3200
ENSG00000000236	1900	2100
ENSG00000000237	2700	2100
ENSG00000000238	2500	3100
ENSG00000000239	4900	1400
ENSG00000000240	3600	2100
ENSG00000000241	3700	3400
ENSG00000000242	2800	1400
ENSG00000000243	1200	1800
ENSG00000000244	3900	1300
ENSG00000000245	2400	3200
ENSG00000000246	2900	3700
ENSG00000000247	2800	2200
ENSG00000000248	2100	1900
ENSG00000000249	3600	1400
ENSG00000000250	3000	1600
ENSG00000000251	1500	2900
ENSG00000000252	1500	3200
ENSG00000000253	2600	1000
ENSG00000000254	2100	2700
ENSG00000000255	4200	2600
ENSG00000000256	2000	4500
ENSG00000000257	2700	1400
ENSG00000000258	1900	2900
ENSG00000000259	1500	1900
ENSG00000000260	3300	2100
ENSG00000000261	2500	2400
ENSG00000000262	2100	2100
ENSG00000000263	1600	2800
ENSG00000000264	3000	1800
ENSG00000000265	3100	2700
ENSG00000000266	2000	3200
ENSG00000000267	2200	3000
ENSG00000000268	1900	1500
ENSG00000000269	1700	1800
ENSG00000000270	2900	1500
ENSG00000000271	1500	2700
ENSG00000000272	2100	1600
ENSG00000000273	1700	4300
ENSG00000000274	1600	1600
ENSG00000000275	2400	2900
ENSG00000000276	2600	2800
ENSG00000000277	600	3300
ENSG00000000278	2400	2600
ENSG00000000279	1800	2600
ENSG00000000280	3400	1900
ENSG00000000281	3600	2500
ENSG00000000282	2100	1600
ENSG00000000283	3200	3100
ENSG00000000284	1500	1000
ENSG00000000285	3600	1800
ENSG00000000286	2100	3600
ENSG00000000287	2500	2300
ENSG00000000288	2300	2600
ENSG00000000289	2500	2800
ENSG00000000290	2200	2800
ENSG00000000291	3800	3000
ENSG00000000292	2600	2800
ENSG00000000293	900	1600
ENSG00000000294	2900	1700
ENSG00000000295	2000	1700
ENSG00000000296	2600	2800
ENSG00000000297	5200	1100
ENSG00000000298	2300	1300
ENSG00000000299	2900	1100
ENSG00000000300	1500	1700
ENSG00000000301	1500	1300
ENSG00000000302	2000	2700
ENSG00000000303	1700	2100
ENSG00000000304	2300	2800
ENSG00000000305	1900	1700
ENSG00000000306	1600	1000
ENSG00000000307	1300	3700
ENSG00000000308	2400	2800
ENSG00000000309	2400	2000
ENSG00000000310	2100	1400
ENSG00000000311	3700	1500
ENSG00000000312	1600	2900
ENSG00000000313	1500	3100
ENSG00000000314	700	2000
ENSG00000000315	1900	2000
ENSG00000000316	600	1900
ENSG00000000317	2200	1700
ENSG00000000318	1400	2800
ENSG00000000319	3700	1700
ENSG00000000320	2900	1800
ENSG00000000321	2500	1600
ENSG00000000322	1500	2100
ENSG00000000323	1700	3400
ENSG00000000324	2100	1700
ENSG00000000325	2500	1800
ENSG00000000326	2500	2400
ENSG00000000327	1500	2300
ENSG00000000328	3400	1900
ENSG00000000329	3900	1500
ENSG00000000330	2500	3100
ENSG00000000331	3500	2100
ENSG00000000332	2200	1500
ENSG00000000333	2800	2900
ENSG00000000334	3400	1700
ENSG00000000335	1400	900
ENSG00000000336	1400	1500
ENSG00000000337	3200	2100
ENSG00000000338	2600	2700
ENSG00000000339	2400	1800
ENSG00000000340	1900	2700
ENSG00000000341	1500	1900
ENSG00000000342	800	3000
ENSG00000000343	1900	2900
ENSG00000000344	1400	3200
ENSG00000000345	1900	1900
ENSG00000000346	2400	2600
ENSG00000000347	1300	1500
ENSG00000000348	2000	1800
ENSG00000000349	2000	1700
ENSG00000000350	2600	2100
ENSG00000000351	1200	2600
ENSG00000000352	2300	3500
ENSG00000000353	1700	2200
ENSG00000000354	700	3000
ENSG00000000355	3000	2700
ENSG00000000356	3100	1100
ENSG00000000357	3000	1300
ENSG00000000358	3300	2000
ENSG00000000359	2400	3300
ENSG00000000360	2200	2300
ENSG00000000361	600	2800
ENSG00000000362	3000	1900
ENSG00000000363	2800	800
ENSG00000000364	2600	1400
ENSG00000000365	4000	2800
ENSG00000000366	1900	1400
ENSG00000000367	2900	2200
ENSG00000000368	2500	1900
ENSG00000000369	500	2800
ENSG00000000370	2500	1200
ENSG00000000371	2300	2000
ENSG00000000372	3000	2200
ENSG00000000373	2700	1500
ENSG00000000374	2100	2900
ENSG00000000375	1700	2900
ENSG00000000376	1300	1500
ENSG00000000377	2200	900
ENSG00000000378	1300	1800
ENSG00000000379	2100	4100
ENSG00000000380	3000	1400
ENSG00000000381	2000	3000
ENSG00000000382	1800	1400
ENSG00000000383	1300	2400
ENSG00000000384	3100	2400
ENSG00000000385	900	2700
ENSG00000000386	3400	1800
ENSG00000000387	2800	2500
ENSG00000000388	1900	3000
ENSG00000000389	1400	2700
ENSG00000000390	2200	1200
ENSG00000000391	2400	3700
ENSG00000000392	2400	1400
ENSG00000000393	1900	1900
ENSG00000000394	2500	2000
ENSG00000000395	2200	4000
ENSG00000000396	2500	2300
ENSG00000000397	1400	2500
ENSG00000000398	2200	2200
ENSG00000000399	1300	2300
ENSG00000000400	3000	1000
ENSG00000000401	2300	3300
ENSG00000000402	2000	2700
ENSG00000000403	2900	2300
ENSG00000000404	2600	3600
ENSG00000000405	2300	3300
ENSG00000000406	1400	2200
ENSG00000000407	1800	2800
ENSG00000000408	3200	2000
ENSG00000000409	1900	2700
ENSG00000000410	2000	1400
ENSG00000000411	2600	1500
ENSG00000000412	1400	4300
ENSG00000000413	1700	2700
ENSG00000000414	2400	1700
ENSG00000000415	700	2600
ENSG00000000416	800	3700
ENSG00000000417	1100	1300
ENSG00000000418	900	1900
ENSG00000000419	2500	3400
ENSG00000000420	1400	2700
ENSG00000000421	2500	2000
ENSG00000000422	2600	1500
ENSG00000000423	1400	2000
ENSG00000000424	1700	1600
ENSG00000000425	1500	2300
ENSG00000000426	2800	2900
ENSG00000000427	3800	1400
ENSG00000000428	3300	2900
ENSG00000000429	3600	2000
ENSG00000000430	1700	2700
ENSG00000000431	2500	2600
ENSG00000000432	2000	900
ENSG00000000433	3500	5100
ENSG00000000434	2000	3800
ENSG00000000435	3000	1200
ENSG00000000436	3900	1900
ENSG00000000437	4400	1400
ENSG00000000438	1100	4000
ENSG00000000439	2200	900
ENSG00000000440	3100	1600
ENSG00000000441	2500	2000
ENSG00000000442	2800	1500
ENSG00000000443	3200	1400
ENSG00000000444	2300	2000
ENSG00000000445	2900	1900
ENSG00000000446	3000	2100
ENSG00000000447	1900	1000
ENSG00000000448	2200	2000
ENSG00000000449	2000	3200
ENSG00000000450	2100	1100
ENSG00000000451	3100	1800
ENSG00000000452	1900	1500
ENSG00000000453	3300	2000
ENSG00000000454	1300	2100
ENSG00000000455	1200	3100
ENSG00000000456	3800	2500
ENSG00000000457	1400	2700
ENSG00000000458	3600	1500
ENSG00000000459	2400	1800
ENSG00000000460	2200	1500
ENSG00000000461	2200	4600
ENSG00000000462	1800	1500
ENSG00000000463	2800	1700
ENSG00000000464	2100	1500
ENSG00000000465	1600	3500
ENSG00000000466	1000	3200
ENSG00000000467	1300	3600
ENSG00000000468	1700	1100
ENSG00000000469	800	2800
ENSG00000000470	2700	2200
ENSG00000000471	2200	3100
ENSG00000000472	2700	2700
ENSG00000000473	2500	2300
ENSG00000000474	1700	2000
ENSG00000000475	2000	2900
ENSG00000000476	1400	3500
ENSG00000000477	4100	2800
ENSG00000000478	2800	700
ENSG00000000479	2100	2000
ENSG00000000480	1800	3700
ENSG00000000481	3500	2200
ENSG00000000482	2100	1300
ENSG00000000483	1900	3800
ENSG00000000484	2000	900
ENSG00000000485	4000	3600
ENSG00000000486	2500	2000
ENSG00000000487	1900	1600
ENSG00000000488	1800	1600
ENSG00000000489	2700	3300
ENSG00000000490	1800	3500
ENSG00000000491	2700	1400
ENSG00000000492	2300	2100
ENSG00000000493	2500	3000
ENSG00000000494	4300	3500
ENSG00000000495	2700	2500
ENSG00000000496	1200	2400
ENSG00000000497	3800	2300
ENSG00000000498	2500	2000
ENSG00000000499	2100	2400
ENSG00000000500	1600	1600
