	SRR6200001	SRR6200002	SRR6200003	SRR6200004	SRR6200005	SRR6200006	SRR6200007	SRR6200008	SRR6200009	SRR6200010	SRR6200011	SRR6200012
ENSG00000133462	205	345	266	321	194	288	226	324	422	463	293	184
ENSG00000140661	9	12	5	0	9	7	13	9	5	11	10	12
ENSG00000190484	7	7	8	8	3	13	7	4	15	6	9	14
ENSG00000130577	187	304	194	284	217	127	230	191	309	178	136	146
ENSG00000231489	968	662	1241	721	1215	1036	1260	1470	1232	826	1053	785
ENSG00000122591	87	60	36	61	231	229	101	170	178	122	143	62
ENSG00000182563	1891	2760	1744	2025	3186	1999	1265	3428	1882	3735	2241	1216
ENSG00000248078	36	54	33	58	25	29	50	29	32	40	41	44
ENSG00000161076	4302	5378	4810	4537	6116	3968	4418	5275	4627	4302	4894	4729
ENSG00000107391	138	138	188	167	77	241	196	180	292	87	126	148
ENSG00000135524	185	235	279	203	424	227	313	239	254	162	344	219
ENSG00000108539	493	753	290	467	2675	841	1728	1729	1233	1580	564	529
ENSG00000187194	198	185	250	277	184	410	318	426	234	620	365	554
ENSG00000105315	8256	6049	6246	7134	7568	7249	3000	7608	7177	3644	7574	9837
ENSG00000207872	9774	9071	13727	36315	19521	58424	42158	55513	33407	23301	16070	19391
ENSG00000112357	316	787	472	311	770	446	606	562	470	759	417	388
ENSG00000203466	80	103	117	72	116	49	124	173	86	63	131	181
ENSG00000128823	24	23	16	8	8	17	16	6	21	12	20	21
ENSG00000154933	46	40	41	37	34	28	50	51	48	34	39	53
ENSG00000156741	138	205	233	87	140	218	201	163	231	148	183	73
ENSG00000166993	103	154	94	126	93	118	133	95	125	81	200	152
ENSG00000123036	104	158	192	216	108	147	144	104	121	221	200	184
ENSG00000187986	114	230	275	114	116	162	240	251	167	151	209	227
ENSG00000216299	358	519	388	346	582	362	540	510	372	565	350	425
ENSG00000117763	11	9	14	33	14	5	11	13	10	13	8	10
ENSG00000157301	16	27	23	15	19	23	25	23	29	25	15	13
ENSG00000221613	1774	2220	2060	2164	1026	1831	1571	2046	1802	1075	1575	1240
ENSG00000187559	1296	948	818	381	962	939	1322	374	1335	729	826	853
ENSG00000223345	35	44	46	49	40	66	38	44	75	50	60	76
ENSG00000179664	2350	2900	2232	4433	2329	1413	3106	2239	2515	2200	1311	1954
ENSG00000126984	57	30	40	36	31	43	20	55	53	33	67	32
ENSG00000144787	93	98	61	107	125	93	102	138	70	143	108	99
ENSG00000228622	7	4	3	0	4	2	3	4	1	6	4	1
ENSG00000173398	1050	659	1357	1023	370	1347	774	556	1449	857	381	687
ENSG00000149741	169	184	91	179	164	149	220	212	174	112	124	154
ENSG00000130857	1573	1402	1983	1732	1103	1240	2213	1170	689	1170	3072	1024
ENSG00000136599	450	710	586	575	557	486	621	588	1104	572	459	657
ENSG00000150814	244	139	188	123	192	180	211	306	180	257	177	115
ENSG00000204450	233	138	172	335	124	346	208	365	235	244	358	277
ENSG00000140966	1290	1112	1886	1948	563	1319	2395	1503	2662	1405	2157	1824
ENSG00000101200	176	217	132	114	103	97	81	158	184	117	151	55
ENSG00000136630	106	187	100	168	102	92	145	124	92	114	173	150
ENSG00000243304	172	202	376	153	244	173	166	201	145	249	122	218
ENSG00000226688	1400	807	547	944	771	1426	428	965	690	937	908	830
ENSG00000243211	896	851	668	875	789	943	1664	1416	1339	1559	1196	953
ENSG00000203981	4295	6101	5190	9398	4210	7581	7055	9392	6380	7270	4448	5459
ENSG00000211839	163	96	147	81	147	105	116	91	99	146	255	117
ENSG00000167535	1445	1150	1280	2052	2960	2114	2860	2524	2437	1933	3326	2528
ENSG00000137304	52	38	51	43	55	46	47	96	29	41	34	70
ENSG00000122148	490	405	513	732	552	604	402	872	555	625	406	913
ENSG00000213133	275	338	187	198	129	383	128	352	184	255	317	142
ENSG00000175752	4074	9932	3261	5596	6688	5019	5665	7185	2096	6056	3842	3103
ENSG00000245607	515	429	605	735	769	614	407	455	568	513	827	821
ENSG00000167601	60	42	93	41	49	68	55	165	72	67	84	116
ENSG00000246738	490	328	631	550	363	351	439	522	540	566	382	995
ENSG00000172280	388	433	318	277	380	326	339	438	461	211	329	274
ENSG00000156817	72	101	99	143	360	298	211	454	184	172	148	124
ENSG00000216908	66	114	94	141	102	89	115	94	117	147	89	77
ENSG00000118523	30	32	44	34	20	32	15	28	57	42	20	41
ENSG00000220134	44747	38528	68099	39885	39870	37716	49941	51284	51205	50706	48138	43288
ENSG00000200282	307	124	305	168	272	202	168	313	228	180	281	255
ENSG00000219033	968	901	1896	1377	1364	1547	813	1809	640	980	1361	1275
ENSG00000135251	20	11	15	18	5	13	10	16	8	17	15	14
ENSG00000107111	8	15	21	26	24	17	23	23	34	32	15	11
ENSG00000120647	150	170	208	137	151	162	144	127	152	181	117	78
ENSG00000198457	123	86	193	136	148	105	160	178	164	132	114	173
ENSG00000128031	772	981	621	660	558	965	796	910	717	794	489	682
ENSG00000178592	12	17	34	34	43	21	34	17	11	14	36	24
ENSG00000121454	616	321	476	834	441	548	471	582	523	693	722	606
ENSG00000120573	3347	2594	3129	5907	3140	4118	5089	3557	1421	3023	5002	2229
ENSG00000167669	58	18	28	19	30	35	22	23	13	22	56	35
ENSG00000211402	1028	1298	1206	864	1168	724	1516	1561	1344	609	1751	1076
ENSG00000198263	16	18	36	16	24	39	25	32	24	24	12	18
ENSG00000145707	530	467	431	397	406	254	380	246	455	368	321	213
ENSG00000121744	313	398	206	254	302	240	239	314	517	287	368	459
ENSG00000119687	5798	2207	2378	10532	4559	4663	4430	7573	6688	4422	5332	6306
ENSG00000169102	96	43	53	29	34	43	59	24	60	46	54	44
ENSG00000243038	350	349	205	119	185	296	197	387	182	272	421	141
ENSG00000159587	1722	1073	1647	1781	1608	1846	919	1648	1468	2022	1091	1461
ENSG00000244757	11	20	21	15	19	14	11	7	11	24	12	15
ENSG00000159938	147	90	170	113	120	99	146	147	135	326	166	187
ENSG00000178972	23	26	14	30	29	44	23	23	51	33	39	29
ENSG00000169575	38	46	47	50	28	51	33	16	55	47	61	49
ENSG00000220418	546	588	995	436	946	1049	1115	786	787	676	674	650
ENSG00000143623	915	861	680	829	608	818	374	726	831	574	406	723
ENSG00000196982	30057	39897	25636	36552	51993	48694	32951	29289	28090	21168	35409	25504
ENSG00000244210	3572	5746	2498	1746	3021	1700	4870	1882	3266	2988	3151	3219
ENSG00000181944	2555	1176	1661	2802	3569	3679	2420	2516	2339	1777	2043	2390
ENSG00000194820	155	105	93	97	564	574	354	561	211	183	168	244
ENSG00000192783	73	130	56	104	104	88	67	82	92	132	158	87
ENSG00000110111	214	392	248	157	158	242	377	307	153	202	187	303
ENSG00000123734	0	0	2	1	2	3	3	4	1	6	2	0
ENSG00000175980	8301	7396	4712	4426	3995	1149	5462	6251	5572	6349	5660	6102
ENSG00000240003	33	29	76	85	211	124	190	165	83	126	95	83
ENSG00000101857	44	15	35	9	18	16	12	27	30	27	18	41
ENSG00000122082	69	73	138	43	95	56	80	35	73	57	58	72
ENSG00000188229	745	1408	814	927	1193	1287	778	959	825	694	1107	730
ENSG00000217604	1832	2002	1552	1122	2456	2718	2055	970	1720	2333	2007	2587
ENSG00000222160	79	75	78	92	76	44	83	66	83	81	63	49
ENSG00000160215	529	262	459	545	718	339	347	429	213	280	292	657
ENSG00000109484	169	167	141	165	139	143	165	150	145	185	233	315
ENSG00000221601	14	16	21	18	25	25	28	39	14	18	36	11
ENSG00000205987	183	289	191	351	299	220	247	399	231	127	382	194
ENSG00000240547	143	311	156	161	150	94	210	155	231	192	114	241
ENSG00000212978	9	5	9	12	1	4	6	14	12	7	17	4
ENSG00000173268	1477	2327	2286	2056	1675	917	1992	1085	1997	1992	1246	2046
ENSG00000122009	7	5	6	11	38	20	56	14	23	12	13	10
ENSG00000102483	304	139	268	191	419	185	310	208	220	162	150	326
ENSG00000106123	25	22	14	33	18	30	26	24	19	13	21	20
ENSG00000157707	55	23	36	39	21	14	40	28	34	20	22	35
ENSG00000236149	47	40	59	35	43	30	40	28	52	30	30	40
ENSG00000183814	895	507	650	569	596	985	550	924	478	592	576	539
ENSG00000104736	22	12	12	11	15	10	19	8	13	21	13	16
ENSG00000116153	85	100	95	72	142	102	85	90	166	169	143	167
ENSG00000176820	6730	2724	4703	3253	7333	3235	4355	4397	2747	2736	2120	4695
ENSG00000127554	32	30	25	56	32	29	30	40	43	38	32	42
ENSG00000247865	158	192	74	73	135	169	226	120	113	104	145	134
ENSG00000100876	872	769	518	466	940	1047	832	428	603	230	638	1073
ENSG00000230559	50	35	60	45	254	174	214	354	117	81	100	99
ENSG00000227993	342	544	296	432	687	271	278	634	253	260	276	453
ENSG00000149983	58	36	45	63	57	67	41	45	44	66	53	37
ENSG00000233404	935	819	992	522	495	647	835	439	666	393	813	534
ENSG00000147512	180	111	121	166	162	148	134	226	186	340	123	147
ENSG00000244939	24	16	28	12	24	27	32	20	28	25	31	30
ENSG00000128559	2727	1720	3492	1651	5593	2402	2089	2602	2320	2825	1757	3097
ENSG00000195294	99	82	198	138	192	116	125	169	187	169	87	105
ENSG00000235847	114	145	71	108	59	89	78	84	112	129	148	100
ENSG00000145637	27	27	12	25	39	19	22	21	27	17	22	47
ENSG00000152802	64	48	99	48	58	89	56	101	76	67	65	72
ENSG00000138291	127	127	142	150	74	100	97	128	274	135	154	91
ENSG00000101153	207	194	173	369	202	198	254	400	120	155	301	120
ENSG00000220248	2575	1004	1045	1279	2920	1133	1925	1077	2574	2418	890	2046
ENSG00000118572	16	9	10	21	13	11	5	20	15	10	15	10
ENSG00000222022	61	63	65	49	100	127	126	55	74	55	106	105
ENSG00000154577	1371	2484	1822	1648	2759	2649	2064	1152	1653	1229	1830	2933
ENSG00000234897	293	216	199	251	612	980	841	832	474	347	630	769
ENSG00000139141	693	411	295	269	519	549	106	447	335	259	556	401
ENSG00000132487	4153	2725	4331	1557	3747	2268	6328	2579	4421	4165	5365	4249
ENSG00000188318	553	388	374	338	456	291	358	385	381	582	236	180
ENSG00000121486	271	320	331	328	454	379	346	372	404	385	544	511
ENSG00000200285	160	111	156	106	181	98	120	215	145	120	181	156
ENSG00000135014	3009	3746	3643	3076	5959	4818	4315	4752	3232	6661	4009	4469
ENSG00000135762	2801	1194	1229	966	1799	1542	1113	873	1270	1316	1007	1400
ENSG00000203164	53	52	55	40	55	48	23	19	22	52	38	48
ENSG00000186150	568	380	607	479	953	1790	2100	1843	985	581	1341	1335
ENSG00000210649	14	35	40	16	83	68	69	45	52	27	27	31
ENSG00000228070	815	1177	1692	1308	1089	1861	996	934	1007	1421	2133	1397
ENSG00000203642	393	510	873	688	939	741	563	404	696	624	528	524
ENSG00000175114	104	68	134	122	84	100	99	49	162	92	122	158
ENSG00000216018	81	74	67	78	51	34	51	59	59	58	97	152
ENSG00000155875	5	6	5	8	23	23	14	12	6	7	13	7
ENSG00000126238	665	727	799	957	1240	1150	911	627	570	792	537	900
ENSG00000231057	125	95	256	90	142	73	107	130	228	100	139	94
ENSG00000244054	52	69	72	97	113	140	61	58	119	177	127	72
ENSG00000199813	627	663	501	745	820	479	617	902	543	1247	825	466
ENSG00000107170	45	32	33	48	40	15	39	36	33	56	50	38
ENSG00000140304	38	74	25	73	31	39	44	71	51	49	55	42
ENSG00000144370	60	19	54	34	30	26	8	73	42	53	44	46
ENSG00000199123	12	18	6	9	59	84	65	51	16	46	27	17
ENSG00000213585	24007	18789	21071	17795	17018	21990	12712	14883	19071	18615	33458	17683
ENSG00000112710	142	193	121	88	521	447	481	523	264	264	136	155
ENSG00000202676	25	49	88	67	113	85	97	54	118	58	117	83
ENSG00000142303	1213	941	750	607	1056	722	1529	903	743	1168	682	1248
ENSG00000246167	1	1	1	0	1	1	3	0	1	0	2	1
ENSG00000149929	258	138	149	115	126	223	104	112	167	111	255	172
ENSG00000178237	138	175	122	201	129	237	203	190	71	120	103	112
ENSG00000178379	25	24	11	34	21	16	8	27	29	40	34	19
ENSG00000225493	496	382	258	468	369	429	663	427	246	341	489	389
ENSG00000100632	1	4	1	1	2	6	2	2	2	1	3	0
ENSG00000179489	153	261	220	107	127	188	147	165	149	150	155	170
ENSG00000117981	694	1088	563	866	776	702	685	917	537	1377	751	835
ENSG00000173537	1	0	1	2	5	0	0	3	1	2	4	1
ENSG00000179540	8	7	5	3	10	9	6	9	7	4	3	9
ENSG00000209139	90	55	109	113	144	99	87	131	49	136	82	98
ENSG00000152695	76	90	149	119	203	173	97	91	169	124	130	144
ENSG00000127772	24	32	28	51	38	56	36	18	65	58	37	46
ENSG00000133351	226	266	416	361	313	280	264	202	349	312	188	328
ENSG00000173842	127	203	189	190	250	235	219	160	285	281	225	184
ENSG00000197540	10	10	3	5	3	10	9	21	5	12	15	10
ENSG00000180950	77	134	82	103	50	91	79	124	137	71	83	142
ENSG00000102480	12	14	12	10	13	12	10	12	19	9	10	5
ENSG00000129407	3	3	1	2	1	0	1	0	2	0	0	1
ENSG00000241529	0	0	0	1	1	0	1	1	0	2	0	1
ENSG00000242275	883	784	1010	1241	519	678	1348	473	652	586	331	1047
ENSG00000247723	93	98	66	122	80	128	140	76	77	36	119	80
ENSG00000152450	5355	8364	5210	8842	5099	4575	5624	4329	5444	6384	3612	2458
ENSG00000134515	5	6	9	5	4	8	4	2	9	3	7	6
ENSG00000222699	48	57	80	72	44	56	41	60	93	81	80	52
ENSG00000131821	300	248	230	235	160	181	381	192	401	264	287	207
