gene_id	SRR6200001	SRR6200002	SRR6200003	SRR6200004	SRR6200005	SRR6200006	SRR6200007	SRR6200008	SRR6200009	SRR6200010	SRR6200011	SRR6200012
ENSG00000010047	2118	2648	2008	2351	5695	9494	11006	7346	4884	1949	4321	2883
ENSG00000010048	114	51	54	127	84	69	53	58	65	69	74	58
ENSG00000010049	187	232	137	210	268	65	170	161	415	216	184	175
ENSG00000010050	591	1080	924	541	509	442	619	836	671	788	666	787
ENSG00000010051	231	501	876	729	1318	2987	893	2336	1285	2191	884	681
ENSG00000010052	938	1699	1345	1363	2317	1679	1023	944	1476	1073	1443	2069
ENSG00000010053	169	342	209	458	1864	689	1082	930	464	332	418	296
ENSG00000010054	200	98	233	200	509	590	475	678	243	144	335	205
ENSG00000010055	142	335	324	225	484	186	219	529	233	270	341	216
ENSG00000010056	23	20	9	30	14	9	21	25	11	28	45	50
ENSG00000010057	1336	819	1385	1894	1328	1566	2004	2135	718	2230	1606	1407
ENSG00000010058	43	50	50	54	50	38	32	45	34	30	65	20
ENSG00000010059	8	14	9	14	8	8	20	14	6	17	9	9
ENSG00000010060	11552	6718	11141	4493	12125	6120	11333	11207	6072	6575	12234	7272
ENSG00000010061	68	140	173	149	103	142	86	154	68	139	151	62
ENSG00000010062	5	14	13	16	17	16	26	18	22	21	11	6
ENSG00000010063	9083	5815	6748	3259	5059	8863	5072	5992	6648	11072	5064	4088
ENSG00000010064	52	63	42	104	82	94	77	70	42	138	61	45
ENSG00000010065	1077	1255	1290	1131	1968	1864	1857	820	1004	1272	1698	616
ENSG00000010066	20	25	33	27	35	25	38	65	37	22	46	28
ENSG00000010067	56	129	118	80	126	36	132	123	56	95	49	181
ENSG00000010068	7	11	4	2	7	10	6	3	6	4	5	8
ENSG00000010069	7	0	4	7	3	2	3	1	3	3	1	0
ENSG00000010070	17	12	16	17	8	20	27	42	10	41	21	24
ENSG00000010071	63	162	194	75	105	176	81	152	105	168	48	88
ENSG00000010072	793	510	832	1082	506	693	1307	818	807	1004	764	584
ENSG00000010073	18057	15045	25942	28132	24403	19661	12974	17496	19337	15829	17416	13462
ENSG00000010074	20	8	22	22	13	18	7	19	12	21	27	19
ENSG00000010075	1542	1009	1194	1070	1057	1217	661	835	1231	1784	1256	1295
ENSG00000010076	97	27	50	23	56	49	56	37	35	78	16	57
ENSG00000010077	82	165	112	73	113	60	132	133	155	100	86	111
ENSG00000010078	7	8	6	10	8	4	10	3	3	5	13	13
ENSG00000010079	2	9	10	6	9	14	2	11	6	2	4	6
ENSG00000010080	26	37	29	34	30	39	28	19	37	36	46	31
ENSG00000010081	6	16	13	3	3	15	7	18	14	13	14	10
ENSG00000010082	194	171	192	219	185	189	96	60	194	156	139	109
ENSG00000010083	31	25	44	20	60	62	46	24	38	32	46	40
ENSG00000010084	1649	1523	1808	1589	2001	2304	2193	2031	1424	2299	2741	2058
ENSG00000010085	245	144	164	219	153	283	170	300	212	126	311	102
ENSG00000010086	163	183	220	166	247	147	340	125	148	292	103	229
ENSG00000010087	1167	2150	819	2722	1505	1047	1529	1639	1033	1240	1441	1118
ENSG00000010088	373	549	284	239	382	282	410	355	441	378	426	469
ENSG00000010089	75	130	73	87	163	122	260	116	193	130	118	121
ENSG00000010090	149	109	65	88	237	186	74	143	68	80	65	123
ENSG00000010091	160	108	32	156	319	724	284	570	252	261	353	290
ENSG00000010092	1039	888	871	1246	1193	937	1206	706	891	1105	1307	2216
ENSG00000010093	669	558	405	802	990	363	1258	658	665	946	581	694
ENSG00000010094	385	252	238	325	920	1448	1432	597	599	692	960	265
ENSG00000010095	1059	448	433	759	518	847	590	959	513	956	602	713
ENSG00000010096	36	68	34	38	95	20	67	67	63	88	26	25
ENSG00000010097	538	419	297	282	249	278	315	497	388	342	310	429
ENSG00000010098	5	12	8	13	38	44	13	35	18	12	15	13
ENSG00000010099	3083	2631	1559	2120	2011	1923	2256	2223	1263	2526	2399	3195
ENSG00000010100	148	264	345	137	148	143	131	162	197	131	142	100
ENSG00000010101	161	127	167	304	163	248	156	214	164	412	137	137
ENSG00000010102	372	449	396	287	431	271	411	657	316	606	609	590
ENSG00000010103	94	137	92	83	170	151	179	198	115	85	107	95
ENSG00000010104	14	83	86	131	71	42	78	37	108	53	99	94
ENSG00000010105	2838	1672	1499	1030	8566	7051	5811	3470	4541	1892	3655	3946
ENSG00000010106	283	191	304	147	137	206	229	216	317	116	265	180
ENSG00000010107	30	27	16	11	41	29	26	21	18	19	25	16
ENSG00000010108	304	610	378	526	273	163	467	178	374	236	350	325
ENSG00000010109	5	8	1	3	41	22	18	14	10	22	14	15
ENSG00000010110	3502	3087	4365	3440	5118	5014	3937	4728	7401	2733	4966	3194
ENSG00000010111	180	126	88	63	72	135	42	133	117	62	83	155
ENSG00000010112	182	185	58	165	116	116	173	95	140	186	137	223
ENSG00000010113	11652	8174	13806	9133	9356	15546	12936	9423	15850	15819	19504	17843
ENSG00000010114	9206	11112	9535	12652	5800	8347	16200	10034	7357	10968	6030	16242
ENSG00000010115	217	151	95	215	272	113	169	173	98	192	198	180
ENSG00000010116	244	420	464	520	515	489	293	450	361	278	485	401
ENSG00000010117	1084	1216	838	1723	871	2182	1051	1320	1177	727	1542	1207
ENSG00000010118	5882	5333	5318	2639	3076	4189	3725	3971	2928	4893	3154	2218
ENSG00000010119	123	118	53	145	113	94	106	172	107	98	163	145
ENSG00000010120	218	257	149	168	179	132	221	178	182	92	244	189
ENSG00000010121	1750	1125	1994	1717	2026	2535	1698	1546	1925	1132	1825	1400
ENSG00000010122	204	284	481	292	287	148	243	140	330	130	291	214
ENSG00000010123	784	734	759	691	652	753	805	740	504	636	477	941
ENSG00000010124	483	747	331	611	645	403	213	440	391	164	239	447
ENSG00000010125	16	9	24	14	12	16	9	13	14	17	17	17
ENSG00000010126	30	40	36	49	16	22	15	21	13	32	26	29
ENSG00000010127	0	2	0	1	0	0	1	1	0	1	0	3
ENSG00000010128	85	117	94	96	97	127	49	83	103	95	34	83
ENSG00000010129	1370	2279	2062	2081	2858	1736	1906	2564	2297	2462	2503	2887
ENSG00000010130	15	15	22	7	11	19	19	22	24	18	14	16
ENSG00000010131	986	1034	961	1527	1711	1348	1708	1847	1372	1379	2034	1348
ENSG00000010132	1146	877	1118	1068	1507	514	643	1206	764	1147	1156	730
ENSG00000010133	155	106	123	196	188	162	122	94	144	90	168	166
ENSG00000010134	171	75	159	157	107	132	105	152	179	163	148	118
ENSG00000010135	299	115	189	194	103	144	252	188	222	213	129	186
ENSG00000010136	47	14	34	13	29	19	23	21	19	17	23	39
ENSG00000010137	84	84	126	85	68	87	63	85	61	108	93	90
ENSG00000010138	292	40	76	102	97	188	108	89	128	185	90	174
ENSG00000010139	338	787	361	404	667	343	608	528	339	591	193	535
ENSG00000010140	1224	815	625	894	1074	930	709	1570	592	478	898	760
ENSG00000010141	27	16	31	39	22	31	48	41	40	23	23	36
ENSG00000010142	484	1022	628	757	873	456	864	759	1263	757	595	1001
ENSG00000010143	38	47	27	50	21	26	22	24	48	32	39	37
ENSG00000010144	127	99	110	112	92	122	135	160	73	126	119	116
ENSG00000010145	470	296	393	295	626	303	269	248	450	119	309	387
ENSG00000010146	120	91	155	122	164	161	136	124	126	127	82	167
ENSG00000010147	111	164	107	90	589	502	606	776	164	379	230	107
ENSG00000010148	264	309	217	431	205	226	385	426	297	150	247	240
ENSG00000010149	31	37	28	51	40	38	44	34	77	33	40	37
ENSG00000010150	43	37	68	23	90	31	21	51	41	35	24	45
ENSG00000010151	118	100	69	88	91	100	125	120	131	147	109	172
ENSG00000010152	774	962	1186	1470	1031	1432	833	701	633	848	1454	1230
ENSG00000010153	105	147	106	151	118	142	176	165	115	72	85	56
ENSG00000010154	5732	4835	9900	7361	4630	6918	7416	8312	5513	11287	7204	8189
ENSG00000010155	233	211	270	299	290	222	218	242	204	135	148	314
ENSG00000010156	0	1	2	0	0	3	1	2	1	0	1	0
ENSG00000010157	50	54	111	83	31	38	39	81	59	106	65	79
ENSG00000010158	4673	3340	3924	3535	2312	5230	4670	2833	5686	3610	7364	4155
ENSG00000010159	136	118	41	216	156	174	162	207	120	79	214	158
ENSG00000010160	35	61	68	61	60	46	69	26	100	83	50	92
ENSG00000010161	31	31	10	24	14	32	32	15	13	22	18	24
ENSG00000010162	2388	2143	1795	2273	1398	2933	2847	2735	2238	1922	2443	2127
ENSG00000010163	1782	620	896	1158	625	669	1495	792	1019	831	773	1632
ENSG00000010164	557	552	367	518	524	492	627	798	274	372	988	589
ENSG00000010165	308	227	240	132	343	276	491	341	324	410	343	466
ENSG00000010166	2688	3884	1704	2507	1356	1031	2411	2117	1433	3244	2538	2576
ENSG00000010167	691	869	920	327	2855	2517	3773	3492	1968	1324	1430	830
ENSG00000010168	6	16	14	23	12	24	15	21	11	5	14	13
ENSG00000010169	715	694	572	725	647	716	711	763	866	974	889	922
ENSG00000010170	181	354	236	197	271	196	244	205	195	225	215	212
ENSG00000010171	115	137	124	93	431	880	477	443	231	302	249	299
ENSG00000010172	462	608	771	279	458	630	885	991	845	943	959	673
ENSG00000010173	190	77	228	187	222	116	205	267	206	240	210	122
ENSG00000010174	0	2	0	1	1	0	2	0	3	1	1	1
ENSG00000010175	2641	2452	2085	2981	15307	14997	10377	11175	9207	7530	10395	7200
ENSG00000010176	1056	737	1518	742	1330	934	953	1015	2068	790	693	1043
ENSG00000010177	129	131	125	122	94	152	57	116	113	122	155	109
ENSG00000010178	104	120	68	141	46	103	56	89	48	76	70	102
ENSG00000010179	228	295	191	227	224	99	239	225	234	224	326	203
ENSG00000010180	22	11	20	8	14	17	19	18	23	11	14	6
ENSG00000010181	373	195	172	244	371	257	227	204	366	257	324	252
ENSG00000010182	60	110	142	90	73	102	127	77	86	104	108	134
ENSG00000010183	84	86	47	48	40	83	51	69	52	96	122	51
ENSG00000010184	33	13	26	26	30	33	22	33	23	23	22	31
ENSG00000010185	53	41	41	29	20	23	44	52	26	33	19	37
ENSG00000010186	1189	1274	1900	1321	1623	1082	1573	2157	1132	2035	1238	1091
ENSG00000010187	2830	1083	1878	1968	2149	1360	1386	1859	3337	2244	3839	2480
ENSG00000010188	241	271	367	440	556	611	434	390	274	262	655	598
ENSG00000010189	158	161	75	128	99	102	86	166	173	205	51	141
ENSG00000010190	26	14	43	47	21	20	20	13	17	19	42	32
ENSG00000010191	670	594	422	675	563	773	895	615	585	334	274	700
ENSG00000010192	4933	2492	4265	4013	3397	3667	4573	3055	3849	3517	4451	2765
ENSG00000010193	3	4	6	5	20	15	16	30	18	7	3	14
ENSG00000010194	1661	1146	2349	1111	1478	1719	1279	1456	994	2634	1049	1650
ENSG00000010195	0	1	1	1	0	1	3	4	1	1	1	4
ENSG00000010196	73	60	91	119	92	45	103	46	80	64	89	55
ENSG00000010197	202	393	249	406	240	222	317	261	306	559	137	273
ENSG00000010198	9	9	12	11	4	11	13	5	14	4	8	11
ENSG00000010199	4	8	0	12	6	6	8	10	9	4	12	8
ENSG00000010200	207	143	207	140	214	204	199	258	255	130	164	112
ENSG00000010201	952	1363	917	651	1181	1607	1060	455	1396	652	538	796
ENSG00000010202	48	56	62	37	65	62	54	43	42	57	50	65
ENSG00000010203	1605	1921	1851	3412	1448	1931	2580	2252	1976	2357	1376	1802
ENSG00000010204	31	41	31	30	34	27	9	33	47	37	22	12
ENSG00000010205	5706	5208	7140	7927	5694	5510	3685	3422	7520	4729	4773	6569
ENSG00000010206	247	196	137	63	209	223	290	236	210	128	279	202
ENSG00000010207	186	243	320	275	333	259	290	230	375	328	255	247
ENSG00000010208	580	551	465	279	2446	2642	1903	1649	1052	627	821	1624
ENSG00000010209	145	270	355	194	244	403	274	239	194	205	292	298
ENSG00000010210	10216	4605	3756	5042	7280	8065	5764	5989	4745	5633	5415	5887
ENSG00000010211	13754	9322	23512	7773	37308	21217	62453	43005	18308	21454	18478	35557
ENSG00000010212	521	548	654	728	1591	4458	2129	668	985	1261	454	940
ENSG00000010213	103	46	81	141	76	101	69	136	132	135	107	103
ENSG00000010214	15	17	10	8	11	21	10	21	16	17	12	10
ENSG00000010215	37	36	21	48	17	32	51	57	46	39	26	21
ENSG00000010216	178	286	185	80	120	90	159	135	169	172	137	126
ENSG00000010217	135	191	116	89	140	110	109	132	108	138	150	183
ENSG00000010218	131	131	97	136	157	111	203	75	92	92	125	151
ENSG00000010219	144	109	134	76	158	169	122	182	143	207	156	145
ENSG00000010220	472	357	472	360	301	750	362	299	570	338	298	634
ENSG00000010221	14	23	5	15	8	8	11	13	11	5	7	11
ENSG00000010222	18	15	24	14	26	22	14	24	26	14	12	16
ENSG00000010223	1349	1466	1643	1251	1275	1506	1262	629	1270	1515	1420	1656
ENSG00000010224	567	974	594	551	731	583	750	1267	623	694	726	998
ENSG00000010225	45	28	32	54	44	88	45	57	81	32	49	47
ENSG00000010226	1615	976	2210	974	1327	2720	2332	1299	1313	1278	1582	1855
ENSG00000010227	44	41	17	56	94	167	70	155	67	82	81	80
ENSG00000010228	76	56	50	67	76	100	160	85	83	63	78	47
ENSG00000010229	4	3	6	0	16	15	18	14	0	7	3	12
ENSG00000010230	1181	683	874	618	806	566	1095	488	837	619	892	962
ENSG00000010231	275	80	126	213	170	98	149	134	224	166	142	191
ENSG00000010232	1155	1848	1268	1435	770	2132	500	1473	1412	733	2824	908
ENSG00000010233	602	923	616	462	515	349	571	538	803	365	332	680
ENSG00000010234	223	175	89	243	107	191	171	152	127	158	173	289
ENSG00000010235	247	290	129	145	206	153	175	252	363	281	175	219
ENSG00000010236	1958	1738	1151	1349	1510	1802	2166	1283	1468	1129	2159	981
ENSG00000010237	93	83	93	112	107	107	103	150	155	161	85	66
ENSG00000010238	102	73	78	126	447	540	339	338	370	75	198	116
ENSG00000010239	171	223	83	165	145	130	162	173	245	122	163	269
ENSG00000010240	691	838	1105	774	1229	716	887	645	1011	679	836	741
ENSG00000010241	1275	639	736	2059	694	1069	1196	1328	748	896	810	852
ENSG00000010242	10091	8657	8355	9110	8495	3135	12177	6797	8371	6633	6717	3556
ENSG00000010243	129	111	146	118	142	165	176	95	131	112	186	111
ENSG00000010244	2089	1570	1905	1579	1139	1718	2082	2088	2280	1539	2091	1479
ENSG00000010245	31	59	44	37	135	283	152	109	67	120	57	90
ENSG00000010246	323	601	590	408	410	515	536	691	320	556	809	524
ENSG00000010247	112	234	148	128	323	199	273	182	242	209	104	153
ENSG00000010248	5658	4713	5024	5956	5605	5373	4576	3790	5496	3366	3383	6679
ENSG00000010249	488	331	373	798	518	551	604	678	694	580	743	388
ENSG00000010250	59	58	53	101	99	74	91	80	86	102	68	82
ENSG00000010251	390	489	416	811	566	793	508	614	333	622	506	410
ENSG00000010252	544	272	347	319	184	399	452	166	303	463	233	502
ENSG00000010253	81	104	57	124	102	103	56	53	60	125	88	88
ENSG00000010254	62	142	78	108	82	41	118	96	23	82	55	117
ENSG00000010255	32	22	33	25	26	23	4	17	11	39	37	42
ENSG00000010256	30933	35551	74306	65823	24544	43966	27270	38677	25432	46507	41328	19596
ENSG00000010257	236	124	116	231	167	126	183	193	279	187	208	214
ENSG00000010258	914	1738	1239	1517	700	632	698	812	1532	523	1486	891
ENSG00000010259	23	19	11	25	5	7	18	15	18	12	10	32
ENSG00000010260	10	11	16	14	18	8	13	10	19	41	9	18
ENSG00000010261	197	112	67	123	128	159	233	132	124	162	171	79
ENSG00000010262	73	108	110	121	119	85	107	116	57	71	180	105
ENSG00000010263	862	1051	702	507	568	985	750	1360	377	1138	1132	567
ENSG00000010264	12	17	13	33	10	17	17	34	26	25	16	12
ENSG00000010265	381	541	613	388	347	575	537	309	421	615	393	369
ENSG00000010266	2929	2753	4348	4156	2160	4706	4869	3177	3704	1896	3099	1873
ENSG00000010267	38	30	17	14	27	23	38	41	13	26	20	23
ENSG00000010268	453	1105	778	805	1199	786	618	680	615	1123	1264	1220
ENSG00000010269	29	27	34	20	18	21	33	26	24	15	22	40
ENSG00000010270	442	115	425	328	497	342	405	400	160	414	302	335
ENSG00000010271	285	509	382	368	1440	1587	798	1248	1164	704	371	1044
ENSG00000010272	3668	9104	4338	4466	3035	3787	4208	3733	2396	5750	1777	5023
ENSG00000010273	41	53	44	21	48	46	62	67	55	35	44	45
ENSG00000010274	258	204	258	218	140	222	138	217	222	198	122	180
ENSG00000010275	1011	1423	2325	1271	1573	1445	1044	1868	745	695	1027	1256
ENSG00000010276	18	8	27	8	20	23	17	17	23	17	20	10
ENSG00000010277	168	145	117	113	135	122	124	160	105	174	92	211
ENSG00000010278	22	18	12	32	54	31	30	11	37	22	28	35
ENSG00000010279	49	31	23	36	52	25	29	45	60	47	28	43
ENSG00000010280	493	520	401	394	841	1115	888	505	682	856	510	451
ENSG00000010281	346	854	566	533	411	614	661	399	494	488	568	515
ENSG00000010282	21925	25674	37439	37305	21520	24466	38526	44073	26244	18251	34137	23916
ENSG00000010283	2107	4445	2705	2061	1901	2191	1540	1809	2115	1403	3241	3022
ENSG00000010284	1872	2679	2764	2432	2664	1359	2867	2560	1416	3032	1180	1673
ENSG00000010285	65	113	77	147	266	110	150	126	87	147	122	104
ENSG00000010286	82	63	76	74	105	105	75	146	105	93	145	128
ENSG00000010287	116	140	319	256	310	299	186	220	222	301	182	318
ENSG00000010288	1	0	1	4	3	0	1	4	2	3	2	2
ENSG00000010289	7558	4478	4432	6010	2315	4082	5027	3334	5377	3963	6573	5549
ENSG00000010290	15	55	55	18	71	36	30	67	41	31	45	86
ENSG00000010291	11	14	10	18	35	17	16	18	32	22	15	37
ENSG00000010292	69	66	82	72	104	62	78	49	96	65	70	83
ENSG00000010293	1113	562	631	514	722	1486	1044	795	958	1115	790	939
ENSG00000010294	1739	1102	1733	2201	6870	4624	8235	4412	5813	3254	3168	1590
ENSG00000010295	124	74	44	78	88	65	134	52	115	77	71	49
ENSG00000010296	349	455	449	499	363	428	606	398	382	433	477	194
ENSG00000010297	131	135	142	137	333	555	790	860	286	287	330	394
ENSG00000010298	28	20	20	28	10	23	27	20	23	20	23	12
ENSG00000010299	98	301	266	88	161	394	248	171	330	232	276	126
ENSG00000010300	308	79	171	178	199	135	203	139	115	239	208	103
ENSG00000010301	4	10	5	14	24	12	38	45	9	16	12	21
ENSG00000010302	1378	1509	1060	1359	1046	1070	891	1361	946	1938	1640	1195
ENSG00000010303	8	11	6	5	16	2	1	9	4	2	10	7
ENSG00000010304	239	312	215	235	207	294	207	275	365	148	309	351
ENSG00000010305	34	16	13	19	15	28	12	17	17	26	14	24
ENSG00000010306	15	54	20	30	39	23	47	50	54	31	27	11
ENSG00000010307	20	35	36	39	33	28	41	38	63	51	28	35
ENSG00000010308	534	606	674	811	387	826	803	548	723	434	547	555
ENSG00000010309	11	8	20	14	21	56	60	29	18	33	41	15
ENSG00000010310	61	129	73	109	73	105	158	107	113	163	156	40
ENSG00000010311	1852	3924	4096	2885	3574	3072	2664	3478	3635	2259	3386	3694
ENSG00000010312	24	38	36	27	89	145	223	194	91	69	65	88
ENSG00000010313	151	94	98	255	148	78	261	116	159	161	78	140
ENSG00000010314	608	875	894	616	690	341	724	730	326	791	953	593
ENSG00000010315	81	29	45	49	29	70	37	70	33	60	69	40
ENSG00000010316	288	341	382	329	414	233	595	473	374	331	205	338
ENSG00000010317	43	36	74	39	21	61	63	34	72	42	53	45
ENSG00000010318	414	1135	527	481	851	408	1133	439	637	548	588	507
ENSG00000010319	160	89	107	179	201	113	171	139	173	154	150	158
ENSG00000010320	20	15	28	33	42	24	16	21	18	23	39	30
ENSG00000010321	2299	3101	1741	2232	13067	7654	13721	6570	5937	6271	5137	4402
ENSG00000010322	120	64	149	124	143	91	95	162	89	76	169	120
ENSG00000010323	117	39	77	108	56	98	73	74	61	79	113	120
ENSG00000010324	10	15	32	19	92	108	57	69	40	39	56	22
ENSG00000010325	49	70	34	72	60	72	65	39	80	102	66	73
ENSG00000010326	163	149	109	134	77	181	208	170	200	121	120	110
ENSG00000010327	262	240	178	179	203	184	144	185	207	176	180	160
ENSG00000010328	939	722	1252	1073	1523	814	1334	1008	1727	1346	903	1066
ENSG00000010329	17	11	15	11	8	10	13	6	9	18	7	8
ENSG00000010330	67	50	53	70	96	51	56	93	91	78	84	53
ENSG00000010331	1191	1437	1949	964	2283	1161	1005	1306	1686	1493	1709	1493
ENSG00000010332	325	191	250	181	158	156	194	234	220	223	214	202
ENSG00000010333	208	313	345	375	324	266	302	383	291	473	496	610
ENSG00000010334	4306	3946	5218	5059	5880	3438	3771	4394	3925	4356	4149	2316
ENSG00000010335	214	297	227	364	665	281	357	245	162	313	245	263
ENSG00000010336	347	320	486	473	944	2082	2025	2059	787	939	1187	564
ENSG00000010337	200	129	80	134	123	72	199	126	130	146	166	256
ENSG00000010338	4011	4202	5596	6656	5363	4760	4308	6005	5492	6890	4790	5506
ENSG00000010339	525	731	1118	1182	1995	709	1383	1599	1161	876	1380	1096
ENSG00000010340	32	28	29	34	26	77	29	29	28	43	12	37
ENSG00000010341	549	455	243	383	230	492	412	279	446	582	351	727
ENSG00000010342	21	23	12	5	16	15	22	10	10	8	11	20
ENSG00000010343	1838	1459	1212	1496	2241	2397	1733	1493	810	916	1478	2063
ENSG00000010344	585	272	1176	492	2192	3235	3496	1597	576	853	491	1076
ENSG00000010345	106	60	112	135	86	33	205	85	87	90	113	126
ENSG00000010346	69	78	45	43	91	53	33	68	48	59	35	42
ENSG00000010347	5	3	5	3	0	2	2	2	4	2	4	2
ENSG00000010348	533	730	586	819	807	568	731	692	653	681	689	1099
ENSG00000010349	181	97	106	65	77	156	57	72	46	116	58	191
ENSG00000010350	52	104	166	60	70	110	85	45	118	63	63	101
ENSG00000010351	714	780	874	687	752	753	514	593	1105	482	869	784
ENSG00000010352	29	53	50	51	38	29	41	40	66	48	46	14
ENSG00000010353	50	37	32	66	81	30	35	27	63	35	32	70
ENSG00000010354	49	39	32	30	161	264	126	227	54	80	95	68
ENSG00000010355	9	16	13	7	10	6	10	6	9	9	6	13
ENSG00000010356	9254	19307	20460	18415	16589	29526	22553	18971	19995	25293	22597	22118
ENSG00000010357	81	52	135	119	152	115	87	72	110	97	123	123
ENSG00000010358	110	94	57	86	213	280	313	215	77	203	171	102
ENSG00000010359	508	508	995	676	771	827	1181	474	935	718	946	913
ENSG00000010360	1	0	1	1	2	4	9	8	2	0	3	0
ENSG00000010361	116	86	104	137	361	643	449	354	396	237	343	127
ENSG00000010362	134	82	139	150	163	117	89	163	107	147	96	220
ENSG00000010363	27	14	8	34	22	32	25	15	39	18	28	14
ENSG00000010364	341	386	260	377	400	323	415	242	396	301	613	263
ENSG00000010365	1	0	1	2	1	2	2	0	1	2	2	6
ENSG00000010366	153	61	89	147	134	183	216	292	121	94	79	47
ENSG00000010367	906	531	813	805	904	567	926	674	560	1086	1287	1153
ENSG00000010368	1	0	1	1	2	3	6	1	0	1	1	1
ENSG00000010369	10	5	12	5	13	12	11	7	3	5	8	6
ENSG00000010370	23	59	85	69	71	51	132	109	105	161	59	86
ENSG00000010371	74	167	110	72	120	170	124	186	109	126	226	100
ENSG00000010372	16	26	33	47	29	50	56	44	49	22	21	24
ENSG00000010373	299	138	280	265	338	190	264	266	185	120	351	217
ENSG00000010374	169	172	253	198	221	188	247	195	168	188	150	208
ENSG00000010375	13	6	7	6	10	2	5	9	10	15	11	11
ENSG00000010376	106	104	112	142	124	53	63	189	130	101	55	58
ENSG00000010377	8	10	6	7	19	5	9	9	18	5	9	11
ENSG00000010378	0	3	1	2	1	4	1	1	1	0	6	5
ENSG00000010379	1	1	0	2	0	0	1	0	0	2	1	2
ENSG00000010380	732	665	608	755	698	490	1288	625	930	760	642	894
