gene_id	SRR493366	SRR493369	SRR493370	SRR493371
ENSG00000248996	36639	12672	22239	15663
ENSG00000119685	293	257	207	299
ENSG00000198255	96	53	59	56
ENSG00000171611	7601	10916	7016	6660
ENSG00000178485	14	22	23	12
ENSG00000215679	1442	1942	883	858
ENSG00000148056	20	19	22	40
ENSG00000217779	267	258	233	409
ENSG00000103569	2	2	6	4
ENSG00000150247	859	714	1133	1028
ENSG00000244700	66	80	88	114
ENSG00000194547	24	23	14	29
ENSG00000136221	2675	6766	4199	7089
ENSG00000208679	693	611	685	802
ENSG00000149529	50	191	121	201
ENSG00000120362	42	33	36	28
ENSG00000219013	66	185	65	131
ENSG00000116646	161	62	133	83
ENSG00000248362	1167	584	352	775
ENSG00000123286	696	918	872	1057
ENSG00000247496	26	23	53	55
ENSG00000127725	30	46	31	58
ENSG00000149697	43	90	33	42
ENSG00000193076	27	7	19	12
ENSG00000142628	35	77	28	30
ENSG00000191367	82	78	143	177
ENSG00000237681	633	876	486	792
ENSG00000236680	2141	2564	3281	1406
ENSG00000151966	36	33	30	20
ENSG00000137845	218	522	325	386
ENSG00000106453	43	46	39	33
ENSG00000232433	13618	8976	15106	14435
ENSG00000116398	247	185	148	167
ENSG00000122186	627	441	423	523
ENSG00000231455	20	33	19	19
ENSG00000112841	33	26	30	25
ENSG00000223375	281	146	160	108
ENSG00000226686	143	55	68	47
ENSG00000245128	292	270	145	272
ENSG00000239311	13	7	6	8
ENSG00000104843	623	459	366	517
ENSG00000162983	32	29	25	17
ENSG00000191965	5867	5928	4259	6605
ENSG00000115405	49	52	55	101
ENSG00000172578	1008	672	2051	1118
ENSG00000121517	14	10	6	12
ENSG00000244860	372	323	308	380
ENSG00000141583	47	30	8	42
ENSG00000215290	53	60	65	28
ENSG00000183042	193	116	229	129
ENSG00000211491	77	142	58	93
ENSG00000114063	321	161	252	341
ENSG00000190284	794	474	577	330
ENSG00000119356	295	307	1032	699
ENSG00000142970	106	109	89	79
ENSG00000247069	10	14	8	3
ENSG00000226408	31	23	31	34
ENSG00000159037	79	117	93	116
ENSG00000101703	0	0	1	0
ENSG00000216987	679	756	454	636
ENSG00000131232	34	126	99	68
ENSG00000133185	59	92	50	79
ENSG00000215814	2203	1088	1551	1112
ENSG00000248098	530	739	305	389
ENSG00000100905	216	135	226	152
ENSG00000247727	13	24	34	28
ENSG00000101768	187	296	385	284
ENSG00000110993	416	319	189	328
ENSG00000196898	26	51	22	30
ENSG00000132520	1384	986	970	1015
ENSG00000238070	355	565	455	471
ENSG00000133026	1	0	1	6
ENSG00000241554	140	134	167	188
ENSG00000181279	9	8	8	8
ENSG00000120861	1100	909	1314	1164
ENSG00000117138	516	529	551	673
ENSG00000105230	14	32	17	25
ENSG00000138656	26	28	27	23
ENSG00000248189	172	201	169	143
ENSG00000128282	153	147	73	114
ENSG00000170809	2455	5013	2633	4460
ENSG00000168321	908	403	321	624
ENSG00000125802	131	131	167	187
ENSG00000130025	463	536	658	655
ENSG00000177512	5	4	2	2
ENSG00000176630	262	502	136	242
ENSG00000178196	764	898	929	717
ENSG00000232192	152	69	115	96
ENSG00000191775	26	26	21	67
ENSG00000198485	290	391	562	329
ENSG00000163460	10590	6606	6676	8697
ENSG00000232370	261	126	244	247
ENSG00000133829	6	11	23	31
ENSG00000226759	3813	1174	2742	1398
ENSG00000105315	1	2	7	3
ENSG00000121389	511	545	375	352
ENSG00000227057	46	29	47	48
ENSG00000227286	988	1408	1120	960
ENSG00000178996	13	42	32	31
ENSG00000212174	4206	1905	1865	2145
ENSG00000229829	188	322	412	426
ENSG00000151364	4	6	10	4
ENSG00000142980	0	0	3	1
ENSG00000241149	57	70	89	49
ENSG00000198497	2305	2896	1281	1399
ENSG00000117763	178	91	184	180
ENSG00000121889	198	244	131	130
ENSG00000104522	212	69	94	72
ENSG00000212881	556	488	418	940
ENSG00000120618	266	310	253	265
ENSG00000123193	427	313	189	161
ENSG00000153674	14	15	15	26
ENSG00000201020	3505	1206	1206	2056
ENSG00000126814	2302	1755	1842	1039
ENSG00000203373	23	7	9	14
ENSG00000233582	11057	15822	23041	8438
ENSG00000240361	506	377	774	589
ENSG00000140142	50	27	62	70
ENSG00000161793	1	3	9	4
ENSG00000144002	514	417	605	553
ENSG00000204193	357	451	305	483
ENSG00000238884	48	40	62	58
ENSG00000126202	0	7	0	3
ENSG00000207982	2296	1719	1902	1739
ENSG00000213889	34	60	93	63
ENSG00000201607	46	53	68	58
ENSG00000246986	51801	37572	46515	45651
ENSG00000208249	18568	15606	8711	7881
ENSG00000230331	734	1231	1227	830
ENSG00000243335	48	67	67	72
ENSG00000218882	607	566	584	651
ENSG00000221266	2	2	3	0
ENSG00000104611	124	196	107	234
ENSG00000104547	37	33	59	12
ENSG00000136527	15	9	16	8
ENSG00000110040	18	8	4	7
ENSG00000108176	435	362	397	677
ENSG00000234380	164	172	229	278
ENSG00000213133	241	148	132	190
ENSG00000138701	365	1069	1279	960
ENSG00000120122	24	37	25	21
ENSG00000163441	9	19	12	12
ENSG00000202313	4	7	4	3
ENSG00000188520	179	68	59	66
ENSG00000208268	1010	531	811	557
ENSG00000170785	126	89	39	103
ENSG00000134056	519	310	544	528
ENSG00000231870	11	11	6	4
ENSG00000233384	43	42	76	54
ENSG00000207504	35	35	20	20
ENSG00000234303	15	17	12	2
ENSG00000195431	5479	5011	7576	5881
ENSG00000237850	1295	841	977	387
ENSG00000111743	47	40	25	39
ENSG00000120573	34	37	42	35
ENSG00000167049	289	102	82	153
ENSG00000159173	9	8	12	7
ENSG00000186596	263	334	247	569
ENSG00000155860	24	17	3	20
ENSG00000145707	54	72	56	65
ENSG00000154772	24	26	19	22
ENSG00000171055	66	24	62	57
ENSG00000101599	9	10	7	9
ENSG00000121744	3	13	16	5
ENSG00000169102	19	13	12	39
ENSG00000199655	22	53	39	34
ENSG00000223191	79	45	120	66
ENSG00000227141	143	180	300	198
ENSG00000211889	3428	3550	3983	3255
ENSG00000229658	538	781	284	1460
ENSG00000159587	79	72	95	116
ENSG00000184861	864	484	440	538
ENSG00000207626	39	26	46	27
ENSG00000172293	2808	1578	3368	3432
ENSG00000117233	567	308	346	513
ENSG00000191201	14	12	14	8
ENSG00000243329	725	977	457	479
ENSG00000161886	761	461	789	515
ENSG00000191500	2	2	1	0
ENSG00000142784	40	12	38	47
ENSG00000244210	40	59	61	45
ENSG00000161318	1	1	4	4
ENSG00000144421	14	12	20	18
ENSG00000130007	11	27	23	31
ENSG00000136291	255	343	442	259
ENSG00000146017	202	344	379	308
ENSG00000131380	25745	46229	26964	37199
ENSG00000135289	62	72	68	63
ENSG00000101408	1088	1692	990	1511
ENSG00000105743	150	143	231	266
ENSG00000218770	270	290	153	143
ENSG00000143469	7	30	11	9
ENSG00000178585	6	0	2	3
ENSG00000240003	43	33	35	36
ENSG00000239646	1157	700	607	854
ENSG00000169035	5025	2304	3018	5366
ENSG00000191075	592	484	446	622
ENSG00000153305	317	514	644	280
ENSG00000121363	24	30	24	18
ENSG00000188229	8740	2881	2921	4170
ENSG00000214231	2844	2279	1943	1612
ENSG00000100019	82	69	38	56
ENSG00000204220	526	178	81	165
ENSG00000128351	8	11	22	22
ENSG00000205235	7280	3066	3725	2444
ENSG00000190027	473	331	347	359
ENSG00000225652	83	99	144	123
ENSG00000161351	390	532	482	519
ENSG00000239647	263	257	268	247
ENSG00000112290	73	55	23	101
ENSG00000229652	8	8	13	3
ENSG00000229282	10	16	15	9
ENSG00000179801	6	3	12	7
ENSG00000181981	365	384	684	615
ENSG00000110600	26248	15436	15888	13840
ENSG00000112104	1	4	9	3
ENSG00000147006	121	276	214	205
ENSG00000216662	386	335	155	208
ENSG00000185956	14	17	20	17
ENSG00000220093	258	331	142	345
ENSG00000176596	19	23	24	22
ENSG00000198333	1665	1457	2042	1561
ENSG00000226487	53	34	32	50
ENSG00000201199	136	146	150	256
ENSG00000176820	504	525	411	814
ENSG00000194723	60	81	38	33
ENSG00000155780	4	9	4	1
ENSG00000105687	37	27	39	93
ENSG00000202471	741	534	495	920
ENSG00000180437	127	129	99	69
ENSG00000214553	311	110	323	491
ENSG00000174903	8	9	14	14
ENSG00000158223	168	194	254	203
ENSG00000170392	636	547	361	423
ENSG00000208576	260	173	140	157
ENSG00000164968	4667	8488	15826	8245
ENSG00000106653	69	90	93	77
ENSG00000155586	10	16	31	20
ENSG00000146245	11	11	4	4
ENSG00000103192	948	1869	1789	1235
ENSG00000105793	147	164	219	167
ENSG00000123043	1087	1455	1174	1447
ENSG00000152802	341	420	375	421
ENSG00000118572	3498	4019	2716	4542
ENSG00000157958	1539	2440	1528	2641
ENSG00000194825	107	49	86	57
ENSG00000141469	294	422	289	324
ENSG00000202584	1035	1406	1028	623
ENSG00000199814	23	13	12	10
ENSG00000134933	1602	2432	4619	3930
ENSG00000124839	1649	1726	1788	1750
ENSG00000104510	503	727	1183	735
ENSG00000186150	106	132	108	123
ENSG00000113013	596	284	342	280
ENSG00000182849	17	26	18	30
ENSG00000231836	349	133	82	107
ENSG00000229404	47	38	30	34
ENSG00000224902	245	198	237	247
ENSG00000138090	55	69	29	54
ENSG00000201427	198	306	221	357
ENSG00000219742	2246	1734	2882	993
ENSG00000142868	13	16	11	14
ENSG00000192821	561	707	1267	814
ENSG00000182916	3	5	3	3
ENSG00000107444	3	2	1	4
ENSG00000195188	219	57	91	125
ENSG00000212921	102	184	218	149
ENSG00000100862	406	296	275	237
ENSG00000131769	8	5	5	2
ENSG00000174111	123	148	109	123
ENSG00000168948	202	265	229	162
ENSG00000205833	2492	2027	1595	1441
ENSG00000133438	153	96	89	105
ENSG00000149929	561	316	309	604
ENSG00000159710	44	25	35	21
ENSG00000150664	126	72	124	77
ENSG00000113559	94	53	37	54
ENSG00000116863	626	655	892	522
ENSG00000239884	33	20	20	28
ENSG00000225493	49	33	22	26
ENSG00000159731	577	317	405	275
ENSG00000117981	5204	2908	8027	9465
ENSG00000203732	313	250	385	96
ENSG00000152916	230	261	319	273
ENSG00000212074	41	58	61	79
ENSG00000154135	1298	1532	1029	1105
ENSG00000175412	653	318	377	665
ENSG00000231575	4259	5027	3496	5125
ENSG00000197540	322	303	492	367
ENSG00000215209	12	16	34	28
ENSG00000197854	64	44	43	51
ENSG00000156461	35	17	22	19
ENSG00000156888	14	9	13	17
ENSG00000175068	2263	2675	2528	2383
ENSG00000247723	913	880	1446	650
ENSG00000180197	11	19	13	15
ENSG00000164244	3284	6359	4164	2876
ENSG00000120591	158	165	52	250
ENSG00000194222	38	34	32	18
ENSG00000245157	266	379	409	413
ENSG00000231505	193	144	136	241
ENSG00000105541	50	24	34	26
ENSG00000130427	1	0	1	2
ENSG00000186088	107	149	166	156
ENSG00000238238	260	294	230	270
ENSG00000181175	0	2	0	2
ENSG00000169913	654	561	339	223
ENSG00000218979	391	345	727	436
ENSG00000249157	59	106	73	71
ENSG00000103568	103	198	149	158
ENSG00000175844	62	95	33	109
ENSG00000170244	63	21	29	19
ENSG00000122640	94	63	72	95
ENSG00000230217	1679	1771	2175	1530
ENSG00000155193	5	5	3	7
ENSG00000132425	123	142	273	157
ENSG00000236796	229	133	205	236
ENSG00000247635	70	18	45	52
ENSG00000159365	73	56	67	47
ENSG00000135653	7	8	4	11
ENSG00000175966	28	27	17	11
ENSG00000172090	141	135	221	131
ENSG00000229767	253	190	239	355
ENSG00000152155	10	32	26	43
ENSG00000163972	45950	52820	52658	42101
ENSG00000236728	25	38	74	40
ENSG00000214664	198	198	150	210
ENSG00000131091	111	102	87	86
ENSG00000123283	77	42	61	76
ENSG00000152362	1724	2294	2645	2739
ENSG00000237264	34	51	52	76
ENSG00000175217	2529	2003	1505	2490
ENSG00000122025	1318	635	1806	928
ENSG00000240108	16	25	18	26
ENSG00000227546	1325	1583	1115	1063
ENSG00000164127	16	45	43	29
ENSG00000170730	60022	26320	39785	39129
ENSG00000186614	118	59	61	79
ENSG00000171652	16	37	14	28
ENSG00000170580	5	5	2	5
ENSG00000230767	38	16	5	22
ENSG00000103043	63	40	49	96
ENSG00000166399	7	22	17	21
ENSG00000200474	5	8	11	31
ENSG00000118816	24	14	33	38
ENSG00000176379	234	87	110	121
ENSG00000112024	2863	1580	2130	3302
ENSG00000172311	5	8	11	6
ENSG00000149050	51	88	70	22
ENSG00000228972	34	20	29	41
ENSG00000106249	14	1	11	10
ENSG00000144082	5	8	15	7
ENSG00000140222	16	19	29	21
ENSG00000196351	461	716	465	525
ENSG00000245935	276	142	96	77
ENSG00000204534	70	41	35	20
ENSG00000126470	210	688	391	510
ENSG00000151874	180	145	415	253
ENSG00000169774	102	138	92	46
ENSG00000119789	415	193	380	276
ENSG00000133004	49	30	22	13
ENSG00000101118	655	524	583	407
ENSG00000191766	474	358	683	438
ENSG00000170704	50	75	85	79
ENSG00000145220	13	24	16	9
ENSG00000210022	1949	1632	2150	4606
ENSG00000247176	303	93	168	162
ENSG00000220701	64815	60417	53184	51749
ENSG00000159511	22	22	23	31
ENSG00000207089	407	480	667	1022
ENSG00000153655	59	35	103	46
ENSG00000216832	333	405	265	361
ENSG00000187814	763	666	688	499
ENSG00000120884	59	39	21	27
ENSG00000197302	116	115	143	111
ENSG00000211912	271	232	171	266
ENSG00000112879	189	207	212	270
ENSG00000101821	484	695	326	516
ENSG00000117983	1052	927	1114	880
ENSG00000155162	772	694	901	768
ENSG00000220288	262	232	233	78
ENSG00000150854	226	116	39	110
ENSG00000213332	28	26	18	18
ENSG00000129830	85	51	47	29
ENSG00000185982	80	41	66	42
ENSG00000120025	907	510	399	847
ENSG00000167505	59	66	49	41
ENSG00000107254	3	12	15	13
ENSG00000203598	384	647	283	449
ENSG00000204024	17	43	36	32
ENSG00000119475	62	30	31	32
ENSG00000140330	109	105	236	124
ENSG00000205688	490	394	434	344
ENSG00000228994	1	1	1	2
ENSG00000100362	10	9	23	17
ENSG00000244964	385	378	197	235
ENSG00000216741	86	73	43	31
ENSG00000132632	22	23	17	10
ENSG00000162057	45	69	39	25
ENSG00000171659	1934	2286	2284	3498
ENSG00000234205	68	40	39	48
ENSG00000129106	782	498	644	243
ENSG00000190785	517	1077	716	546
ENSG00000134185	42	61	76	82
ENSG00000145316	482	460	429	273
ENSG00000143863	51	83	71	72
ENSG00000193107	37	82	15	30
ENSG00000181143	20	10	16	14
ENSG00000155546	736	942	981	1400
ENSG00000185027	77	72	125	110
ENSG00000116542	80	66	48	42
ENSG00000187247	12	24	15	16
ENSG00000186414	5103	4992	5520	4968
ENSG00000155963	573	698	593	647
ENSG00000175819	177	145	68	130
ENSG00000236532	31	43	30	29
ENSG00000168190	15	7	13	2
ENSG00000193461	326	197	303	289
ENSG00000144390	200	307	191	301
ENSG00000129609	13	10	9	8
ENSG00000153792	1524	830	2118	1331
ENSG00000166564	284	558	802	704
ENSG00000171118	20	17	17	36
ENSG00000225417	51	48	51	50
ENSG00000207559	176	24	92	49
ENSG00000112400	190	252	179	126
ENSG00000208312	113	129	109	144
ENSG00000221925	4	2	5	5
ENSG00000107621	3199	2178	2807	2408
ENSG00000184461	227	590	263	185
ENSG00000133085	1776	2371	2209	2778
ENSG00000166604	1429	1291	1648	1463
ENSG00000224991	110	95	47	86
ENSG00000187722	245	295	276	282
ENSG00000198390	399	804	401	688
ENSG00000168698	767	574	587	1098
ENSG00000127559	120	121	70	122
ENSG00000111756	46	34	38	43
ENSG00000165334	125	254	124	145
ENSG00000210562	30	33	33	48
ENSG00000111597	85	51	47	89
ENSG00000198426	3	1	4	1
ENSG00000155747	250	141	214	184
ENSG00000180639	28	16	21	13
ENSG00000122915	47	43	68	43
ENSG00000188138	168	167	188	137
ENSG00000152677	211	222	202	450
ENSG00000127248	4841	7449	4712	5045
ENSG00000148505	182	170	196	323
ENSG00000207685	14	16	13	9
ENSG00000185570	243	165	185	183
ENSG00000112979	37	31	47	55
ENSG00000126331	662	330	185	305
ENSG00000222361	57	32	52	36
ENSG00000240844	56	50	38	57
ENSG00000105644	45	41	57	62
ENSG00000135694	41	23	71	62
ENSG00000118412	2	3	5	5
ENSG00000165515	35	43	50	38
ENSG00000102510	106	210	287	117
ENSG00000106872	1629	2049	875	1189
ENSG00000100045	64	60	56	85
ENSG00000208616	139	71	55	69
ENSG00000136800	328	386	525	527
ENSG00000121327	343	377	496	629
ENSG00000119831	4678	2479	3743	6044
ENSG00000205279	587	314	237	502
ENSG00000131943	238	103	234	136
ENSG00000132619	2050	2129	3130	2809
ENSG00000110401	2776	4871	5953	2398
ENSG00000235431	56	56	64	84
ENSG00000138652	226	97	244	122
ENSG00000218231	3	10	11	7
ENSG00000138618	86	85	131	102
ENSG00000196332	26	11	21	18
ENSG00000110887	89	88	88	41
ENSG00000163565	79	80	85	72
ENSG00000210854	89	63	132	113
ENSG00000149235	69	177	97	86
ENSG00000109337	458	256	334	447
ENSG00000152059	87	184	173	252
ENSG00000236507	99	77	85	41
ENSG00000170513	11	10	4	15
ENSG00000111475	1502	1548	1722	2405
ENSG00000229508	2121	3420	3329	3934
ENSG00000188119	26	47	81	67
ENSG00000164126	235	520	772	621
ENSG00000170175	8	10	3	9
ENSG00000243844	4	1	5	5
ENSG00000222572	76	79	99	69
ENSG00000214382	2009	4052	5153	2493
ENSG00000131327	12	21	26	11
ENSG00000186154	33	7	22	13
ENSG00000148262	3029	1630	2360	2738
ENSG00000212646	4	3	2	8
ENSG00000141279	634	496	485	406
ENSG00000156460	257	371	447	174
ENSG00000131250	62	130	163	141
ENSG00000218469	167	258	171	193
ENSG00000144213	33134	17727	33813	24209
ENSG00000145462	23	17	17	14
ENSG00000167178	102	35	55	92
ENSG00000197428	87	167	84	68
ENSG00000155304	52	16	33	51
ENSG00000196216	12	14	11	6
ENSG00000102895	3318	3905	4283	2506
ENSG00000202792	488	157	151	218
ENSG00000106347	7	5	6	4
ENSG00000108594	44	47	36	41
ENSG00000108290	481	534	310	352
ENSG00000231013	294	285	270	433
ENSG00000237634	5	5	4	8
ENSG00000145404	192	101	165	128
ENSG00000166671	132	109	179	386
ENSG00000238533	322	381	242	490
ENSG00000243472	447	263	271	301
ENSG00000233639	12	2	1	6
ENSG00000116942	13854	5564	4243	4496
ENSG00000212436	220	343	205	361
ENSG00000168498	5484	6423	5261	2861
ENSG00000103929	45949	47136	45201	36152
ENSG00000114587	61	85	123	144
ENSG00000240236	12	8	11	13
ENSG00000108662	1240	838	911	650
ENSG00000156912	166	82	112	60
ENSG00000188322	87	39	64	38
ENSG00000156590	19	20	23	15
ENSG00000148310	3774	4228	6144	7135
ENSG00000213313	59	91	40	45
ENSG00000124047	5	7	11	7
ENSG00000122833	48	72	48	54
ENSG00000212136	8	2	25	10
ENSG00000204881	98	172	272	90
ENSG00000160027	37	85	75	94
ENSG00000122466	30	23	14	13
ENSG00000215533	517	382	720	270
ENSG00000114446	28	45	50	26
ENSG00000178861	540	424	585	742
ENSG00000114604	2851	2209	2058	1344
ENSG00000168768	77	69	77	106
ENSG00000196422	52	22	61	47
ENSG00000225974	141	130	127	193
ENSG00000134157	924	821	1136	1192
ENSG00000233249	160	171	215	203
ENSG00000113551	376	114	231	231
ENSG00000172128	176	98	189	127
ENSG00000162720	250	248	310	151
ENSG00000240419	386	459	474	205
ENSG00000120613	44	50	17	47
ENSG00000231926	69	38	58	76
ENSG00000243395	241	157	180	120
ENSG00000240688	56	67	44	33
ENSG00000152997	226	147	342	119
ENSG00000137080	231	359	329	831
ENSG00000171586	111	145	234	128
ENSG00000249629	46	34	93	58
ENSG00000140511	29	60	22	10
ENSG00000153077	3692	6438	1878	3615
ENSG00000158749	1062	624	819	736
ENSG00000146522	21	13	18	8
ENSG00000179409	17	33	36	19
ENSG00000145813	7687	5943	6743	7332
ENSG00000163454	2365	5020	2547	1721
ENSG00000216941	530	115	249	246
ENSG00000111556	903	1543	1591	1372
ENSG00000183767	3	7	7	6
ENSG00000240055	66	121	175	87
ENSG00000194320	389	737	494	659
ENSG00000236848	3	6	2	5
ENSG00000225870	39	34	26	10
ENSG00000143812	495	834	1362	796
ENSG00000129250	1771	1862	1049	1454
ENSG00000123643	38	63	69	66
ENSG00000224096	270	381	383	236
ENSG00000161999	2569	4348	2848	2125
ENSG00000196445	80	42	70	33
ENSG00000110545	12	14	7	15
ENSG00000178070	181	145	126	113
ENSG00000191639	72	50	75	114
ENSG00000152978	2967	1584	1740	2006
ENSG00000181794	112	187	193	189
ENSG00000115776	58	17	35	13
ENSG00000116186	13788	14719	19886	18970
ENSG00000190532	75	52	33	48
ENSG00000160522	676	342	224	367
ENSG00000152006	662	847	751	801
ENSG00000174596	422	912	367	1286
ENSG00000164242	219	218	230	214
ENSG00000150803	1169	470	265	296
ENSG00000138018	140	112	104	169
ENSG00000128386	4	9	8	4
ENSG00000142497	86	71	73	99
ENSG00000222288	193	42	129	93
ENSG00000235224	136	70	117	75
ENSG00000229897	153	209	149	223
ENSG00000142426	19	38	53	61
ENSG00000192323	2656	2384	1375	1308
ENSG00000167365	4773	3429	2998	3543
ENSG00000167061	2	2	2	2
ENSG00000238902	315	184	125	86
ENSG00000240418	26	52	27	27
ENSG00000202714	1	0	3	0
ENSG00000142122	462	214	376	248
ENSG00000228267	51	38	26	35
ENSG00000134339	155	77	41	87
ENSG00000126676	63	29	45	24
ENSG00000103727	807	2053	1227	830
ENSG00000236011	4384	2806	2688	2511
ENSG00000115081	565	196	210	302
ENSG00000182225	861	554	1011	790
ENSG00000111644	105	146	68	101
ENSG00000105048	257	207	163	217
ENSG00000117049	29	63	40	37
ENSG00000101997	151	167	121	103
ENSG00000211141	53	23	32	20
ENSG00000125587	171	395	366	290
ENSG00000138055	666	322	764	724
ENSG00000249824	237	420	172	348
ENSG00000144731	2408	1000	877	1219
ENSG00000211392	48243	24095	43150	30711
ENSG00000235426	1	4	5	1
ENSG00000139079	120	126	91	95
ENSG00000174479	81	20	16	31
ENSG00000183651	83	80	67	45
ENSG00000183437	18	11	4	4
ENSG00000224599	248	127	151	191
ENSG00000103722	103	51	76	92
ENSG00000102712	54	41	45	36
ENSG00000114864	39	65	85	56
ENSG00000150066	30	80	35	73
ENSG00000189642	3	0	3	0
ENSG00000158222	1175	1589	2209	1058
ENSG00000184399	72	84	152	84
ENSG00000123754	24	20	46	25
ENSG00000176760	352	86	239	364
ENSG00000245364	115	32	18	33
ENSG00000145632	3	6	1	1
ENSG00000223143	1126	1054	875	703
ENSG00000248907	4	5	4	12
ENSG00000118803	157	135	131	77
ENSG00000166597	224	196	159	201
ENSG00000165289	4033	1770	2318	1914
ENSG00000203936	1806	1765	1652	1893
ENSG00000130209	341	254	160	242
ENSG00000154850	30	18	32	28
ENSG00000226412	68	113	42	41
ENSG00000223377	2019	1557	989	1086
ENSG00000106515	2946	3871	7404	7377
ENSG00000126315	704	450	399	396
ENSG00000192772	57	32	23	56
ENSG00000219483	1135	912	1553	1148
ENSG00000228854	119	59	51	60
ENSG00000166518	84	63	25	50
ENSG00000107948	101	143	43	120
ENSG00000131683	532	633	549	590
ENSG00000144549	435	210	153	239
ENSG00000158366	495	1208	1554	2046
ENSG00000112506	4586	1226	1954	1741
ENSG00000151531	518	389	535	511
ENSG00000184269	2	3	1	1
ENSG00000236658	8	8	7	5
ENSG00000174103	145	361	230	210
ENSG00000185780	143	177	79	173
ENSG00000200184	15783	15324	11837	14439
ENSG00000174829	54	196	104	128
ENSG00000123819	232	162	87	149
ENSG00000205113	511	632	1211	1279
ENSG00000107272	3295	1358	1329	1858
ENSG00000231731	70	89	58	72
ENSG00000113720	147	548	520	257
ENSG00000227995	7	14	31	14
ENSG00000221886	19	10	13	26
ENSG00000238809	3978	1527	1221	1293
ENSG00000203124	7	9	11	7
ENSG00000117792	1186	947	837	906
ENSG00000242706	817	565	456	352
ENSG00000124793	423	653	803	536
ENSG00000247235	2327	681	1166	579
ENSG00000189824	435	560	295	540
ENSG00000175146	5	2	1	0
ENSG00000175065	28	19	23	45
ENSG00000206353	143	41	34	72
ENSG00000248096	671	1486	1012	978
ENSG00000103152	12	13	14	11
ENSG00000181571	42	43	35	21
