gene_id	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
ENSG00000010049	26	59	25	23	16	34
ENSG00000010050	393	764	621	920	743	989
ENSG00000010051	60	135	131	71	132	203
ENSG00000010052	161	68	65	172	99	83
ENSG00000010053	67	137	73	154	99	94
ENSG00000010054	575	505	712	580	777	449
ENSG00000010055	21	8	12	12	16	15
ENSG00000010056	12	14	8	5	8	11
ENSG00000010057	2	0	1	1	0	0
ENSG00000010058	1912	964	1429	1904	1117	1408
ENSG00000010059	378	190	378	111	188	194
ENSG00000010060	3163	2512	4753	1582	5292	2162
ENSG00000010061	222	155	137	115	90	140
ENSG00000010062	45	51	43	36	32	26
ENSG00000010063	316	388	475	204	255	296
ENSG00000010064	136	154	129	112	185	215
ENSG00000010065	42	44	31	14	4	5
ENSG00000010066	49	14	22	15	32	36
ENSG00000010067	20992	6177	9382	4767	3562	7156
ENSG00000010068	218	402	330	234	274	633
ENSG00000010069	468	221	440	716	229	389
ENSG00000010070	69	137	92	83	28	112
ENSG00000010071	39	50	19	29	28	33
ENSG00000010072	860	1131	567	801	583	810
ENSG00000010073	37	78	73	116	145	71
ENSG00000010074	44	25	49	35	24	32
ENSG00000010075	135	104	100	110	160	86
ENSG00000010076	25	31	40	38	21	37
ENSG00000010077	396	170	217	270	409	231
ENSG00000010078	1069	1405	997	1283	1754	1246
ENSG00000010079	37	18	19	31	13	25
ENSG00000010080	4035	3102	2182	3121	1576	2379
ENSG00000010081	19	20	37	26	59	45
ENSG00000010082	170	395	223	140	206	318
ENSG00000010083	22	35	20	28	26	40
ENSG00000010084	80	101	87	83	92	173
ENSG00000010085	175	218	199	119	177	130
ENSG00000010086	49	28	79	65	63	69
ENSG00000010087	32	39	31	37	55	35
ENSG00000010088	44	48	76	25	43	10
ENSG00000010089	48	17	44	20	7	31
ENSG00000010090	3	3	6	5	7	3
ENSG00000010091	44	110	101	85	128	120
ENSG00000010092	390	232	474	372	396	506
ENSG00000010093	853	710	627	751	1044	1079
ENSG00000010094	742	499	445	285	423	425
ENSG00000010095	18139	27337	20508	17923	26242	28010
ENSG00000010096	302	349	168	421	216	260
ENSG00000010097	70	41	79	93	69	40
ENSG00000010098	5589	9575	7781	6937	8152	6325
ENSG00000010099	36	31	40	19	29	22
ENSG00000010100	572	844	974	976	1684	1831
ENSG00000010101	22	29	20	32	12	23
ENSG00000010102	190	357	245	239	265	348
ENSG00000010103	4	3	3	2	2	3
ENSG00000010104	1017	892	1119	603	1194	1267
ENSG00000010105	104	107	156	72	178	67
ENSG00000010106	27	15	23	16	17	16
ENSG00000010107	4899	5340	1902	4695	6262	4311
ENSG00000010108	900	725	532	573	464	480
ENSG00000010109	153	211	152	205	216	159
ENSG00000010110	26	43	38	20	61	20
ENSG00000010111	104	178	120	114	133	106
ENSG00000010112	261	137	120	69	80	116
ENSG00000010113	302	463	858	721	909	576
ENSG00000010114	598	805	752	1116	520	739
ENSG00000010115	32	24	36	38	33	22
ENSG00000010116	43	48	58	46	60	36
ENSG00000010117	43	68	44	79	33	30
ENSG00000010118	21	7	11	11	5	8
ENSG00000010119	72	69	51	53	68	58
ENSG00000010120	120	94	175	146	129	66
ENSG00000010121	688	949	1058	391	279	373
ENSG00000010122	2482	2718	2143	1426	2276	1480
ENSG00000010123	65	45	60	23	20	19
ENSG00000010124	304	670	431	525	653	622
ENSG00000010125	44	55	41	81	53	47
ENSG00000010126	13813	12158	28020	11496	12002	11702
ENSG00000010127	128	173	106	131	142	142
ENSG00000010128	379	231	374	515	414	334
ENSG00000010129	11	30	13	15	10	25
ENSG00000010130	13	26	68	25	32	16
ENSG00000010131	495	702	337	239	299	283
ENSG00000010132	78	65	66	74	94	123
ENSG00000010133	309	268	230	212	185	180
ENSG00000010134	6	0	7	8	15	5
ENSG00000010135	622	449	586	491	415	1139
ENSG00000010136	17	20	25	19	21	14
ENSG00000010137	3857	6150	3150	5774	5660	6324
ENSG00000010138	84	100	62	131	103	101
ENSG00000010139	835	1214	1141	693	994	1118
ENSG00000010140	9	17	6	8	13	4
ENSG00000010141	410	307	304	468	288	476
ENSG00000010142	21	43	32	36	37	22
ENSG00000010143	32	54	50	45	63	49
ENSG00000010144	238	330	348	120	239	124
ENSG00000010145	116	59	74	62	44	73
ENSG00000010146	534	372	507	257	284	266
ENSG00000010147	464	514	402	692	424	344
ENSG00000010148	574	475	446	343	709	626
ENSG00000010149	134	105	157	129	178	97
ENSG00000010150	8	8	1	22	7	6
ENSG00000010151	50	24	25	52	28	23
ENSG00000010152	233	204	155	71	64	144
ENSG00000010153	5	4	2	1	2	0
ENSG00000010154	555	548	433	614	473	543
ENSG00000010155	64	169	97	86	68	115
ENSG00000010156	96	81	61	45	125	50
ENSG00000010157	1235	959	635	1244	819	921
ENSG00000010158	479	476	195	347	344	460
ENSG00000010159	377	196	203	295	278	170
ENSG00000010160	11	20	16	10	20	24
ENSG00000010161	211	233	324	375	232	336
ENSG00000010162	116	195	322	305	232	159
ENSG00000010163	60	33	18	15	14	34
ENSG00000010164	2775	1274	2074	1013	553	1586
ENSG00000010165	434	299	569	299	487	403
ENSG00000010166	6	2	1	3	1	5
ENSG00000010167	136	371	180	232	151	296
ENSG00000010168	12	4	8	9	15	30
ENSG00000010169	948	819	1911	1507	2118	1117
ENSG00000010170	771	534	304	1007	887	521
ENSG00000010171	35	14	22	12	22	13
ENSG00000010172	38	41	20	35	15	22
ENSG00000010173	284	260	155	236	173	159
ENSG00000010174	181	213	48	92	58	90
ENSG00000010175	2833	2199	2558	1824	2770	3312
ENSG00000010176	512	750	885	1128	731	866
ENSG00000010177	78	81	149	85	68	88
ENSG00000010178	1041	513	922	301	606	306
ENSG00000010179	1	1	0	2	5	2
ENSG00000010180	218	250	270	235	259	192
ENSG00000010181	716	1141	1071	1115	766	593
ENSG00000010182	81	117	108	61	105	121
ENSG00000010183	28	43	34	44	32	41
ENSG00000010184	370	615	940	743	541	303
ENSG00000010185	13541	9692	8188	9639	9153	6735
ENSG00000010186	260	163	230	199	238	247
ENSG00000010187	24	19	16	7	39	13
ENSG00000010188	1610	3717	3073	2449	2193	3363
ENSG00000010189	2	2	1	0	3	4
ENSG00000010190	378	227	333	238	341	474
ENSG00000010191	24	28	34	52	49	48
ENSG00000010192	1418	621	1911	623	1270	513
ENSG00000010193	33	37	25	46	9	23
ENSG00000010194	2347	1254	1715	1653	1456	2949
ENSG00000010195	339	202	381	174	269	133
ENSG00000010196	0	4	6	6	11	10
ENSG00000010197	1	4	4	3	3	3
ENSG00000010198	62	77	122	81	97	85
ENSG00000010199	2883	1449	1370	2249	1672	1833
ENSG00000010200	116	175	268	218	216	134
ENSG00000010201	164	119	69	150	156	191
ENSG00000010202	237	103	221	92	50	95
ENSG00000010203	884	377	1113	504	614	371
ENSG00000010204	281	101	349	497	383	423
ENSG00000010205	615	316	499	176	328	131
ENSG00000010206	39	16	16	17	33	19
ENSG00000010207	2244	2280	2194	855	1535	2005
ENSG00000010208	1478	3336	2252	2594	2320	1363
ENSG00000010209	11	3	14	18	18	5
ENSG00000010210	16900	9879	12010	17693	26866	21418
ENSG00000010211	537	802	426	807	805	851
ENSG00000010212	53	105	83	38	73	58
ENSG00000010213	1	5	1	4	2	5
ENSG00000010214	502	413	407	507	428	641
ENSG00000010215	509	560	301	489	461	519
ENSG00000010216	22	41	51	24	16	22
ENSG00000010217	7	5	6	0	2	9
ENSG00000010218	1639	1662	1814	1409	1254	1441
ENSG00000010219	61	39	44	42	59	45
ENSG00000010220	78	74	42	79	83	48
ENSG00000010221	49177	39673	49206	34272	39011	50223
ENSG00000010222	6859	8178	11575	4977	11302	6424
ENSG00000010223	1320	1363	1446	1246	1201	870
ENSG00000010224	64	32	67	92	31	54
ENSG00000010225	536	454	582	585	431	343
ENSG00000010226	0	1	2	0	0	1
ENSG00000010227	168	148	169	81	118	289
ENSG00000010228	28	56	16	32	38	33
ENSG00000010229	4	14	10	19	6	8
ENSG00000010230	4	13	5	7	5	4
ENSG00000010231	426	313	279	335	374	465
ENSG00000010232	215	262	251	217	239	114
ENSG00000010233	323	168	117	228	188	220
ENSG00000010234	1005	946	1016	1144	943	1293
ENSG00000010235	63	51	54	18	36	29
ENSG00000010236	8	12	23	19	19	14
ENSG00000010237	1	1	8	4	10	2
ENSG00000010238	34	39	77	56	59	57
ENSG00000010239	1776	1723	651	798	795	307
ENSG00000010240	87	88	125	99	126	110
ENSG00000010241	719	384	416	682	451	535
ENSG00000010242	4	7	11	10	12	2
ENSG00000010243	23	81	30	101	41	25
ENSG00000010244	24	44	18	19	20	28
ENSG00000010245	8	14	14	22	10	7
ENSG00000010246	7665	7111	8089	8766	5465	3780
ENSG00000010247	975	1090	677	749	706	1211
ENSG00000010248	28	20	40	41	30	52
ENSG00000010249	15	36	35	53	16	25
ENSG00000010250	162	152	157	119	150	126
ENSG00000010251	15	4	4	8	10	8
ENSG00000010252	521	290	383	413	414	246
ENSG00000010253	6	20	14	7	11	8
ENSG00000010254	75	113	229	87	149	45
ENSG00000010255	32	41	26	34	33	14
ENSG00000010256	40	50	44	75	76	41
ENSG00000010257	6	8	6	16	12	21
ENSG00000010258	8	6	3	9	2	6
ENSG00000010259	25	28	27	28	31	25
ENSG00000010260	40	53	36	39	47	27
ENSG00000010261	52	62	88	74	83	77
ENSG00000010262	173	188	149	98	131	91
ENSG00000010263	2832	3875	1879	3568	3012	2247
ENSG00000010264	786	689	995	439	992	470
ENSG00000010265	65	80	82	54	46	82
ENSG00000010266	455	941	787	623	344	539
ENSG00000010267	12	20	45	24	45	38
ENSG00000010268	3642	3833	3177	1632	3310	1672
ENSG00000010269	343	523	330	395	389	896
ENSG00000010270	3	12	9	11	9	6
ENSG00000010271	581	832	664	342	767	1035
ENSG00000010272	1156	600	758	1246	660	653
ENSG00000010273	1	1	4	0	4	0
ENSG00000010274	30	22	48	20	26	17
ENSG00000010275	27	61	68	69	69	50
ENSG00000010276	1	3	3	7	4	3
ENSG00000010277	8	16	38	7	11	21
ENSG00000010278	29	29	44	10	18	16
ENSG00000010279	319	370	601	311	379	420
ENSG00000010280	454	593	564	300	349	203
ENSG00000010281	26994	23535	26398	36547	37300	38367
ENSG00000010282	58	75	54	106	82	111
ENSG00000010283	1551	932	1311	1653	1744	756
ENSG00000010284	250	162	118	225	144	181
ENSG00000010285	267	199	245	99	395	360
ENSG00000010286	18	19	18	16	17	9
ENSG00000010287	3	2	4	1	2	1
ENSG00000010288	43	29	37	31	24	33
ENSG00000010289	477	778	717	509	591	574
ENSG00000010290	2314	4057	1579	1157	4074	1927
ENSG00000010291	479	515	525	270	426	789
ENSG00000010292	412	149	579	659	347	194
ENSG00000010293	30	46	30	39	21	17
ENSG00000010294	4648	5392	3552	2254	4545	2214
ENSG00000010295	2394	2733	2122	1954	1422	1549
ENSG00000010296	43	32	45	40	45	58
ENSG00000010297	158	181	119	200	121	122
ENSG00000010298	15	34	28	21	22	24
ENSG00000010299	3211	3527	2793	3632	3914	2805
ENSG00000010300	233	309	266	204	210	561
ENSG00000010301	278	123	132	71	134	160
ENSG00000010302	222	400	292	396	151	362
ENSG00000010303	343	283	393	335	461	372
ENSG00000010304	42	75	55	91	98	67
ENSG00000010305	12	12	16	20	14	17
ENSG00000010306	20	12	13	16	13	15
ENSG00000010307	1	0	4	11	3	13
ENSG00000010308	705	479	827	405	431	187
ENSG00000010309	11204	20781	17420	9277	10751	12322
ENSG00000010310	4	14	3	7	4	10
ENSG00000010311	186	143	242	332	216	283
ENSG00000010312	144	470	358	149	227	379
ENSG00000010313	45	25	16	20	26	26
ENSG00000010314	280	196	405	260	98	365
ENSG00000010315	18	22	23	8	9	18
ENSG00000010316	1126	1474	1784	1354	881	2204
ENSG00000010317	35	38	59	40	44	63
ENSG00000010318	118	225	221	185	191	202
ENSG00000010319	1105	989	1570	435	446	501
ENSG00000010320	53	143	113	29	48	53
ENSG00000010321	6	12	3	3	9	4
ENSG00000010322	42	66	50	28	40	40
ENSG00000010323	1728	2237	638	883	708	521
ENSG00000010324	190	178	103	142	186	129
ENSG00000010325	205	172	236	335	100	220
ENSG00000010326	16	12	13	13	9	29
ENSG00000010327	221	153	238	173	132	167
ENSG00000010328	396	313	551	553	809	557
ENSG00000010329	278	220	260	161	324	219
ENSG00000010330	3618	5143	7998	7739	6636	5227
ENSG00000010331	50	100	149	107	56	139
ENSG00000010332	14	11	11	8	26	23
ENSG00000010333	9	6	12	9	2	6
ENSG00000010334	923	1590	2440	1649	1257	1276
ENSG00000010335	178	138	197	72	144	133
ENSG00000010336	882	681	1115	1141	1102	1144
ENSG00000010337	400	316	390	251	496	503
ENSG00000010338	2408	3514	5296	2979	2287	3928
ENSG00000010339	2155	1847	1127	2764	2147	1540
ENSG00000010340	26	78	67	91	69	61
ENSG00000010341	232	252	171	573	290	202
ENSG00000010342	1468	1525	1440	2523	1135	1373
ENSG00000010343	24	22	38	14	25	17
ENSG00000010344	2394	3223	3048	2232	2362	2715
ENSG00000010345	1754	1478	1497	1633	1329	1500
ENSG00000010346	3575	2412	1352	933	1004	468
ENSG00000010347	120	72	119	47	193	86
ENSG00000010348	170	296	147	403	237	261
ENSG00000010349	20	11	20	19	7	31
ENSG00000010350	106	172	165	174	234	164
ENSG00000010351	45	30	43	26	26	35
ENSG00000010352	523	451	219	206	140	258
ENSG00000010353	47	44	36	59	43	24
ENSG00000010354	219	325	298	181	419	192
ENSG00000010355	1978	2077	902	2046	2111	1735
ENSG00000010356	6	3	6	10	4	10
ENSG00000010357	1028	504	936	781	942	1192
ENSG00000010358	0	3	0	2	0	3
ENSG00000010359	0	3	2	1	0	2
ENSG00000010360	168	95	89	125	114	77
ENSG00000010361	206	222	143	158	117	178
ENSG00000010362	348	236	223	521	278	526
ENSG00000010363	7	8	5	3	9	2
ENSG00000010364	83	150	125	188	185	197
ENSG00000010365	205	103	122	102	138	151
ENSG00000010366	3170	1839	1199	2320	2016	760
ENSG00000010367	143	165	100	82	99	46
ENSG00000010368	805	1330	847	557	364	302
ENSG00000010369	20	22	15	7	7	9
ENSG00000010370	48	164	63	37	43	88
ENSG00000010371	96	103	85	77	62	54
ENSG00000010372	1241	718	538	614	488	283
ENSG00000010373	18	42	34	26	28	13
ENSG00000010374	25	24	22	50	29	12
ENSG00000010375	756	562	339	587	653	502
ENSG00000010376	5272	6881	3317	2895	7006	3166
ENSG00000010377	479	473	356	183	424	381
ENSG00000010378	157	276	269	367	324	329
ENSG00000010379	70	55	65	47	67	122
ENSG00000010380	659	1668	1184	800	866	1311
ENSG00000010381	315	619	361	497	435	485
ENSG00000010382	3299	3131	4121	6074	4217	3464
ENSG00000010383	601	789	655	174	361	144
ENSG00000010384	15	12	25	24	17	26
ENSG00000010385	34	46	70	48	50	57
ENSG00000010386	15	15	11	12	11	17
ENSG00000010387	41	12	29	11	11	14
ENSG00000010388	1140	2086	872	2851	4608	2598
ENSG00000010389	2145	2764	1519	675	516	798
ENSG00000010390	7	12	14	13	10	8
ENSG00000010391	5158	3785	5150	2892	6271	6617
ENSG00000010392	225	110	252	275	246	158
ENSG00000010393	18	21	22	35	9	29
ENSG00000010394	846	849	849	433	161	471
ENSG00000010395	159	252	261	150	100	110
ENSG00000010396	26	44	18	23	24	21
ENSG00000010397	6	3	2	7	3	2
ENSG00000010398	196	83	75	179	117	133
ENSG00000010399	253	271	291	304	325	200
ENSG00000010400	2	1	2	3	1	0
ENSG00000010401	502	431	351	799	183	493
ENSG00000010402	746	636	907	812	439	1033
ENSG00000010403	59	57	44	100	43	56
ENSG00000010404	289	455	414	213	147	192
ENSG00000010405	103	78	79	113	99	43
ENSG00000010406	17	37	25	32	19	46
ENSG00000010407	56	51	76	50	138	86
ENSG00000010408	1772	1395	2987	2628	1419	2246
ENSG00000010409	9	7	8	3	10	14
ENSG00000010410	179	372	299	288	197	132
ENSG00000010411	186	217	370	166	244	152
ENSG00000010412	103	21	45	39	60	15
ENSG00000010413	37	48	46	65	25	33
ENSG00000010414	13	7	8	13	7	10
ENSG00000010415	30	26	21	38	31	34
ENSG00000010416	168	84	135	185	181	126
ENSG00000010417	457	409	238	295	439	293
ENSG00000010418	39	46	24	15	13	40
ENSG00000010419	63587	38135	40503	74549	26338	33944
ENSG00000010420	37	33	35	63	54	43
ENSG00000010421	245	233	195	135	169	207
ENSG00000010422	130	51	88	75	116	96
ENSG00000010423	54	46	68	88	52	50
ENSG00000010424	2043	2765	3246	2872	1118	3560
ENSG00000010425	32	43	26	39	74	58
ENSG00000010426	1309	4346	1299	2856	1330	2682
ENSG00000010427	524	1176	537	953	2831	1990
ENSG00000010428	12	17	8	12	9	28
ENSG00000010429	1027	1491	1859	1831	981	621
ENSG00000010430	20	35	89	18	33	48
ENSG00000010431	38587	53130	13549	37974	58942	24809
ENSG00000010432	52	79	65	49	58	102
ENSG00000010433	31	40	14	23	44	33
ENSG00000010434	9	4	2	5	2	3
ENSG00000010435	13	11	4	16	8	17
ENSG00000010436	54	39	64	45	29	43
ENSG00000010437	14	22	13	17	21	31
ENSG00000010438	7	9	15	15	10	13
ENSG00000010439	26	35	31	28	28	34
ENSG00000010440	91	128	187	118	145	66
ENSG00000010441	2870	4605	3368	2234	2515	2873
ENSG00000010442	6	1	2	8	3	6
ENSG00000010443	97	61	95	69	49	57
ENSG00000010444	10	22	10	16	21	36
ENSG00000010445	4	3	7	10	14	11
ENSG00000010446	6	12	14	15	20	12
ENSG00000010447	35	30	10	33	16	5
ENSG00000010448	627	575	461	437	512	721
ENSG00000010449	180	133	84	141	42	65
ENSG00000010450	41	69	77	68	35	39
ENSG00000010451	492	436	521	552	623	461
ENSG00000010452	187	240	283	158	200	433
ENSG00000010453	90	88	83	65	53	55
ENSG00000010454	465	428	250	220	450	276
ENSG00000010455	22	38	29	11	28	46
ENSG00000010456	227	586	455	725	471	677
ENSG00000010457	505	334	332	298	205	460
ENSG00000010458	73	57	26	65	37	97
ENSG00000010459	6	15	12	9	7	18
ENSG00000010460	1778	2166	1704	3610	2639	2929
ENSG00000010461	251	153	183	265	231	242
ENSG00000010462	151269	102594	111346	26138	30536	35515
ENSG00000010463	35	31	45	46	32	26
ENSG00000010464	550	1200	683	863	456	758
ENSG00000010465	71	68	37	58	77	52
ENSG00000010466	223	270	309	336	291	215
ENSG00000010467	613	816	706	356	630	696
ENSG00000010468	38	31	30	42	32	32
ENSG00000010469	168	96	89	120	76	143
ENSG00000010470	125	309	274	264	230	327
ENSG00000010471	208	196	209	225	195	210
ENSG00000010472	333	408	420	385	730	725
ENSG00000010473	782	1013	2011	1406	1204	1488
ENSG00000010474	1852	2310	807	821	1449	498
ENSG00000010475	247	309	419	287	262	310
ENSG00000010476	70	53	103	64	43	83
ENSG00000010477	16	29	10	17	15	13
ENSG00000010478	44	30	25	28	30	43
ENSG00000010479	40	78	53	56	75	47
ENSG00000010480	480	396	265	540	467	909
ENSG00000010481	135	213	91	44	55	80
ENSG00000010482	31	23	12	11	13	9
ENSG00000010483	367	549	278	371	532	519
ENSG00000010484	18	41	34	19	16	23
ENSG00000010485	38	33	24	32	33	9
ENSG00000010486	115	123	67	125	77	105
ENSG00000010487	265	294	223	227	261	491
ENSG00000010488	1	0	5	0	0	1
ENSG00000010489	9	16	11	16	15	17
ENSG00000010490	249	209	93	282	159	311
ENSG00000010491	131	156	214	70	86	74
ENSG00000010492	30	29	13	9	34	58
ENSG00000010493	52	94	39	46	36	65
ENSG00000010494	1072	1390	3218	3172	2993	2516
ENSG00000010495	108	49	81	45	44	95
ENSG00000010496	754	1008	253	487	472	983
ENSG00000010497	915	550	483	381	848	657
ENSG00000010498	46	72	64	65	70	34
ENSG00000010499	288	275	460	454	200	423
